,u,i,ts,idx
0,1,1,1094656976,0
1,2,1,1140649272,1
2,3,1,1141480229,2
3,4,1,1153035344,3
4,4,1,1163644231,4
5,5,1,1203298174,5
6,5,1,1208429190,6
7,5,1,1208431119,7
8,6,1,1219087057,8
9,7,1,1251376076,9
10,8,1,1307370480,10
11,9,1,1340705922,11
12,10,1,1349516512,12
13,9,1,1350658229,13
14,11,1,1411928667,14
15,9,1,1436620920,15
16,12,1,1439898575,16
17,12,1,1440084789,17
18,12,1,1440084833,18
19,13,1,1489206637,19
20,9,1,1492946156,20
21,1,2,1094657909,21
22,1,2,1094658331,22
23,1,2,1094661905,23
24,1,2,1094668726,24
25,14,2,1094670809,25
26,14,2,1094671733,26
27,14,2,1094672286,27
28,14,2,1094913407,28
29,5,2,1203293512,29
30,5,2,1203294038,30
31,5,2,1203296234,31
32,5,2,1203297015,32
33,5,2,1203297806,33
34,5,2,1203445585,34
35,5,2,1203524606,35
36,5,2,1203525181,36
37,5,2,1203525504,37
38,5,2,1203528026,38
39,5,2,1203528217,39
40,5,2,1203528303,40
41,5,2,1203528336,41
42,5,2,1203528414,42
43,5,2,1207518593,43
44,5,2,1208447627,44
45,5,2,1209458882,45
46,1,3,1094658687,46
47,1,3,1094661695,47
48,14,3,1094671187,48
49,14,3,1094671666,49
50,14,3,1094672364,50
51,5,3,1207519770,51
52,5,3,1208447689,52
53,1,4,1094658946,53
54,2,4,1140649270,54
55,4,4,1153033320,55
56,4,4,1157456540,56
57,4,4,1168087859,57
58,4,4,1172579032,58
59,4,4,1174299013,59
60,4,4,1184845289,60
61,5,4,1208427930,61
62,5,4,1208430790,62
63,4,4,1211705392,63
64,6,4,1214764653,64
65,6,4,1218979099,65
66,7,4,1247820005,66
67,7,4,1247884881,67
68,7,4,1248680265,68
69,7,4,1267110104,69
70,7,4,1269246210,70
71,7,4,1270540357,71
72,7,4,1274197737,72
73,15,4,1291656875,73
74,16,4,1293991082,74
75,8,4,1307365260,75
76,11,4,1315912423,76
77,15,4,1316184919,77
78,17,4,1320096497,78
79,9,4,1342108317,79
80,9,4,1367136884,80
81,9,4,1371995909,81
82,9,4,1373227771,82
83,11,4,1383811635,83
84,18,4,1384463740,84
85,15,4,1387151372,85
86,11,4,1407774637,86
87,19,4,1420012837,87
88,11,4,1429590705,88
89,12,4,1439832207,89
90,12,4,1439943271,90
91,13,4,1474690560,91
92,9,4,1492939308,92
93,1,5,1094659037,93
94,20,5,1157467604,94
95,21,5,1160589465,95
96,5,5,1203458353,96
97,5,5,1207852448,97
98,3,5,1208104153,98
99,5,5,1223508004,99
100,1,6,1094659179,100
101,20,6,1135994918,101
102,5,6,1208426941,102
103,5,6,1208433898,103
104,5,6,1209304517,104
105,5,6,1209305609,105
106,22,6,1404811312,106
107,1,7,1094659594,107
108,1,7,1094662006,108
109,14,7,1094671610,109
110,14,7,1094672404,110
111,5,7,1207519758,111
112,5,7,1208447704,112
113,1,8,1094659784,113
114,2,8,1140649267,114
115,5,8,1208427830,115
116,5,8,1208429967,116
117,21,8,1219773869,117
118,7,8,1270359872,118
119,12,8,1439820997,119
120,12,8,1439928266,120
121,9,8,1492938547,121
122,1,9,1094660230,122
123,2,9,1140649272,123
124,20,9,1140867705,124
125,5,9,1203298984,125
126,5,9,1208429092,126
127,5,9,1208430568,127
128,8,9,1307369612,128
129,10,9,1310524714,129
130,15,9,1310526584,130
131,9,9,1353160230,131
132,9,9,1367520219,132
133,9,9,1369748256,133
134,12,9,1439894468,134
135,9,9,1492945029,135
136,1,10,1094660329,136
137,20,10,1135995113,137
138,21,10,1160329336,138
