,u,i,ts,idx
0,1,1,1357240862,0
1,2,2,1357241074,1
2,2,2,1357242727,2
3,2,2,1357243087,3
4,2,3,1357241120,4
5,3,4,1347221992,5
6,2,4,1357241300,6
7,4,4,1358796760,7
8,3,5,1355327398,8
9,2,5,1357241300,9
10,3,5,1357310079,10
11,4,5,1358793431,11
12,4,5,1358793758,12
13,4,6,1344451236,13
14,2,6,1357241301,14
15,4,6,1358796993,15
16,4,6,1358797007,16
17,4,6,1359022980,17
18,3,7,1351688100,18
19,3,7,1351688143,19
20,2,7,1357241301,20
21,4,7,1358796693,21
22,4,8,1344799183,22
23,2,8,1357241301,23
24,4,8,1358796893,24
25,3,9,1330192467,25
26,3,9,1330196480,26
27,2,9,1357241301,27
28,4,9,1358795287,28
29,4,10,1342019863,29
30,4,10,1344446360,30
31,5,10,1344492519,31
32,2,10,1357241301,32
33,3,10,1357310621,33
34,4,10,1358795394,34
35,4,10,1359041549,35
36,3,11,1336125809,36
37,3,11,1336125827,37
38,2,11,1357241301,38
39,4,11,1358794074,39
40,4,11,1358794133,40
41,4,11,1358794189,41
42,6,12,1325815879,42
43,2,12,1357241301,43
44,4,12,1358795810,44
45,5,13,1344511825,45
46,4,13,1344798304,46
47,2,13,1357241302,47
48,4,13,1358796963,48
49,7,13,1358960450,49
50,4,13,1407159029,50
51,6,14,1325815010,51
52,2,14,1357241302,52
53,4,14,1358795843,53
54,4,14,1358795855,54
55,4,14,1398601165,55
56,3,15,1345321336,56
57,2,15,1357241302,57
58,4,15,1358795539,58
59,4,16,1344797862,59
60,4,16,1344798255,60
61,3,16,1345479369,61
62,3,16,1345479402,62
63,2,16,1357241302,63
64,4,16,1358795702,64
65,3,17,1344768342,65
66,2,17,1357241302,66
67,3,17,1359489170,67
68,4,17,1409770801,68
69,6,18,1325814277,69
70,2,18,1357241302,70
71,4,18,1358796882,71
72,3,19,1339854357,72
73,3,19,1339855037,73
74,2,19,1357241302,74
75,4,19,1358794518,75
76,3,19,1359555181,76
77,8,20,1322136952,77
78,3,20,1325535514,78
79,3,20,1330189228,79
80,9,20,1332272342,80
81,9,20,1332272376,81
82,9,20,1332520614,82
83,9,20,1332520664,83
84,9,20,1332749850,84
85,3,20,1333049402,85
86,3,20,1333049544,86
87,4,20,1338815753,87
88,5,20,1342682660,88
89,3,20,1346784860,89
90,3,20,1349962488,90
91,2,20,1357241304,91
92,2,20,1357243196,92
93,2,20,1357243218,93
94,4,20,1357276091,94
95,4,20,1357310275,95
96,3,20,1364324246,96
97,4,20,1392750119,97
98,4,20,1392751301,98
99,4,20,1392752030,99
100,4,20,1409855663,100
101,4,20,1410423910,101
102,3,20,1415355158,102
103,3,20,1415355481,103
104,3,20,1415356296,104
105,4,20,1464198443,105
106,4,20,1464198491,106
107,4,20,1464198527,107
108,4,20,1494219135,108
109,3,21,1346784604,109
110,3,21,1346784781,110
111,3,21,1346784972,111
112,3,21,1346785328,112
113,3,21,1346785706,113
114,3,21,1347222084,114
115,3,21,1355588889,115
116,2,21,1357241305,116
117,4,21,1357276497,117
118,4,21,1357311022,118
119,4,21,1359042503,119
120,4,21,1392213451,120
121,4,21,1392214284,121
122,4,21,1409841609,122
123,3,22,1346785695,123
124,3,22,1347221889,124
125,3,22,1347221955,125
126,3,22,1347222827,126
127,3,22,1347224179,127
128,2,22,1357241305,128
129,2,22,1357243301,129
130,4,22,1357276481,130
131,4,22,1357373477,131
132,4,22,1359042753,132
133,4,22,1409841571,133
134,3,22,1415356186,134
135,4,23,1342019765,135
136,4,23,1342019818,136
137,4,23,1342019917,137
138,5,23,1344512512,138
139,2,23,1357241315,139
140,7,23,1361021060,140
141,7,23,1361021075,141
142,4,24,1344453828,142
143,5,24,1344512604,143
144,2,24,1357241315,144
145,10,25,1346242344,145
146,2,25,1357241315,146
147,4,26,1344454419,147
148,5,26,1344512763,148
149,2,26,1357241315,149
150,4,27,1344454160,150
151,5,27,1344512903,151
152,2,27,1357241315,152
153,2,28,1357241316,153
154,10,29,1345897071,154
155,10,29,1349690269,155
156,2,29,1357241316,156
157,2,30,1357241317,157
158,4,31,1344454296,158
159,5,31,1344515116,159
160,2,31,1357241317,160
161,10,32,1340796066,161
162,2,32,1357241317,162
163,11,33,1347468809,163
164,11,33,1347468859,164
165,2,33,1357241317,165
166,3,33,1361384165,166
167,12,34,1225506790,167
168,13,34,1237300143,168
169,13,34,1237300216,169
170,14,34,1298160996,170
171,14,34,1298162873,171
172,14,34,1298631994,172
173,14,34,1298636022,173
174,15,34,1314693330,174
175,15,34,1314693661,175
176,15,34,1314693858,176
177,15,34,1318627239,177
178,16,34,1320129593,178
179,15,34,1320224064,179
180,17,34,1321045428,180
181,15,34,1321045461,181
182,15,34,1328127060,182
183,15,34,1328127210,183
184,16,34,1331150535,184
185,2,34,1357241319,185
186,3,34,1357307087,186
187,3,34,1357309067,187
188,3,34,1357330833,188
189,3,34,1357331020,189
190,3,34,1359918768,190
191,4,34,1359997804,191
192,4,34,1359997926,192
193,4,34,1359998664,193
194,4,34,1359998722,194
195,3,34,1360001446,195
196,3,34,1360001669,196
197,3,34,1360001745,197
198,3,34,1360002280,198
199,4,34,1410256468,199
200,3,34,1414571086,200
201,3,34,1415704629,201
202,3,34,1415704666,202
203,4,34,1449166251,203
204,4,34,1449601631,204
205,4,34,1449601923,205
206,3,35,1339854974,206
207,3,35,1339855073,207
208,3,35,1349627227,208
209,3,35,1349705231,209
210,2,35,1357241320,210
211,4,35,1358794484,211
212,3,35,1359555090,212
213,4,35,1359998809,213
214,18,35,1487017335,214
215,19,36,1242546881,215
216,19,36,1248172552,216
217,2,36,1357241320,217
218,4,36,1368941551,218
219,9,37,1325846402,219
220,2,37,1357241320,220
221,16,38,1323783936,221
222,16,38,1323784748,222
223,16,38,1324238284,223
224,9,38,1332520413,224
225,9,38,1332520479,225
226,9,38,1332595805,226
227,9,38,1332595897,227
228,9,38,1332595931,228
229,9,38,1332596311,229
230,9,38,1332608103,230
231,20,38,1338391575,231
232,20,38,1338391704,232
233,2,38,1357241321,233
234,21,39,1235501117,234
