,u,i,ts,idx
0,1,1,1075388526,0
1,1,2,1075388526,1
2,1,3,1086450701,2
3,1,4,1086450701,3
4,1,5,1086450701,4
5,1,6,1086450701,5
6,1,7,1086450701,6
7,1,8,1086450701,7
8,1,9,1086450701,8
9,1,10,1086450701,9
10,1,11,1086450701,10
11,1,12,1086450701,11
12,1,13,1086450701,12
13,1,14,1086450701,13
14,1,15,1086450701,14
15,1,16,1086450701,15
16,1,17,1086450701,16
17,1,18,1086450701,17
18,1,19,1086450701,18
19,1,20,1086450701,19
20,1,21,1086450701,20
21,1,22,1086450701,21
22,1,23,1086450701,22
23,1,24,1086450701,23
24,1,25,1086450701,24
25,1,26,1086450701,25
26,1,27,1086450701,26
27,1,28,1086450701,27
28,1,29,1086450701,28
29,1,30,1086450701,29
30,1,31,1086450701,30
31,1,32,1086450701,31
32,1,33,1086450701,32
33,1,34,1086450701,33
34,1,35,1086450701,34
35,1,36,1086450701,35
36,1,37,1086450701,36
37,1,38,1086450701,37
38,1,39,1086450701,38
39,1,40,1086450701,39
40,1,41,1086450701,40
41,1,42,1086450701,41
42,1,43,1086450701,42
43,1,44,1086450701,43
44,1,45,1086450701,44
45,1,46,1086450701,45
46,1,47,1086450701,46
47,1,48,1086450701,47
48,1,49,1086450701,48
49,1,50,1086450701,49
50,1,51,1086450701,50
51,1,52,1086450701,51
52,1,53,1086450701,52
53,1,54,1086450701,53
54,1,55,1086450701,54
55,1,56,1086450701,55
56,1,57,1086450701,56
57,1,58,1086450701,57
58,1,59,1086450701,58
59,1,60,1086450701,59
60,1,61,1086450701,60
61,1,62,1086450701,61
62,1,63,1086450701,62
63,1,64,1086450701,63
64,1,65,1086450701,64
65,1,66,1086450701,65
66,1,67,1086450701,66
67,1,68,1086450701,67
68,1,69,1086450701,68
69,1,70,1086450701,69
70,1,71,1086450701,70
71,1,72,1086450701,71
72,1,73,1086450701,72
73,1,74,1086450701,73
74,1,75,1086450701,74
75,1,76,1086450701,75
76,2,77,1124497545,76
77,2,77,1124497832,77
78,2,77,1124497997,78
79,3,77,1131808439,79
80,3,77,1131808463,80
81,4,77,1140649314,81
82,5,78,1114166378,82
83,5,78,1114185829,83
84,6,78,1429222995,84
85,3,79,1131799069,85
86,3,79,1131808376,86
