,u,i,ts,idx
0,1,1,1195861642,0
1,2,2,1150383380,1
2,2,2,1151002332,2
3,2,2,1151002373,3
4,2,3,1150383444,4
5,2,3,1150404576,5
6,3,3,1150648609,6
7,3,3,1150650959,7
8,4,3,1150739261,8
9,3,3,1151003619,9
10,3,3,1151003650,10
11,3,3,1151003669,11
12,3,3,1151004718,12
13,3,3,1151006619,13
14,3,3,1151007645,14
15,3,3,1151007941,15
16,4,3,1151235941,16
17,2,3,1151866138,17
18,5,3,1152581257,18
19,6,3,1177959992,19
20,6,3,1191836215,20
21,6,3,1191836349,21
22,6,3,1191937171,22
23,6,3,1191944969,23
24,6,3,1191946312,24
25,6,3,1191946383,25
26,6,3,1191946438,26
27,6,3,1191946455,27
28,6,3,1194771097,28
29,6,3,1194774708,29
30,6,3,1194875722,30
31,6,3,1194899417,31
32,6,3,1194899452,32
33,1,3,1196460936,33
34,1,3,1196561181,34
35,6,3,1196978604,35
36,6,3,1197061828,36
37,3,3,1197586661,37
38,7,3,1197587594,38
39,3,3,1197588248,39
40,1,3,1198509295,40
41,8,3,1199312130,41
42,6,3,1199355771,42
43,6,3,1199358779,43
44,6,3,1199359304,44
45,6,3,1199361460,45
46,6,3,1199361631,46
47,6,3,1199361738,47
48,6,3,1199362199,48
49,6,3,1199362427,49
50,9,3,1241981740,50
51,10,3,1244555339,51
52,11,3,1244728232,52
53,11,3,1245052563,53
54,11,3,1253379147,54
55,12,3,1261069060,55
56,13,3,1289470677,56
57,14,3,1315396551,57
58,15,3,1320512822,58
59,15,3,1320512874,59
60,16,3,1357143404,60
61,17,3,1433851004,61
62,18,3,1489923075,62
63,2,4,1150384027,63
64,19,4,1150405801,64
65,2,4,1150406277,65
66,19,4,1150406365,66
67,2,4,1150406474,67
68,19,4,1150406627,68
69,2,4,1150407302,69
70,19,4,1150407461,70
71,2,4,1150407778,71
72,19,4,1150902045,72
73,19,4,1150902068,73
74,20,4,1151016265,74
75,2,4,1151016453,75
76,20,4,1151016980,76
77,2,4,1151017761,77
78,20,4,1151018008,78
79,2,4,1151018226,79
80,20,4,1153673754,80
81,2,4,1153678095,81
82,20,4,1153726595,82
83,2,4,1153915537,83
84,21,4,1164486466,84
85,2,4,1164736104,85
86,22,4,1390297778,86
87,23,5,1150385047,87
88,2,6,1150404216,88
89,3,6,1151001420,89
90,24,6,1382362865,90
91,25,6,1393192807,91
92,2,7,1150405376,92
93,3,7,1151000899,93
94,1,7,1189111176,94
95,1,7,1189113900,95
96,1,7,1195881943,96
97,1,7,1198966454,97
98,13,7,1203256837,98
99,1,7,1232294190,99
100,2,8,1150405841,100
101,3,8,1151001176,101
102,2,8,1151003298,102
103,2,8,1151003495,103
104,26,8,1151321014,104
105,26,8,1188370302,105
106,27,8,1482754992,106
107,2,9,1150406995,107
108,2,9,1151003412,108
109,26,9,1151321134,109
110,26,9,1154029126,110
111,26,9,1154076809,111
112,26,9,1188370426,112
113,4,10,1150440054,113
114,4,11,1150440207,114
115,4,11,1150440354,115
116,4,12,1150467397,116
117,1,12,1197755793,117
118,1,12,1198774492,118
119,4,13,1150467440,119
120,1,13,1197755815,120
121,1,13,1198774706,121
122,4,14,1150467499,122
123,3,14,1151000167,123
124,3,14,1151008441,124
125,3,14,1153968621,125
126,1,14,1196561078,126
127,1,14,1197753825,127
128,28,15,1150468374,128
129,29,16,1150476562,129
130,2,16,1151003452,130
131,26,16,1151321118,131
132,2,17,1151003381,132
133,26,17,1151321102,133
134,26,17,1152030186,134
135,26,17,1152030259,135
136,27,17,1482755337,136
137,27,17,1482755358,137
138,3,18,1150649801,138
139,3,18,1150654035,139
140,6,18,1199358412,140
141,6,18,1199358624,141
142,6,18,1199358664,142
143,7,18,1462302470,143
144,7,18,1462304361,144
145,3,19,1150651656,145
146,11,19,1244752500,146
147,7,19,1462304255,147
148,3,20,1150651819,148
149,3,20,1151001201,149
150,1,20,1195881890,150
151,1,20,1198966937,151
152,3,21,1150656337,152
153,3,22,1151002151,153
154,1,22,1185645982,154
155,30,22,1219914686,155
156,24,22,1362426912,156
157,23,23,1150903375,157
158,23,23,1150903905,158
159,4,23,1150903974,159
160,28,23,1150904091,160
161,4,23,1150904205,161
162,19,23,1150904333,162
163,29,23,1150906216,163
164,2,23,1150906945,164
165,23,23,1150907296,165
166,4,23,1150908030,166
167,13,23,1150908497,167
168,31,23,1150909118,168
169,31,23,1150909138,169
170,31,23,1150909161,170
171,19,23,1150909388,171
172,32,23,1150909450,172
173,32,23,1150909480,173
174,19,23,1150909678,174
175,31,23,1150910012,175
176,31,23,1150910980,176
177,31,23,1150911006,177
178,31,23,1150911024,178
179,2,23,1150911336,179
180,33,23,1150917891,180
181,2,23,1150923016,181
182,34,23,1150929514,182
183,34,23,1150929551,183
184,35,23,1150954658,184
185,35,23,1150954689,185
186,35,23,1150954705,186
187,35,23,1150954747,187
188,19,23,1150968900,188
189,3,23,1150986092,189
190,36,23,1151010796,190
191,36,23,1151010928,191
192,36,23,1151010957,192
193,6,23,1151011285,193
194,6,23,1151011326,194
195,6,23,1151011354,195
196,6,23,1151011373,196
197,20,23,1151014112,197
198,2,23,1151015841,198
199,36,23,1151017982,199
200,36,23,1151018212,200
201,36,23,1151018352,201
202,20,23,1151018724,202
203,2,23,1151050834,203
204,23,23,1151057296,204
205,4,23,1151083048,205
206,3,23,1151249797,206
207,26,23,1151266258,207
208,26,23,1151266276,208
209,26,23,1151266301,209
210,37,23,1151295948,210
211,37,23,1151295984,211
212,6,23,1151431874,212
213,38,23,1151536690,213
214,38,23,1151586865,214
215,38,23,1151589124,215
216,38,23,1151989158,216
217,38,23,1151989812,217
218,38,23,1151989922,218
219,38,23,1151989967,219
220,35,23,1152020468,220
221,23,23,1152258236,221
222,39,23,1366986056,222
223,39,23,1462220562,223
224,39,23,1462295572,224
225,39,23,1462295850,225
226,23,24,1150903379,226
227,23,24,1150904395,227
228,39,24,1366985610,228
229,39,24,1366985695,229
230,27,24,1375625341,230
231,27,24,1375686095,231
232,27,24,1375704091,232
233,27,24,1376821728,233
234,39,24,1462220259,234
235,39,24,1462295376,235
236,39,24,1462295425,236
237,39,24,1462295962,237
238,7,24,1463951781,238
239,40,24,1478256458,239
240,41,24,1478282997,240
241,23,25,1150903388,241
242,42,25,1153359624,242
243,43,25,1212428027,243
244,12,25,1261069195,244
245,39,25,1297018039,245
246,44,25,1325170976,246
247,44,25,1325171014,247
248,32,26,1150909517,248
249,2,27,1150910173,249
250,7,27,1462302634,250
251,5,28,1150913116,251
252,5,28,1152583630,252
253,45,28,1263875105,253
254,5,29,1150913170,254
255,45,29,1263875105,255
256,2,30,1150991869,256
257,3,30,1151000077,257
258,3,30,1151000099,258
259,2,30,1151002630,259
260,3,30,1151002897,260
261,2,30,1151003236,261
262,2,30,1151008610,262
263,3,30,1151008892,263
264,2,30,1152942776,264
265,46,30,1421117464,265
266,3,31,1150999120,266
267,1,31,1195879666,267
268,3,31,1197586722,268
269,47,31,1256566507,269
270,48,31,1311755779,270
271,49,31,1318678869,271
272,3,32,1151000963,272
273,7,32,1197588871,273
274,7,32,1197588903,274
275,3,33,1151001008,275
276,3,33,1151001121,276
277,3,33,1151007920,277
278,7,33,1197587396,278
279,3,34,1151002191,279
280,3,34,1151007897,280
281,7,34,1197587195,281
282,7,34,1197588440,282
283,3,35,1151002329,283
284,26,35,1151320982,284
285,9,35,1241885065,285
286,50,35,1287253976,286
287,51,35,1290642331,287
288,51,35,1290642344,288
289,3,36,1151002402,289
290,1,36,1195926818,290
291,52,36,1259934823,291
292,48,36,1311841629,292
293,49,36,1333017840,293
294,51,36,1338185679,294
295,49,36,1344766238,295
296,53,36,1389845254,296
297,3,37,1151006141,297
298,3,37,1151006321,298
299,3,37,1151006590,299
300,7,37,1462303041,300
301,7,37,1462304286,301
302,3,38,1151007988,302
303,1,38,1186874405,303
304,1,38,1196460881,304
305,1,38,1196463433,305
306,7,38,1197591072,306
307,3,39,1151008023,307
308,1,39,1186723961,308
309,3,39,1197587440,309
310,7,39,1197588422,310
311,54,39,1273074207,311
312,10,39,1309293917,312
313,49,39,1318673604,313
314,49,39,1318684480,314
315,49,39,1333017798,315
316,49,39,1344247358,316
317,49,39,1356603127,317
318,3,40,1151008038,318
319,7,40,1197587379,319
320,3,41,1151008056,320
321,7,41,1197587430,321
322,36,42,1151010761,322
323,55,42,1429223237,323
324,20,43,1151013127,324
325,55,43,1429223241,325
326,20,44,1151014312,326
327,20,44,1151015480,327
328,3,44,1153969908,328
329,1,44,1197613867,329
330,1,44,1198513117,330
331,18,44,1493325731,331
332,20,45,1151014444,332
333,51,45,1336639960,333
334,20,46,1151014523,334
335,1,46,1195867555,335
336,56,46,1216271078,336
337,57,46,1223700887,337
338,58,46,1238674847,338
339,58,46,1238710180,339
340,58,46,1239266188,340
341,58,46,1258507498,341
342,52,46,1261975928,342
343,20,47,1151015010,343
344,20,47,1151015826,344
345,20,47,1151015982,345
346,33,47,1151865862,346
347,5,47,1151882811,347
348,20,47,1152286407,348
349,5,47,1152310587,349
350,18,47,1489919556,350
351,59,47,1492268320,351
352,59,47,1492268545,352
353,20,48,1151015063,353
354,7,48,1462302418,354
355,20,49,1151015147,355
356,7,49,1462302350,356
357,20,50,1151015259,357
358,20,50,1151015325,358
359,3,50,1153969975,359
360,21,50,1164592959,360
361,21,50,1164593057,361
362,1,50,1196559302,362
363,1,50,1230989081,363
364,1,50,1230989253,364
365,20,51,1151015379,365
366,51,51,1336640576,366
367,20,52,1151015413,367
368,51,52,1336640735,368
369,20,53,1151015660,369
370,20,54,1151015735,370
371,51,54,1336640325,371
