,u,i,ts,idx
0,1,1,1097147084,0
1,2,1,1100434637,1
2,3,1,1120954361,2
3,4,1,1125336335,3
4,4,1,1125336467,4
5,5,1,1131036891,5
6,5,1,1131047212,6
7,6,1,1133676860,7
8,7,1,1134080102,8
9,4,1,1134717051,9
10,4,1,1135391639,10
11,8,1,1138288102,11
12,9,1,1141538877,12
13,10,1,1143722305,13
14,11,1,1146029735,14
15,11,1,1146029838,15
16,12,1,1146094796,16
17,13,1,1152948503,17
18,13,1,1152948569,18
19,13,1,1157254990,19
20,4,1,1160314147,20
21,14,1,1160932377,21
22,15,1,1162867456,22
23,15,1,1162867532,23
24,15,1,1162867611,24
25,15,1,1162871603,25
26,15,1,1162871863,26
27,15,1,1162946826,27
28,15,1,1162958322,28
29,15,1,1162958578,29
30,15,1,1162958650,30
31,15,1,1162959592,31
32,15,1,1162960095,32
33,15,1,1162960213,33
34,15,1,1162960234,34
35,15,1,1162960251,35
36,15,1,1162960270,36
37,15,1,1162960575,37
38,15,1,1162960691,38
39,15,1,1162961084,39
40,15,1,1162961217,40
41,15,1,1162962591,41
42,15,1,1162962874,42
43,15,1,1162963146,43
44,15,1,1162964262,44
45,15,1,1162964425,45
46,15,1,1162964695,46
47,15,1,1163138737,47
48,16,1,1163228944,48
49,16,1,1163229104,49
50,16,1,1163229132,50
51,16,1,1163229857,51
52,16,1,1163230049,52
53,16,1,1163230209,53
54,13,1,1163280490,54
55,17,1,1174811485,55
56,13,1,1182580380,56
57,18,1,1183408824,57
58,18,1,1183408876,58
59,19,1,1207066813,59
60,19,1,1207066843,60
61,19,1,1207066918,61
62,20,1,1212963617,62
63,20,1,1215131469,63
64,21,1,1226507594,64
65,22,1,1238156733,65
66,23,1,1263346969,66
67,23,1,1263347020,67
68,23,1,1263347620,68
69,23,1,1263347650,69
70,23,1,1263348279,70
71,23,1,1263348310,71
72,23,1,1263351010,72
73,23,1,1264017346,73
74,23,1,1264017376,74
75,23,1,1367129944,75
76,23,1,1367130028,76
77,23,1,1367130041,77
78,23,1,1367130527,78
79,23,1,1367130653,79
80,23,1,1367130784,80
81,23,1,1367130998,81
82,23,1,1367131246,82
83,23,1,1367131344,83
84,23,1,1367131758,84
85,23,1,1367132698,85
86,23,1,1367132805,86
87,23,1,1367132835,87
88,23,1,1367133044,88
89,23,1,1367133131,89
90,23,1,1367133258,90
91,23,1,1367134349,91
92,23,1,1367134415,92
93,23,1,1367134697,93
94,23,1,1367793897,94
95,23,1,1367793963,95
96,23,1,1367793986,96
97,23,1,1367794087,97
98,23,1,1367795247,98
99,23,1,1367800129,99
100,23,1,1367800692,100
101,23,1,1367801273,101
102,23,1,1367801311,102
103,23,1,1367801361,103
104,23,1,1367801387,104
105,23,1,1367809843,105
106,23,1,1367809864,106
107,23,1,1368654274,107
108,23,1,1369161878,108
109,23,1,1369161933,109
110,23,1,1370882705,110
111,23,1,1370882739,111
112,23,1,1370961426,112
113,24,1,1373323434,113
114,23,1,1373336580,114
115,25,1,1376593438,115
116,26,1,1377028875,116
117,27,1,1379109890,117
118,27,1,1379110033,118
119,23,1,1382498917,119
120,23,1,1382500922,120
121,28,1,1403199198,121
122,29,1,1431965025,122
123,30,1,1439961982,123
124,31,1,1445546779,124
125,29,1,1448117796,125
126,29,1,1451443630,126
127,32,1,1451448920,127
128,32,1,1451448939,128
129,29,1,1451452553,129
130,33,1,1454945579,130
131,23,1,1465270709,131
132,13,1,1497679589,132
133,34,2,1112608260,133
134,35,3,1112694901,134
135,35,3,1113679724,135
136,11,3,1146112824,136
137,36,3,1429223860,137
138,37,4,1118215178,138
139,36,4,1429223848,139
140,3,5,1120953767,140
141,3,5,1120953832,141
142,3,5,1120953875,142
143,3,5,1121191614,143
144,38,5,1124638144,144
145,4,6,1125333536,145
146,4,6,1133116119,146
147,5,7,1131037347,147
148,11,7,1146030803,148
149,39,7,1146356628,149
150,40,7,1151750850,150
151,41,7,1154720002,151
152,41,7,1154720114,152
153,41,7,1154720216,153
154,41,7,1154721151,154
155,41,7,1154732949,155
156,42,7,1165181387,156
157,43,7,1180612567,157
158,42,7,1180660410,158
159,44,7,1182715874,159
160,45,7,1183829109,160
161,46,7,1183829644,161
162,47,7,1208105988,162
163,48,7,1208529405,163
164,49,7,1209448025,164
165,50,7,1233566574,165
166,23,7,1263415168,166
167,23,7,1263415225,167
168,51,7,1384633548,168
169,5,8,1131037306,169
170,5,8,1131038644,170
171,11,8,1146030364,171
172,41,8,1154719702,172
173,41,8,1154719905,173
174,41,8,1154720097,174
175,41,8,1154720253,175
176,41,8,1154720705,176
177,52,8,1164834299,177
178,45,8,1183829150,178
179,46,8,1183829642,179
180,53,8,1186257014,180
181,53,8,1186257023,181
182,54,8,1186347488,182
183,48,8,1202468483,183
184,55,8,1202470560,184
185,47,8,1208106109,185
186,48,8,1208529206,186
187,56,8,1223138192,187
188,50,8,1233569238,188
189,57,8,1249180020,189
190,58,8,1252544621,190
191,59,8,1256246572,191
192,23,8,1263337764,192
193,23,8,1263337794,193
194,23,8,1263349210,194
195,23,8,1263349294,195
196,23,8,1263349406,196
197,23,8,1263349485,197
198,23,8,1263349519,198
199,23,8,1263349581,199
200,23,8,1268271903,200
201,57,8,1269732871,201
202,60,8,1275738873,202
203,61,8,1276145713,203
204,58,8,1282755690,204
205,62,8,1284817727,205
206,63,8,1287597007,206
207,57,8,1292034100,207
208,64,8,1301673387,208
209,65,8,1316028410,209
210,66,8,1336346756,210
211,67,8,1341352134,211
212,68,8,1353850095,212
213,69,8,1355669115,213
214,70,8,1356353824,214
215,71,8,1362612988,215
216,23,8,1367126435,216
217,25,8,1367310886,217
218,23,8,1367705818,218
219,72,8,1457078830,219
220,73,9,1126799371,220
221,73,10,1126800646,221
222,73,10,1126800655,222
223,11,10,1146030797,223
224,39,10,1146356627,224
225,41,10,1154721533,225
226,41,10,1154721561,226
227,41,10,1154721606,227
228,45,10,1183829037,228
229,46,10,1183829662,229
230,74,10,1185298764,230
231,75,10,1191426819,231
232,76,10,1205172051,232
233,77,10,1217868183,233
234,76,10,1219817228,234
235,76,10,1231361849,235
236,57,10,1276319007,236
237,61,10,1281651037,237
238,57,10,1312950646,238
239,60,10,1316732127,239
240,71,10,1362613000,240
241,23,10,1367122956,241
242,78,11,1127592579,242
243,11,11,1146112803,243
244,36,11,1429223854,244
245,5,12,1128937308,245
246,5,12,1128937605,246
247,79,12,1295818804,247
248,80,13,1130062731,248
249,80,13,1130812934,249
250,80,13,1148577840,250
251,4,14,1131063410,251
252,11,14,1146029755,252
253,11,14,1146029839,253
254,12,14,1146094737,254
255,12,14,1146094759,255
256,12,14,1146094796,256
257,11,14,1146112728,257
258,11,14,1146112745,258
259,39,14,1146356216,259
260,39,14,1146356960,260
261,13,14,1147752353,261
262,40,14,1151752198,262
263,38,14,1152203165,263
264,15,14,1162964425,264
265,16,14,1163231843,265
266,16,14,1163231898,266
267,81,14,1163254221,267
268,13,14,1163280406,268
269,13,14,1163280855,269
270,13,14,1163281105,270
271,16,14,1163310932,271
272,16,14,1163311681,272
273,16,14,1163311755,273
274,16,14,1163311797,274
275,13,14,1163322624,275
276,13,14,1163322747,276
277,13,14,1163323132,277
278,16,14,1163391114,278
279,82,14,1172040709,279
280,82,14,1172040886,280
281,10,14,1172531169,281
282,10,14,1172531634,282
283,10,14,1173135339,283
284,83,14,1183878930,284
285,83,14,1183878983,285
286,83,14,1183880081,286
287,53,14,1186257414,287
288,53,14,1186257426,288
289,54,14,1186347192,289
290,84,14,1186348251,290
291,84,14,1186348335,291
292,19,14,1206718502,292
293,19,14,1206723660,293
294,19,14,1206723934,294
295,19,14,1206723972,295
296,19,14,1206724086,296
297,19,14,1206727793,297
298,19,14,1206758276,298
299,19,14,1206758363,299
300,19,14,1206904960,300
301,19,14,1206910622,301
302,19,14,1206929195,302
303,19,14,1207157281,303
304,19,14,1207157577,304
305,85,14,1214927616,305
306,20,14,1215131710,306
307,85,14,1215158151,307
308,85,14,1215158189,308
309,86,14,1227312076,309
