,u,i,ts,idx
0,1,2,1493038919,0
1,1,3,1493038936,1
2,2,3,1494926538,2
3,1,4,1493038955,3
4,3,5,1493041788,4
5,3,6,1493041812,5
6,4,7,1493041970,6
7,4,8,1493041993,7
8,5,9,1493133170,8
9,6,10,1493179544,9
10,6,11,1493179565,10
11,7,12,1493199486,11
12,8,13,1493202510,12
13,8,13,1493202650,13
14,8,13,1493202964,14
15,8,13,1493203098,15
16,8,13,1493204269,16
17,8,13,1493204482,17
18,8,13,1493205270,18
19,8,13,1493205485,19
20,8,13,1493206798,20
21,8,13,1493206826,21
22,8,13,1493370472,22
23,9,14,1493299256,23
24,10,15,1413445979,24
25,10,15,1413446066,25
26,10,15,1413446431,26
27,10,15,1413446507,27
28,10,15,1413446627,28
29,10,15,1413446896,29
30,10,15,1413447046,30
31,10,15,1413447102,31
32,10,15,1413447176,32
33,10,15,1413452086,33
34,10,15,1413452266,34
35,10,15,1413454587,35
36,10,15,1413455033,36
37,10,15,1413455076,37
38,7,15,1413540400,38
39,7,15,1413551457,39
40,7,15,1413551759,40
41,7,15,1413552251,41
42,7,15,1413552486,42
43,7,15,1413552765,43
44,7,15,1413553179,44
45,7,15,1413556496,45
46,11,15,1493301195,46
47,7,16,1409154256,47
48,7,16,1409154349,48
49,7,16,1409154483,49
50,7,16,1409155000,50
51,7,16,1409155371,51
52,10,16,1410865736,52
53,10,16,1410865881,53
54,7,16,1410866129,54
55,10,16,1410866191,55
56,10,16,1410866234,56
57,7,16,1410866391,57
58,7,16,1410866444,58
59,10,16,1410928895,59
60,10,16,1410928963,60
61,10,16,1410932381,61
62,10,16,1410932444,62
63,10,16,1411097330,63
64,10,16,1411097836,64
65,10,16,1411097863,65
66,10,16,1411097879,66
67,10,16,1411098041,67
68,10,16,1411098075,68
69,7,16,1411171309,69
70,7,16,1411171415,70
71,7,16,1411171487,71
72,7,16,1411171692,72
73,10,16,1411275115,73
74,7,16,1411292143,74
75,7,16,1411292260,75
76,7,16,1411293149,76
77,7,16,1411293233,77
78,10,16,1411447168,78
79,10,16,1411447242,79
80,7,16,1411454547,80
81,10,16,1411712067,81
82,10,16,1411882442,82
83,10,16,1413093250,83
84,10,16,1413264160,84
85,10,16,1413866933,85
86,10,16,1414667870,86
87,10,16,1415249367,87
88,10,16,1415528968,88
89,10,16,1415690812,89
90,10,16,1415690917,90
91,10,16,1415698074,91
92,10,16,1416200323,92
93,10,16,1416306626,93
94,10,16,1416470819,94
95,10,16,1416805664,95
96,10,16,1417057755,96
97,10,16,1417146368,97
98,10,16,1417330903,98
99,10,16,1417499990,99
100,10,16,1417768919,100
101,10,16,1418013381,101
102,10,16,1418274407,102
103,7,16,1418729822,103
104,10,16,1418806952,104
105,10,16,1418877477,105
106,10,16,1422529591,106
107,10,16,1422529660,107
108,10,16,1425036142,108
109,10,16,1426757657,109
110,10,16,1430463874,110
111,10,16,1432639633,111
112,10,16,1436339282,112
113,10,16,1437725325,113
114,10,16,1437725630,114
115,10,16,1437725651,115
116,10,16,1443676686,116
117,10,16,1444560130,117
118,10,16,1446097852,118
119,10,16,1446703502,119
120,10,16,1455187366,120
121,10,16,1466076243,121
122,10,16,1466076971,122
123,10,16,1466077094,123
124,10,16,1466077210,124
125,10,16,1466077314,125
126,10,16,1466100234,126
127,10,16,1466100281,127
128,11,16,1493301198,128
129,12,16,1493396271,129
130,7,16,1493830128,130
131,7,17,1492077955,131
132,11,17,1493301198,132
133,7,18,1409154669,133
134,7,18,1409155245,134
135,7,18,1409199508,135
136,7,18,1409199738,136
137,10,18,1409225096,137
138,7,18,1409239364,138
139,2,18,1409295081,139
140,2,18,1409295248,140
141,7,18,1409325438,141
142,7,18,1409328035,142
143,10,18,1410414786,143
144,10,18,1410414955,144
145,10,18,1410415078,145
146,10,18,1410415148,146
147,10,18,1410415219,147
148,7,18,1410436512,148
149,7,18,1410436674,149
150,7,18,1410436741,150
151,10,18,1410495653,151
152,10,18,1410495777,152
153,2,18,1410502514,153
154,7,18,1410515892,154
155,7,18,1410575801,155
156,7,18,1417508921,156
157,7,18,1417509223,157
158,7,18,1417509669,158
159,7,18,1423204333,159
160,7,18,1423204422,160
161,7,18,1423204501,161
162,7,18,1432874449,162
163,7,18,1432874456,163
164,7,18,1432874510,164
165,7,18,1432874520,165
166,10,18,1465361624,166
167,10,18,1467528155,167
168,10,18,1467528208,168
169,10,18,1467614402,169
170,10,18,1467614572,170
171,10,18,1469358275,171
172,10,18,1469359066,172
173,7,18,1469359983,173
174,10,18,1469434227,174
175,13,18,1469446751,175
176,13,18,1469446770,176
177,13,18,1469446783,177
178,13,18,1469447014,178
179,13,18,1469447074,179
180,2,18,1469592701,180
181,2,18,1469592846,181
182,2,18,1469592913,182
183,7,18,1469597457,183
184,7,18,1469597512,184
185,10,18,1469604987,185
186,2,18,1469613808,186
187,2,18,1470984756,187
188,2,18,1470994155,188
189,2,18,1470994314,189
190,2,18,1470994425,190
191,7,18,1471004506,191
192,10,18,1471169375,192
193,10,18,1471169937,193
194,2,18,1471413137,194
195,10,18,1471778439,195
196,10,18,1471844216,196
197,2,18,1472085749,197
198,10,18,1479882056,198
199,10,18,1479882129,199
200,10,18,1479890861,200
201,2,18,1479949426,201
202,2,18,1479949469,202
203,2,18,1479949518,203
204,10,18,1482994632,204
205,2,18,1482997546,205
206,2,18,1483003255,206
207,14,18,1483004259,207
208,14,18,1483015766,208
209,14,18,1483080123,209
210,14,18,1483085167,210
211,14,18,1483085732,211
212,14,18,1483086958,212
213,14,18,1483280034,213
214,2,18,1484218162,214
215,2,18,1484218617,215
216,2,18,1484218673,216
217,2,18,1484218773,217
218,10,18,1484238849,218
219,2,18,1486004378,219
220,12,18,1487752529,220
221,12,18,1487752574,221
222,12,18,1487752589,222
223,12,18,1487752610,223
224,12,18,1487752646,224
225,15,18,1487765521,225
226,12,18,1488084070,226
227,12,18,1488084103,227
228,12,18,1488084126,228
229,10,18,1488521026,229
230,12,18,1488522701,230
231,10,18,1488523745,231
232,15,18,1488547410,232
233,10,18,1491818124,233
234,10,18,1491829178,234
235,2,18,1491829406,235
236,15,18,1491833772,236
237,12,18,1491840248,237
238,12,18,1491840285,238
239,10,18,1491886366,239
240,10,18,1491886405,240
241,7,18,1491890404,241
242,7,18,1491890486,242
243,12,18,1491896505,243
244,15,18,1491899464,244
245,10,18,1491900484,245
246,10,18,1491909601,246
247,12,18,1491928348,247
248,12,18,1491928406,248
249,12,18,1491928569,249
250,15,18,1491961951,250
251,10,18,1491973483,251
252,10,18,1491973711,252
253,10,18,1491973766,253
254,10,18,1491975379,254
255,10,18,1491991455,255
256,10,18,1491991605,256
257,10,18,1492015466,257
258,10,18,1492015576,258
259,7,18,1492016315,259
260,2,18,1492018869,260
261,2,18,1492045725,261
262,2,18,1492046451,262
263,2,18,1492046648,263
264,15,18,1492047425,264
265,2,18,1492049744,265
266,2,18,1492049845,266
267,2,18,1492049899,267
268,2,18,1492050143,268
269,2,18,1492050243,269
270,2,18,1492050326,270
271,2,18,1492050770,271
272,2,18,1492051835,272
273,2,18,1492052049,273
274,2,18,1492052427,274
275,2,18,1492053027,275
276,10,18,1492064470,276
277,12,18,1492073636,277
278,10,18,1492075459,278
279,10,18,1492076701,279
280,7,18,1492077955,280
281,7,18,1492094068,281
282,12,18,1492096145,282
283,10,18,1492098932,283
284,15,18,1492100226,284
285,10,18,1492100296,285
286,7,18,1492109588,286
287,2,18,1492138140,287
288,15,18,1492145438,288
289,12,18,1492155759,289
290,12,18,1492333002,290
291,12,18,1492333176,291
292,10,18,1492678994,292
293,10,18,1492686408,293
294,11,18,1493301214,294
295,2,18,1493320008,295
296,2,18,1493320218,296
297,2,18,1493354045,297
298,2,18,1493366244,298
299,2,18,1493371137,299
300,2,18,1493447527,300
301,15,18,1493451718,301
302,16,18,1493829136,302
303,16,18,1493829309,303
304,17,18,1498210180,304
305,17,18,1498210253,305
306,7,19,1411225740,306
307,7,19,1411225831,307
308,7,19,1411226123,308
309,7,19,1411226299,309
310,7,19,1411226524,310
311,7,19,1411268012,311
312,7,19,1411268329,312
313,7,19,1411268695,313
314,7,19,1411269082,314
315,7,19,1411291293,315
316,7,19,1411291546,316
317,7,19,1411291962,317
318,7,19,1492017886,318
319,11,19,1493301214,319
320,7,20,1411294882,320
321,7,20,1411295421,321
322,7,20,1411295859,322
323,7,20,1411296215,323
324,7,20,1411297245,324
325,7,20,1411297824,325
326,7,20,1411297944,326
327,11,20,1493301215,327
328,18,21,1409723965,328
329,18,21,1409742581,329
330,7,21,1410431287,330
331,7,21,1410431769,331
332,7,21,1410432073,332
333,7,21,1410434952,333
334,7,21,1410435305,334
335,19,21,1461993970,335
336,19,21,1462028157,336
337,19,21,1462061810,337
338,19,21,1462063378,338
339,19,21,1462204799,339
340,12,21,1462635108,340
341,12,21,1463193567,341
342,12,21,1463193616,342
343,12,21,1463193709,343
344,12,21,1463193754,344
345,12,21,1463193781,345
346,12,21,1463193925,346
347,12,21,1464710419,347
348,12,21,1464880656,348
349,12,21,1464880803,349
350,12,21,1465914877,350
351,19,21,1483612634,351
352,19,21,1483612805,352
353,19,21,1483770814,353
354,10,21,1483812786,354
355,10,21,1483899605,355
356,10,21,1483979795,356
357,20,21,1484064819,357
358,10,21,1484297195,358
359,10,21,1484547111,359
360,10,21,1484547833,360
361,10,21,1486283829,361
362,10,21,1486374263,362
363,10,21,1486450281,363
364,10,21,1487236697,364
365,11,21,1493301228,365
366,7,22,1409155635,366
367,7,22,1410862553,367
368,21,22,1426235663,368
369,2,22,1426475921,369
370,2,22,1463720719,370
371,2,22,1463721112,371
372,10,22,1466075638,372
373,2,22,1469587508,373
374,2,22,1469587548,374
375,2,22,1469587577,375
376,2,22,1469587602,376
377,2,22,1469588173,377
378,2,22,1469588217,378
379,2,22,1469588412,379
