,u,i,ts,idx
0,1,1,1140649647,0
1,2,1,1151660940,1
2,2,1,1160158647,2
3,2,1,1177580927,3
4,3,1,1216681821,4
5,4,1,1235162452,5
6,5,1,1435149812,6
7,5,1,1439749179,7
8,6,1,1468529752,8
9,7,1,1469935471,9
10,8,1,1469935579,10
11,9,2,1103620988,11
12,9,2,1119697248,12
13,10,2,1141067713,13
14,10,2,1141067911,14
15,10,2,1141067946,15
16,9,3,1103620988,16
17,9,3,1119697250,17
18,10,3,1141068738,18
19,9,4,1103620988,19
20,9,4,1119697250,20
21,10,4,1141065999,21
22,11,5,1114209383,22
23,12,5,1429224310,23
24,13,6,1126457186,24
25,14,7,1134275737,25
26,15,7,1135662230,26
27,14,7,1137375689,27
28,14,8,1134275663,28
29,14,9,1134275677,29
30,15,10,1135662324,30
31,14,10,1137375787,31
32,16,10,1137613692,32
33,16,11,1135212213,33
34,16,11,1135689890,34
35,16,12,1135212225,35
36,16,12,1442115151,36
37,15,13,1135661597,37
38,15,14,1135661691,38
39,16,15,1137283714,39
40,16,16,1137283874,40
41,16,16,1140392849,41
42,16,16,1141854262,42
43,17,16,1489178549,43
44,18,17,1137749255,44
45,1,18,1140649647,45
46,10,18,1140804794,46
47,10,19,1140804867,47
48,10,19,1140806404,48
49,10,19,1140806992,49
50,10,19,1140807231,50
51,10,19,1140815599,51
52,10,19,1140868508,52
53,10,19,1140868668,53
54,10,19,1140882693,54
55,10,19,1140953285,55
56,10,19,1140970697,56
57,10,19,1140970827,57
58,10,19,1140971118,58
59,10,19,1140971398,59
60,10,19,1140971506,60
61,10,19,1140974427,61
62,19,19,1171804332,62
63,19,19,1171888687,63
64,19,19,1171889518,64
65,19,19,1171889944,65
66,19,19,1171890332,66
67,19,19,1171891807,67
68,19,19,1171891822,68
69,19,19,1171892507,69
70,19,19,1172201608,70
71,10,20,1140805754,71
72,4,20,1259150985,72
73,20,20,1296679066,73
74,5,20,1435746600,74
75,21,20,1493064443,75
76,10,21,1140806559,76
77,10,21,1140806727,77
78,10,21,1140868725,78
79,10,21,1140869323,79
80,10,22,1140806763,80
81,10,23,1140807535,81
82,10,23,1140808291,82
83,10,23,1140808343,83
84,10,23,1140808553,84
85,10,23,1140808596,85
86,10,23,1140971605,86
87,19,23,1171899789,87
88,22,23,1357809984,88
89,10,24,1140807628,89
90,10,25,1140809340,90
91,10,25,1140809688,91
92,23,25,1140850896,92
93,10,25,1140870525,93
94,24,25,1140886677,94
95,24,25,1140886699,95
96,10,26,1140809435,96
97,12,26,1429224306,97
98,10,27,1140809993,98
99,10,27,1345551316,99
100,6,27,1468530080,100
101,21,27,1493064413,101
102,10,28,1140810871,102
103,2,28,1160158557,103
104,2,28,1169714068,104
105,2,28,1173272214,105
106,3,28,1218670497,106
107,20,28,1329928440,107
108,5,28,1345694984,108
109,25,28,1424695075,109
110,8,28,1469936001,110
111,6,28,1471242595,111
112,21,28,1493064401,112
113,21,28,1493064641,113
114,10,29,1140813861,114
115,22,29,1364211004,115
116,22,29,1364211009,116
117,10,30,1140814676,117
118,10,30,1140883124,118
119,10,30,1140883400,119
120,23,31,1140851171,120
121,10,32,1140870145,121
122,10,32,1140870220,122
123,21,32,1448399647,123
124,10,33,1140883177,124
125,24,34,1140886445,125
126,10,35,1140952374,126
127,10,35,1140953036,127
128,10,35,1140953054,128
129,10,35,1140953071,129
130,19,35,1171537343,130
131,22,35,1357638584,131
132,22,35,1357813732,132
133,22,35,1357813756,133
134,10,36,1140971246,134
135,10,37,1140971913,135
136,10,37,1140972142,136
137,10,37,1140972182,137
138,19,37,1171892764,138
139,19,37,1171893181,139
140,19,37,1171893742,140
141,19,37,1171893956,141
142,19,37,1171893980,142
143,19,37,1171899365,143
144,19,37,1171899436,144
145,22,37,1357809649,145
146,10,38,1140972688,146
147,10,38,1140973225,147
148,26,38,1219101973,148
149,3,38,1225808970,149
150,4,38,1242812679,150
151,4,38,1251510620,151
152,4,38,1253187067,152
153,4,38,1253389762,153
154,4,38,1262279353,154
155,4,38,1268481264,155
156,4,38,1268541188,156
157,4,38,1285564273,157
158,4,38,1288079828,158
159,20,38,1297502686,159
160,20,38,1297541990,160
161,20,38,1298946949,161
162,27,38,1318979373,162
163,27,38,1323554891,163
164,5,38,1418924547,164
165,5,38,1444105884,165
166,5,38,1462334900,166
167,21,38,1493064345,167
168,10,39,1140972910,168
169,10,39,1140973292,169
170,2,39,1151660078,170
171,2,39,1163106297,171
172,2,39,1167854941,172
173,2,39,1179171622,173
174,26,39,1219101933,174
175,3,39,1225811713,175
176,4,39,1234487369,176
177,4,39,1235122535,177
178,4,39,1244416401,178
179,4,39,1245355968,179
180,4,39,1249111321,180
181,4,39,1253187607,181
182,4,39,1253389236,182
183,4,39,1255116407,183
184,4,39,1255616142,184
185,4,39,1261241182,185
186,4,39,1265461573,186
187,4,39,1268534854,187
188,4,39,1285230578,188
189,28,39,1292215789,189
190,20,39,1299116338,190
