,u,i,ts,idx
0,1,1,1075388603,0
1,1,1,1075388603,1
2,1,2,1075388603,2
3,1,2,1075388603,3
4,2,3,1091806286,4
5,2,4,1091806623,5
6,3,5,1096293303,6
7,4,6,1096981892,7
8,5,6,1134718258,8
9,6,6,1135459575,9
10,7,6,1136624668,10
11,7,6,1137428252,11
12,7,6,1137576845,12
13,8,6,1145249514,13
14,9,6,1162200446,14
15,10,6,1165454287,15
16,10,6,1165454423,16
17,11,6,1174811677,17
18,12,6,1177409552,18
19,13,6,1179688929,19
20,14,6,1180884142,20
21,14,6,1181829619,21
22,15,6,1195688078,22
23,16,6,1196101301,23
24,17,6,1196128688,24
25,16,6,1196154256,25
26,17,6,1196270541,26
27,12,6,1214278309,27
28,12,6,1214278811,28
29,12,6,1214287349,29
30,18,7,1109608247,30
31,19,7,1426632483,31
32,20,7,1429224316,32
33,19,7,1429245540,33
34,18,8,1109621671,34
35,20,8,1429224316,35
36,21,9,1112134158,36
37,21,9,1112134560,37
38,21,9,1112134648,38
39,22,9,1213446336,39
40,20,9,1429224316,40
41,21,10,1112135146,41
42,21,10,1112195209,42
43,11,10,1174077434,43
44,23,10,1174463153,44
45,24,10,1281024539,45
46,22,10,1399530554,46
47,22,10,1399530610,47
48,22,10,1399530669,48
49,22,10,1399531162,49
50,22,10,1399531649,50
51,22,10,1399541497,51
52,22,10,1399544164,52
53,25,10,1399546613,53
54,25,10,1399546747,54
55,22,10,1399546967,55
56,22,10,1399546990,56
57,26,10,1399631653,57
58,26,10,1399632521,58
59,26,10,1399632767,59
60,27,10,1399659487,60
61,28,10,1399659554,61
62,28,10,1399659588,62
63,27,10,1399659825,63
64,27,10,1399659908,64
65,29,10,1399843436,65
66,29,10,1399843830,66
67,30,10,1399873660,67
68,22,10,1399884741,68
69,22,10,1399885142,69
70,22,10,1399885247,70
71,22,10,1399885311,71
72,22,10,1399885353,72
73,22,10,1399885415,73
74,22,10,1399885455,74
75,22,10,1399885489,75
76,22,10,1399886229,76
77,26,10,1399954269,77
78,26,10,1399954344,78
79,26,10,1400787861,79
80,26,10,1400787969,80
81,31,11,1112621885,81
82,32,12,1112694957,82
83,32,12,1113679922,83
84,20,12,1429224325,84
85,21,13,1113057980,85
86,21,13,1113058288,86
87,21,13,1113058990,87
88,21,13,1113059161,88
89,22,13,1213446265,89
90,19,13,1426632497,90
91,20,13,1429224316,91
92,19,13,1429245541,92
93,33,14,1115340712,93
