,u,i,ts,idx
0,1,1,1113586440,0
1,1,2,1113587194,1
2,1,2,1113587322,2
3,1,2,1113587375,3
4,2,2,1119948822,4
5,3,2,1145596392,5
6,3,2,1145596719,6
7,3,2,1145596836,7
8,3,2,1145598306,8
9,3,2,1145598548,9
10,3,2,1145598584,10
11,3,2,1145598639,11
12,3,2,1145598806,12
13,3,2,1145600412,13
14,3,2,1145600514,14
15,3,2,1145600735,15
16,3,2,1145601989,16
17,3,2,1145603461,17
18,3,2,1145603495,18
19,3,2,1145606461,19
20,3,2,1145606697,20
21,3,2,1145606714,21
22,3,2,1145606944,22
23,3,2,1145606976,23
24,3,2,1145607042,24
25,3,2,1145608965,25
26,3,2,1145610049,26
27,3,2,1145610091,27
28,3,2,1145610963,28
29,3,2,1145611075,29
30,3,2,1145611332,30
31,3,2,1145612239,31
32,3,2,1145614842,32
33,3,2,1145614880,33
34,3,2,1145614900,34
35,3,2,1145614940,35
36,3,2,1145615374,36
37,3,2,1145616339,37
38,3,2,1145616666,38
39,3,2,1145616994,39
40,3,2,1145617859,40
41,3,2,1145618059,41
42,3,2,1145618157,42
43,3,2,1145618259,43
44,3,2,1145618323,44
45,3,2,1145619952,45
46,3,2,1145620891,46
47,3,2,1145621092,47
48,3,2,1145622015,48
49,3,2,1145622340,49
50,3,2,1145623340,50
51,3,2,1145623776,51
52,3,2,1145816968,52
53,3,2,1145817818,53
54,3,2,1145818932,54
55,3,2,1145819393,55
56,3,2,1146118199,56
57,4,2,1157836386,57
58,3,2,1160854318,58
59,3,2,1160858543,59
60,3,2,1160859360,60
61,3,2,1160859740,61
62,3,2,1160860487,62
63,3,2,1160862541,63
64,3,2,1160862788,64
65,3,2,1160863748,65
66,3,2,1160863973,66
67,3,2,1160864127,67
68,3,2,1160864169,68
69,3,2,1160864199,69
70,3,2,1160864350,70
71,3,2,1160864507,71
72,3,2,1160864671,72
73,3,2,1160865469,73
74,3,2,1160866260,74
75,3,2,1160866667,75
76,3,2,1160867116,76
77,3,2,1160930963,77
78,3,2,1160931418,78
79,3,2,1160934491,79
80,3,2,1160934770,80
81,3,2,1160934954,81
82,3,2,1160935289,82
83,3,2,1160935526,83
84,3,2,1160935746,84
85,3,2,1160937816,85
86,3,2,1160939384,86
87,3,2,1161029100,87
88,3,2,1161030558,88
89,3,2,1161158667,89
90,3,2,1161158934,90
91,3,2,1161164517,91
92,3,2,1161164781,92
93,3,2,1161207182,93
94,3,2,1161207399,94
95,3,2,1161209832,95
96,3,2,1161213920,96
97,3,2,1161214403,97
98,3,2,1161215020,98
99,3,2,1162683199,99
100,3,2,1162683347,100
101,3,2,1162752824,101
102,3,2,1162753066,102
103,3,2,1162753864,103
104,3,2,1162757493,104
105,3,2,1162758309,105
106,3,2,1162760388,106
107,3,2,1162760555,107
108,3,2,1162775724,108
109,5,2,1174594852,109
110,6,2,1191320331,110
111,2,2,1229790435,111
112,7,2,1238166457,112
113,8,2,1238177676,113
114,9,2,1309202135,114
115,9,2,1309202753,115
116,10,2,1309362864,116
117,9,2,1309883285,117
118,10,2,1309886375,118
119,11,2,1383307029,119
120,12,2,1391565798,120
121,13,2,1394003335,121
122,14,2,1412593745,122
123,15,2,1445103637,123
124,15,2,1445103931,124
125,15,2,1445198720,125
126,15,2,1445245641,126
127,15,2,1445246023,127
128,15,2,1445246088,128
129,15,2,1445246197,129
130,15,2,1445248116,130
131,15,2,1445269668,131
132,15,2,1445525317,132
133,15,2,1445525477,133
134,15,2,1447094046,134
135,15,2,1450675862,135
136,3,3,1145608473,136
137,16,3,1160981748,137
138,3,3,1161107873,138
139,3,3,1161108888,139
140,17,3,1165101757,140
141,17,3,1165102127,141
142,17,3,1165102270,142
143,17,3,1165102553,143
144,17,3,1165102950,144
145,17,3,1165103725,145
146,4,3,1174230030,146
147,18,3,1175431081,147
148,4,3,1176830202,148
149,18,3,1178361691,149
150,4,3,1178978252,150
151,4,3,1179138167,151
152,4,3,1179142326,152
153,18,3,1181120481,153
154,18,3,1197676238,154
155,19,3,1220651618,155
156,20,3,1232755009,156
157,8,3,1237035616,157
158,4,3,1237235526,158
159,21,3,1256592378,159
160,21,3,1265048351,160
161,21,3,1279121368,161
162,21,3,1280991250,162
163,22,3,1303859185,163
164,22,3,1323437576,164
165,23,3,1334167621,165
166,24,3,1397007238,166
167,11,3,1409479853,167
168,25,3,1412883515,168
169,11,3,1413180658,169
170,3,4,1145608685,170
171,18,4,1175430975,171
172,4,4,1176830722,172
173,4,4,1178949972,173
174,18,4,1189273904,174
175,19,4,1220677231,175
176,21,4,1319784154,176
177,26,4,1329512499,177
178,21,4,1330486120,178
179,23,4,1348393852,179
180,27,4,1397511469,180
181,28,5,1134278631,181
182,28,6,1134278643,182
183,29,7,1135663013,183
184,29,7,1137567632,184
185,3,7,1145599268,185
186,3,7,1145610239,186
187,30,7,1145776573,187
188,30,7,1145776901,188
189,3,7,1145816790,189
190,3,7,1160861304,190
191,3,7,1160861325,191
192,2,7,1161120742,192
193,4,7,1178458241,193
194,8,7,1261660151,194
195,10,7,1261717101,195
196,8,7,1261753697,196
197,10,7,1261761830,197
198,4,7,1261930117,198
199,31,7,1287680775,199
200,32,7,1424807676,200
201,32,7,1429433347,201
202,15,7,1445248979,202
203,32,7,1457900015,203
204,15,7,1457959183,204
205,32,7,1490118349,205
206,29,8,1135663000,206
207,29,8,1136530286,207
208,29,8,1137421722,208
209,29,8,1137567616,209
210,2,8,1161120970,210
211,29,9,1136530269,211
212,29,9,1137421717,212
213,29,9,1137567641,213
214,3,10,1145599476,214
215,3,10,1145600155,215
216,3,10,1145600357,216
217,3,10,1145600880,217
218,3,10,1145601097,218
219,3,10,1145601303,219
220,3,10,1145601616,220
221,18,10,1175431204,221
222,4,10,1179053866,222
223,19,10,1220656348,223
224,20,10,1232748501,224
225,21,10,1256594978,225
226,33,10,1258191632,226
227,34,10,1258404416,227
228,21,10,1265057079,228
229,35,10,1297437625,229
230,21,10,1300280630,230
231,23,10,1348305084,231
232,36,10,1349829992,232
233,37,10,1438648936,233
234,3,11,1145599831,234
235,38,11,1203315739,235
236,19,11,1223701936,236
237,39,11,1236093043,237
238,34,11,1239012714,238
239,34,11,1239026520,239
