,u,i,ts,idx
0,1,1,1105917197,0
1,2,1,1114697962,1
2,2,1,1118262943,2
3,2,1,1118606056,3
4,2,1,1118606189,4
5,2,1,1118612427,5
6,2,1,1118612445,6
7,2,1,1118623182,7
8,2,1,1118775837,8
9,2,1,1118775927,9
10,2,1,1118775986,10
11,2,1,1118776196,11
12,2,1,1118776407,12
13,2,1,1134351527,13
14,2,1,1134352221,14
15,2,1,1135250881,15
16,2,1,1135256159,16
17,2,1,1135377160,17
18,2,1,1147638450,18
19,2,1,1149106515,19
20,3,1,1162068694,20
21,4,1,1162068933,21
22,5,1,1162114555,22
23,2,1,1162294259,23
24,2,1,1164103071,24
25,6,1,1173029136,25
26,6,1,1173029797,26
27,6,1,1173030941,27
28,7,1,1174585264,28
29,2,1,1175488889,29
30,8,1,1175526332,30
31,2,1,1182519771,31
32,9,1,1206368321,32
33,10,1,1212197339,33
34,10,1,1219273275,34
35,11,1,1223630989,35
36,11,1,1223632095,36
37,11,1,1223632174,37
38,11,1,1223755778,38
39,11,1,1223757239,39
40,11,1,1224836717,40
41,12,1,1225030465,41
42,12,1,1225065890,42
43,7,1,1225960015,43
44,13,1,1238504470,44
45,14,1,1247161480,45
46,15,1,1248587449,46
47,16,1,1250527307,47
48,17,1,1251496188,48
49,15,1,1251518554,49
50,13,1,1255813946,50
51,18,1,1258883715,51
52,18,1,1260977948,52
53,18,1,1261141992,53
54,18,1,1261308615,54
55,18,1,1261310807,55
56,18,1,1261310909,56
57,18,1,1276251480,57
58,19,1,1276787161,58
59,20,1,1306743234,59
60,20,1,1306743283,60
61,20,1,1306743330,61
62,20,1,1308652848,62
63,21,1,1332941344,63
64,22,1,1334357258,64
65,23,1,1359789818,65
66,24,1,1362611466,66
67,25,1,1362995884,67
68,26,1,1370787754,68
69,26,1,1370890728,69
70,27,1,1393321877,70
71,2,1,1417881264,71
72,27,1,1453248316,72
73,26,1,1457788575,73
74,26,1,1480179022,74
75,26,1,1484827505,75
76,28,1,1486204078,76
77,29,1,1487527872,77
78,30,2,1103770431,78
79,2,2,1118882931,79
80,30,3,1103770431,80
