,u,i,ts,idx
0,1,1,1080066846,0
1,2,1,1464638590,1
2,1,2,1079996093,2
3,3,2,1191038560,3
4,3,2,1191038632,4
5,4,3,1070606522,5
6,1,4,1080158872,6
7,1,5,1079997892,7
8,1,6,1080158330,8
9,1,7,1080107499,9
10,5,7,1428431984,10
11,5,7,1428432386,11
12,1,8,1080156137,12
13,1,9,1080160891,13
14,1,10,1080157104,14
15,1,11,1082156754,15
16,4,12,1070606522,16
17,1,13,1080102978,17
18,1,14,1080103701,18
19,1,15,1080148870,19
20,6,16,1080147893,20
21,1,17,1080148949,21
22,6,18,1080147913,22
23,1,19,1080157779,23
24,1,20,1080159227,24
25,6,21,1080159310,25
26,3,21,1191038690,26
27,1,22,1080106773,27
28,1,23,1080159395,28
29,1,24,1080155837,29
30,1,25,1080157900,30
31,1,26,1080158968,31
32,1,27,1080162209,32
33,6,28,1080159698,33
34,1,29,1079996668,34
35,1,30,1080156091,35
36,1,31,1080145691,36
37,3,31,1191039768,37
38,1,32,1080146065,38
39,1,33,1080160711,39
40,1,34,1080159016,40
41,1,35,1080158812,41
42,1,36,1080072877,42
43,6,37,1080157900,43
44,6,38,1080159156,44
45,1,39,1080159178,45
46,1,40,1080156242,46
47,1,41,1080156186,47
48,6,42,1080157796,48
49,1,43,1080073103,49
50,1,44,1080158908,50
51,6,45,1080148132,51
52,7,45,1428534598,52
53,1,46,1080159536,53
54,6,47,1079987940,54
55,7,47,1423264915,55
56,7,48,1423264552,56
57,4,50,1086455079,57
58,7,50,1428388203,58
59,4,51,1086455079,59
60,7,51,1428388164,60
61,4,52,1086455079,61
62,7,52,1428388222,62
63,4,53,1086455079,63
64,7,53,1428388238,64
65,4,54,1086455079,65
66,7,54,1428388257,66
67,4,55,1086455079,67
68,7,55,1428388272,68
69,4,56,1086455079,69
70,7,56,1428388285,70
71,4,57,1086455079,71
72,7,57,1428388306,72
73,4,58,1086455079,73
74,7,58,1428388323,74
75,4,59,1086455079,75
76,7,59,1428388372,76
77,4,60,1086455079,77
78,7,60,1428388388,78
79,4,61,1086455079,79
80,7,61,1428388401,80
81,4,62,1086455079,81
82,7,62,1428388415,82
83,4,63,1086455079,83
84,7,63,1428388427,84
85,4,64,1086455079,85
86,7,64,1428388441,86
87,4,65,1086455079,87
88,7,65,1428388459,88
89,4,66,1086455079,89
90,7,66,1428388475,90
91,4,67,1086455079,91
92,7,67,1428388488,92
93,4,68,1086455079,93
94,7,68,1428388508,94
95,4,69,1086455079,95
96,7,69,1428388520,96
97,4,70,1086455079,97
98,7,70,1428388536,98
99,4,71,1086455079,99
100,7,71,1428388553,100
101,4,72,1086455079,101
102,7,72,1428388567,102
103,4,73,1086455079,103
104,7,73,1428388791,104
105,4,74,1086455079,105
106,7,74,1428388778,106
107,4,75,1086455079,107
108,7,75,1428388754,108
109,4,76,1086455079,109
110,7,76,1428388741,110
111,4,77,1086455079,111
112,7,77,1428388726,112
113,4,78,1086455079,113
114,7,78,1428388713,114
115,4,79,1086455079,115
116,7,79,1428388701,116
117,4,80,1086455079,117
118,7,80,1428388688,118
119,4,81,1086455079,119
120,7,81,1428388674,120
121,4,82,1086455079,121
122,7,82,1428388658,122
123,4,83,1086455079,123
124,7,83,1428388645,124
125,4,84,1086455079,125
126,7,84,1428388633,126
127,4,85,1086455079,127
128,4,86,1086455079,128
129,4,87,1086455079,129
130,4,88,1086455079,130
131,4,89,1086455079,131
132,4,90,1086455079,132
133,4,91,1086455079,133
134,4,92,1086455079,134
135,4,93,1086455079,135
136,4,94,1086455079,136
137,4,95,1086455079,137
138,4,96,1086455079,138
139,4,97,1086455079,139
140,4,98,1086455079,140
141,4,99,1086455079,141
142,4,100,1086455079,142
143,4,101,1086455079,143
144,4,102,1086455079,144
145,4,103,1086455079,145
146,4,104,1086455079,146
147,4,105,1086455079,147
148,4,106,1086455079,148
149,4,107,1086455079,149
150,4,108,1086455079,150
151,4,109,1086455079,151
152,4,110,1086455079,152
153,4,111,1086455079,153
154,4,112,1086455079,154
155,4,113,1086455079,155
156,4,114,1086455079,156
157,4,115,1086455079,157
158,4,116,1086455079,158
159,4,117,1086455079,159
160,4,118,1086455079,160
161,4,119,1086455079,161
162,4,120,1086455079,162
163,4,121,1086455079,163
164,4,122,1086455079,164
165,4,123,1086455079,165
166,7,123,1428508162,166
167,4,124,1086455204,167
168,7,124,1423191145,168
169,7,124,1423263193,169
170,8,125,1114167582,170
171,8,125,1114186421,171
172,9,125,1429226244,172
173,10,126,1134282822,173
174,11,126,1135710320,174
175,12,126,1175761238,175
176,10,127,1134282788,176
177,10,128,1134282801,177
178,13,128,1290553336,178
179,14,128,1290597991,179
180,15,129,1140650547,180
181,16,129,1149182640,181
182,16,129,1149183593,182
183,3,129,1187713857,183
184,17,129,1230684443,184
185,18,129,1295449064,185
186,19,129,1297240359,186
187,19,129,1297240607,187
188,5,129,1420351182,188
189,5,129,1420352288,189
190,5,129,1423168292,190
191,5,129,1423170698,191
192,5,129,1423326881,192
193,7,129,1425034421,193
194,7,129,1425034479,194
195,7,129,1425966273,195
196,7,129,1426661509,196
197,20,129,1427389309,197
198,7,129,1429422383,198
199,11,130,1135709191,199
200,11,131,1135709284,200
201,21,132,1135712644,201
202,21,133,1135712711,202
203,21,133,1442544329,203
204,21,134,1135873258,204
205,15,134,1140650548,205
206,16,134,1149182516,206
207,22,134,1301565740,207
208,23,135,1137750881,208
209,24,137,1160224140,209
210,24,137,1161036287,210
211,24,137,1164836185,211
212,24,137,1166556686,212
213,25,137,1168831596,213
214,25,137,1168831642,214
215,24,137,1169139758,215
216,24,137,1176233945,216
217,26,137,1179894488,217
218,26,137,1179894505,218
219,27,137,1193177709,219
220,26,137,1199582077,220
221,28,137,1207311980,221
222,24,137,1211759320,222
223,28,137,1214813104,223
224,28,137,1227037603,224
225,29,137,1230847931,225
226,30,137,1242916774,226
227,30,137,1245813716,227
228,30,137,1250448082,228
229,30,137,1262967613,229
230,30,137,1264781434,230
231,30,137,1268871404,231
232,30,137,1269090716,232
233,30,137,1279385385,233
234,30,137,1283822947,234
235,22,137,1291037771,235
236,31,137,1291999393,236
237,20,137,1305495158,237
238,20,137,1316068407,238
239,31,137,1320166319,239
240,32,137,1338814496,240
241,32,137,1346925036,241
242,32,137,1348037899,242
243,32,137,1358690464,243
244,32,137,1370877461,244
245,20,137,1407787918,245
246,5,137,1419129030,246
247,5,137,1419129089,247
248,5,137,1419359909,248
249,7,137,1424044288,249
250,5,137,1425185858,250
251,7,137,1425248370,251
252,7,137,1427361586,252
253,32,137,1468123354,253
254,32,137,1487468529,254
255,33,137,1493478526,255
256,26,138,1179894654,256
257,26,138,1199579638,257
258,7,138,1424044964,258
259,7,138,1424045025,259
260,24,139,1161061926,260
261,25,139,1168832338,261
262,25,139,1168833840,262
263,26,139,1181966103,263
264,26,139,1182979018,264
265,27,139,1193176795,265
266,30,139,1235790961,266
267,34,139,1239154935,267
268,30,139,1244806089,268
269,30,139,1272998440,269
270,30,139,1274650272,270
271,30,139,1275772018,271
272,31,139,1336710938,272
273,32,139,1348067262,273
274,20,139,1411203436,274
275,5,139,1419128562,275
276,7,139,1423286233,276
277,7,139,1423541872,277
278,7,139,1428205773,278
279,7,139,1428992372,279
280,32,139,1464606354,280
281,33,139,1488162730,281
282,33,139,1493479472,282
283,16,140,1149182516,283
284,35,140,1185475992,284
285,22,140,1301565745,285
286,16,141,1149182640,286
287,22,141,1301565750,287
288,16,142,1149182863,288
289,16,142,1203068939,289
290,16,143,1149182962,290
291,36,143,1225414159,291
292,16,144,1149182992,292
293,16,144,1203068971,293
294,36,144,1225347181,294
295,37,145,1151849583,295
296,36,145,1277174212,296
297,36,145,1277175574,297
298,38,146,1199157685,298
299,38,146,1199157700,299
300,3,146,1199161289,300
301,39,146,1199751366,301
302,3,146,1199802284,302
303,19,146,1297240607,303
304,40,147,1160224180,304
305,35,148,1160827145,305
306,36,148,1225272331,306
307,41,149,1160828730,307
308,41,150,1160828743,308
309,42,151,1163297211,309
310,42,151,1163310040,310
311,25,152,1168466042,311
312,25,152,1168470547,312
313,25,152,1168470698,313
314,25,152,1168471158,314
315,25,152,1168471220,315
316,25,152,1168477434,316
317,25,152,1168834144,317
318,25,152,1170123399,318
319,24,152,1170523812,319
320,24,152,1172437807,320
321,24,152,1173271910,321
322,24,152,1177999421,322
323,24,152,1179147881,323
324,27,152,1193177776,324
325,29,152,1201651504,325
326,28,152,1218549123,326
327,43,152,1229059357,327
328,28,152,1231522036,328
329,30,152,1242032563,329
330,30,152,1243171321,330
331,30,152,1248714771,331
332,30,152,1249158426,332
333,30,152,1251476983,333
334,30,152,1252113048,334
335,30,152,1258468699,335
336,30,152,1265914588,336
337,30,152,1282995152,337
338,30,152,1283535206,338
339,30,152,1283870123,339
340,30,152,1285167680,340
341,31,152,1292616730,341
342,20,152,1326968356,342
343,32,152,1345662258,343
344,20,152,1361453507,344
345,32,152,1364681875,345
346,32,152,1376106594,346
347,20,152,1409644802,347
348,5,152,1419129591,348
349,32,152,1421020292,349
350,5,152,1425186071,350
351,7,152,1425287333,351
352,7,152,1427361633,352
353,32,152,1447483546,353
354,32,152,1451514821,354
355,20,152,1464162811,355
356,20,152,1464937550,356
357,33,152,1493481915,357
358,25,153,1168470720,358
359,25,153,1168480565,359
360,25,153,1168831154,360
361,5,153,1419359454,361
362,5,153,1419359518,362
363,5,153,1419359581,363
364,5,153,1419359604,364
365,5,153,1419359746,365
366,5,153,1419359785,366
367,5,153,1419361207,367
368,5,153,1419389921,368
369,5,153,1419535461,369
370,5,153,1419535584,370
371,5,153,1419535658,371
372,7,153,1423187567,372
373,7,153,1423190822,373
374,7,153,1423259605,374
375,5,153,1425185777,375
376,5,153,1425185812,376
377,5,153,1425186155,377
378,5,153,1425186248,378
379,5,153,1425186480,379
380,7,153,1425253482,380
381,7,153,1425324632,381
382,7,153,1425324740,382
383,25,154,1168470800,383
384,25,154,1168480586,384
385,25,154,1168831335,385
386,5,154,1419395966,386
387,7,154,1423191005,387
388,7,154,1423259690,388
389,7,154,1423261750,389
390,5,154,1425187179,390
391,7,154,1425325731,391
392,25,155,1168470865,392
393,25,155,1168480615,393
394,25,155,1168831006,394
395,5,155,1419476842,395
396,7,155,1423186861,396
397,7,155,1423190754,397
398,7,155,1423259436,398
399,5,155,1425186975,399
400,7,155,1425324315,400
401,7,155,1425324363,401
402,7,155,1425324867,402
403,7,155,1425793254,403
404,7,155,1425793763,404
405,7,155,1425796055,405
406,25,156,1168470902,406
407,25,156,1168480654,407
408,25,156,1168831039,408
409,5,156,1423186388,409
410,5,156,1423186468,410
411,7,156,1423188104,411
412,7,156,1423190714,412
413,7,156,1423259390,413
414,5,156,1425172927,414
415,5,156,1425173010,415
416,5,156,1425173045,416
417,5,156,1425187097,417
418,7,156,1425324675,418
419,25,157,1168470938,419
420,25,157,1168480683,420
