,u,i,ts,idx
0,1,1,1075387735,0
1,1,2,1075387735,1
2,1,3,1077420931,2
3,2,4,1083671194,3
4,2,4,1083671524,4
5,3,4,1140651470,5
6,4,4,1160186781,6
7,5,4,1168500331,7
8,4,4,1169453886,8
9,4,4,1176320749,9
10,6,4,1196342833,10
11,7,4,1197072671,11
12,8,4,1218135900,12
13,9,4,1398962704,13
14,10,4,1476844092,14
15,11,4,1489540099,15
16,10,4,1493421106,16
17,2,5,1083671641,17
18,3,5,1140651468,18
19,4,5,1160187443,19
20,4,5,1161004623,20
21,4,5,1171128592,21
22,4,5,1178468270,22
23,4,5,1210682176,23
24,8,5,1214933526,24
25,8,5,1218730548,25
26,8,5,1225399983,26
27,12,5,1234010610,27
28,12,5,1235946706,28
29,12,5,1235958231,29
30,12,5,1237189528,30
31,12,5,1243254176,31
32,12,5,1243256976,32
33,12,5,1246764030,33
34,12,5,1256144856,34
35,12,5,1258264303,35
36,12,5,1259431083,36
37,13,5,1304085337,37
38,14,5,1319968763,38
39,15,5,1322966565,39
40,15,5,1332105850,40
41,15,5,1338348958,41
42,16,5,1340186428,42
43,16,5,1350637452,43
44,16,5,1358467935,44
45,16,5,1363339623,45
46,16,5,1368576637,46
47,16,5,1376649908,47
48,13,5,1386683933,48
49,13,5,1387670747,49
50,17,5,1419950720,50
51,18,5,1427409254,51
52,19,5,1427951706,52
53,16,5,1438020429,53
54,16,5,1439331398,54
55,16,5,1448787865,55
56,10,5,1493396608,56
57,2,6,1083672664,57
58,2,7,1083674938,58
59,3,7,1140651469,59
60,20,7,1157933240,60
61,6,7,1196343453,61
62,6,7,1196343741,62
63,6,7,1196343766,63
64,7,7,1197072621,64
65,16,7,1434881412,65
66,10,7,1493396948,66
67,3,8,1140651468,67
68,7,8,1197072855,68
69,12,8,1235383851,69
70,12,8,1266658674,70
71,16,8,1434881315,71
72,10,8,1493396618,72
73,1,9,1086455303,73
74,1,10,1086455303,74
75,1,11,1086455303,75
76,1,12,1086455303,76
77,1,13,1086455303,77
78,1,14,1086455303,78
79,1,15,1086455303,79
80,1,16,1086455303,80
81,1,17,1086455303,81
82,1,18,1086455303,82
83,1,19,1086455303,83
84,1,20,1086455303,84
85,1,21,1086455303,85
86,1,22,1086455303,86
87,1,23,1086455303,87
88,1,24,1086455303,88
89,1,25,1086455303,89
90,1,26,1086455303,90
91,1,27,1086455303,91
92,1,28,1086455303,92
93,1,29,1086455303,93
94,1,30,1086455303,94
95,1,31,1086455303,95
96,1,32,1086455303,96
97,1,33,1086455303,97
98,1,34,1086455303,98
99,1,35,1086455303,99
100,1,36,1086455303,100
101,1,37,1086455303,101
102,1,38,1086455303,102
103,1,39,1086455303,103
104,1,40,1086455303,104
105,1,41,1086455303,105
106,1,42,1086455303,106
107,1,43,1086455303,107
108,1,44,1086455303,108
109,1,45,1086455303,109
110,1,46,1086455303,110
111,1,47,1086455303,111
112,1,48,1086455303,112
113,1,49,1086455303,113
114,1,50,1086455303,114
115,1,51,1086455303,115
116,1,52,1086455303,116
117,1,53,1086455303,117
118,1,54,1086455303,118
119,1,55,1086455303,119
120,1,56,1086455303,120
121,1,57,1086455303,121
