,u,i,ts,idx
0,1,1,1071714828,0
1,1,2,1071714828,1
2,1,3,1077420995,2
3,2,4,1080911435,3
4,2,5,1083554792,4
5,2,5,1083595010,5
6,2,5,1084806278,6
7,2,5,1084806361,7
8,3,5,1101179720,8
9,4,5,1101236314,9
10,4,5,1101236314,10
11,4,5,1101463385,11
12,2,5,1101468228,12
13,2,5,1101468609,13
14,2,5,1101468724,14
15,2,5,1101493224,15
16,4,5,1101556056,16
17,4,5,1101556637,17
18,4,5,1101556697,18
19,4,5,1101560411,19
20,3,5,1101579437,20
21,4,5,1101601956,21
22,4,5,1101641677,22
23,4,5,1101685893,23
24,4,5,1101686735,24
25,4,5,1101723229,25
26,4,5,1101755349,26
27,5,5,1101811232,27
28,5,5,1101811807,28
29,5,5,1101818560,29
30,5,5,1101818668,30
31,4,5,1101851656,31
32,4,5,1101852517,32
33,4,5,1101859267,33
34,4,5,1101862939,34
35,4,5,1101897161,35
36,5,5,1101966933,36
37,5,5,1101967245,37
38,5,5,1101968553,38
39,5,5,1101969539,39
40,4,5,1101987341,40
41,4,5,1101988495,41
42,4,5,1102033715,42
43,4,5,1102069259,43
44,4,5,1102080569,44
45,4,5,1102110307,45
46,5,5,1102141728,46
47,5,5,1102141837,47
48,5,5,1102142161,48
49,5,5,1102142302,49
50,4,5,1102164578,50
51,5,5,1102190427,51
52,4,5,1102202625,52
53,4,5,1102264651,53
54,4,5,1102286529,54
55,4,5,1102286618,55
56,4,5,1102534698,56
57,4,5,1102771917,57
58,4,5,1103243233,58
59,4,5,1103243420,59
60,6,5,1109408761,60
61,6,5,1109424897,61
62,7,5,1110848115,62
63,4,5,1117012749,63
64,4,5,1117362182,64
65,4,5,1117562971,65
66,4,5,1118075936,66
67,4,5,1120085273,67
68,8,5,1122032069,68
69,4,5,1122735220,69
70,8,5,1124363672,70
71,4,5,1125912231,71
72,8,5,1127465554,72
73,4,5,1127921820,73
74,8,5,1139653968,74
75,9,5,1140645972,75
76,10,5,1140651524,76
77,4,5,1147133224,77
78,4,5,1147133286,78
79,8,5,1147665820,79
80,4,5,1147679966,80
81,4,5,1147699505,81
82,4,5,1147940328,82
83,4,5,1148056199,83
84,4,5,1148413603,84
85,4,5,1148414045,85
86,4,5,1148414162,86
87,4,5,1148718473,87
88,4,5,1148727397,88
89,11,5,1154277654,89
90,8,5,1155767887,90
91,4,5,1157483484,91
92,12,5,1186233329,92
93,4,5,1194339115,93
94,13,5,1199034334,94
95,13,5,1199034850,95
96,13,5,1199113411,96
97,13,5,1199114265,97
98,13,5,1199209214,98
99,13,5,1199469591,99
100,13,5,1199559728,100
101,13,5,1200409122,101
102,13,5,1200680996,102
103,13,5,1200681067,103
104,14,5,1204387521,104
105,14,5,1204752963,105
106,14,5,1205019223,106
107,14,5,1205444127,107
108,14,5,1206484231,108
109,12,5,1219869838,109
110,15,5,1222952407,110
111,16,5,1223168081,111
112,17,5,1245833692,112
113,15,5,1245853932,113
114,18,5,1255732399,114
115,18,5,1255736807,115
116,18,5,1255748635,116
117,18,5,1255800508,117
118,18,5,1255809828,118
119,18,5,1255987323,119
120,18,5,1255989055,120
121,18,5,1256211895,121
122,19,5,1271748368,122
123,19,5,1271748445,123
124,19,5,1271748496,124
125,9,5,1294095049,125
126,20,5,1301385517,126
127,21,5,1337633477,127
128,22,5,1417857815,128
129,23,5,1439549315,129
130,24,5,1439568705,130
131,24,5,1439569054,131
132,24,5,1439569183,132
133,24,5,1439569236,133
134,25,5,1479403979,134
135,2,6,1101469973,135
136,2,6,1101470752,136
137,4,6,1101476919,137
138,3,6,1101589132,138
139,4,6,1116288793,139
140,4,6,1116288970,140
141,8,6,1122026124,141
142,8,6,1127379393,142
143,8,6,1127757181,143
144,8,6,1128460600,144
145,8,6,1138481758,145
146,10,6,1140651511,146
147,8,6,1142202560,147
148,8,6,1142905427,148
149,8,6,1148908965,149
150,8,6,1152778305,150
151,8,6,1159652812,151
152,8,6,1166808198,152
153,26,6,1168285093,153
154,26,6,1168286074,154
155,8,6,1184434162,155
156,8,6,1210703194,156
157,27,6,1223831918,157
158,28,6,1236384570,158
159,28,6,1254400092,159
160,28,6,1269243257,160
161,19,6,1271717629,161
162,28,6,1278631894,162
163,29,6,1311464227,163
164,30,6,1312028513,164
165,30,6,1312363671,165
166,31,6,1312380581,166
167,27,6,1320951827,167
168,21,6,1335914033,168
169,32,6,1349558008,169
170,32,6,1349558057,170
171,33,6,1376102658,171
172,34,6,1412696883,172
173,24,6,1439455775,173
174,24,6,1439484198,174
175,24,6,1439504379,175
176,33,6,1462335113,176
177,35,6,1470260041,177
178,36,6,1484377969,178
179,34,6,1493287393,179
180,37,7,1083586473,180
181,2,7,1101470080,181
182,2,7,1101470104,182
183,2,7,1101470735,183
184,4,7,1101476983,184
185,3,7,1101589671,185
186,10,7,1140651511,186
187,8,7,1144234779,187
188,33,7,1346387846,188
189,24,7,1439455960,189
190,24,7,1439484804,190
191,34,7,1493287401,191
192,2,8,1083554015,192
