,u,i,ts,idx
0,1,2,1098697717,0
1,2,2,1124458015,1
2,3,2,1124560315,2
3,4,2,1179520086,3
4,5,2,1179651635,4
5,5,2,1179757014,5
6,5,2,1179757159,6
7,5,2,1180196596,7
8,5,2,1258368815,8
9,6,2,1320049914,9
10,7,2,1343685089,10
11,8,2,1354146814,11
12,9,2,1415950412,12
13,6,2,1415994763,13
14,10,2,1438358934,14
15,10,2,1438476644,15
16,10,2,1438577931,16
17,10,2,1438578068,17
18,10,2,1438578487,18
19,10,2,1438579351,19
20,10,2,1438579472,20
21,10,2,1450059663,21
22,11,2,1492827213,22
23,1,3,1098697870,23
24,12,3,1098715440,24
25,1,3,1098718289,25
26,1,3,1098729369,26
27,1,3,1098729972,27
28,1,3,1098732376,28
29,13,3,1098781420,29
30,1,3,1098855691,30
31,1,3,1099070042,31
32,14,3,1108910187,32
33,14,3,1108931331,33
34,14,3,1109508779,34
35,15,3,1111487980,35
36,16,3,1111741793,36
37,17,3,1123542422,37
38,17,3,1123542498,38
39,3,3,1123750588,39
40,3,3,1123750741,40
41,17,3,1123783022,41
42,18,3,1128576161,42
43,18,3,1128677913,43
44,18,3,1128678192,44
45,18,3,1128998521,45
46,18,3,1129173071,46
47,18,3,1129174384,47
48,3,3,1130573787,48
49,4,3,1132714826,49
50,4,3,1133341587,50
51,4,3,1133766598,51
52,4,3,1134612963,52
53,4,3,1134617064,53
54,4,3,1134957636,54
55,3,3,1135523392,55
56,3,3,1135523398,56
57,3,3,1135951475,57
58,3,3,1135951488,58
59,3,3,1137154642,59
60,4,3,1138153554,60
61,3,3,1139216195,61
62,3,3,1139408458,62
63,3,3,1139967156,63
64,3,3,1140322915,64
65,4,3,1151024149,65
66,3,3,1159003337,66
67,4,3,1160100007,67
68,3,3,1160476444,68
69,19,3,1169033502,69
70,19,3,1169033711,70
71,19,3,1169033754,71
72,19,3,1169033791,72
73,19,3,1169033826,73
74,19,3,1169033881,74
75,19,3,1169033929,75
76,20,3,1172822918,76
77,4,3,1173058213,77
78,4,3,1173058252,78
79,4,3,1179521802,79
80,4,3,1179601696,80
81,5,3,1179680474,81
82,5,3,1179680553,82
83,5,3,1179680922,83
84,5,3,1179680946,84
85,5,3,1179682776,85
86,5,3,1179684682,86
87,5,3,1179684763,87
88,5,3,1179685919,88
89,5,3,1180195459,89
90,5,3,1180935532,90
91,21,3,1254184947,91
92,21,3,1260228639,92
93,21,3,1262688717,93
94,22,3,1264366315,94
95,21,3,1265049577,95
96,23,3,1266311288,96
97,23,3,1266311331,97
98,23,3,1274517491,98
99,23,3,1274613974,99
100,23,3,1275274900,100
101,23,3,1275274960,101
102,23,3,1284626901,102
103,21,3,1285329129,103
104,21,3,1291614443,104
105,21,3,1294900294,105
106,6,3,1326971296,106
107,7,3,1347410544,107
108,7,3,1347488953,108
109,7,3,1347529437,109
110,7,3,1347571702,110
111,7,3,1349843539,111
112,7,3,1349850997,112
113,7,3,1350664359,113
114,24,3,1359209900,114
115,23,3,1359211586,115
116,7,3,1371244985,116
117,25,3,1397219465,117
118,1,4,1098705177,118
119,1,4,1098705400,119
120,14,4,1109508263,120
121,26,4,1123769977,121
122,3,4,1131631314,122
123,4,4,1132128459,123
124,4,4,1133338529,124
125,3,4,1133780198,125
126,3,4,1133799038,126
127,3,4,1134615588,127
128,3,4,1134713690,128
129,3,4,1135521666,129
130,3,4,1139748025,130
131,4,4,1179105336,131
132,5,4,1180206477,132
133,3,4,1196163495,133
134,23,4,1309096915,134
135,27,4,1313547401,135
136,24,4,1359272922,136
137,28,4,1409116319,137
138,29,4,1443424007,138
139,29,4,1443424461,139
140,12,5,1098717738,140
141,17,5,1125664794,141
142,3,5,1126268479,142
143,4,5,1132104221,143
144,4,5,1132128037,144
145,17,5,1137765727,145
146,30,5,1165312551,146
147,30,5,1165312604,147
148,31,5,1206359408,148
149,6,5,1264123294,149
150,32,5,1282048263,150
151,6,5,1303538319,151
152,10,5,1475647751,152
153,1,6,1098729279,153
154,1,6,1098729825,154
155,1,6,1098731868,155
