,u,i,ts,idx
0,1,1,1110644344,0
1,1,1,1110644398,1
2,1,1,1110644459,2
3,2,1,1140651598,3
4,3,1,1327991896,4
5,4,2,1093328469,5
6,4,3,1093328566,6
7,4,4,1093329862,7
8,2,4,1140651599,8
9,5,4,1470277240,9
10,6,4,1470277466,10
11,2,6,1140651602,11
12,7,7,1110582298,12
13,2,8,1140651591,13
14,4,13,1110699566,14
15,2,13,1140651588,15
16,7,14,1110589414,16
17,2,14,1140651588,17
18,7,15,1110589373,18
19,4,15,1110700666,19
20,8,15,1136596686,20
21,2,15,1140651588,21
22,9,15,1182939821,22
23,10,15,1220650443,23
24,7,16,1110589333,24
25,4,16,1110701098,25
26,2,16,1140651588,26
27,7,17,1110589274,27
28,2,17,1140651588,28
29,7,18,1110589184,29
30,2,18,1140651588,30
31,7,19,1110582342,31
32,2,19,1140651601,32
33,7,20,1110582776,33
34,2,20,1140651588,34
35,7,21,1110582958,35
36,7,21,1110583166,36
37,2,21,1140651588,37
38,7,22,1110583426,38
39,2,22,1140651588,39
40,7,23,1110583492,40
41,2,23,1140651588,41
42,2,24,1140651588,42
43,4,25,1110701675,43
44,2,25,1140651589,44
45,4,25,1173121223,45
46,2,26,1140651589,46
47,7,27,1110586957,47
48,2,27,1140651589,48
49,7,28,1110587025,49
50,2,28,1140651589,50
51,7,29,1110587025,51
52,2,29,1140651589,52
53,7,30,1110587098,53
54,2,30,1140651589,54
55,7,31,1110587228,55
56,2,31,1140651589,56
57,7,32,1110587358,57
58,4,32,1110702178,58
59,2,32,1140651589,59
60,11,32,1195948426,60
61,11,32,1195948496,61
62,7,33,1110587491,62
63,2,33,1140651589,63
64,7,34,1110587661,64
65,2,34,1140651589,65
66,7,35,1110588001,66
67,2,35,1140651589,67
68,7,36,1110588624,68
69,2,36,1140651589,69
70,11,36,1195948243,70
71,7,37,1110588710,71
72,2,37,1140651589,72
73,7,38,1110588876,73
74,2,38,1140651589,74
75,7,39,1110588850,75
76,2,39,1140651589,76
77,1,40,1110635911,77
78,1,40,1110636017,78
79,1,40,1110636046,79
80,4,40,1110703650,80
81,2,40,1140651586,81
82,11,40,1195947942,82
83,10,40,1220648564,83
84,1,41,1110636254,84
85,2,41,1140651592,85
86,1,42,1110641563,86
87,1,42,1110644971,87
88,1,42,1110645093,88
89,1,42,1110645261,89
90,1,42,1110645417,90
91,1,42,1110645535,91
92,1,42,1110645591,92
93,1,42,1110646663,93
94,1,42,1110647036,94
95,1,42,1110647199,95
96,1,42,1110667015,96
97,1,42,1110667102,97
98,1,42,1110667174,98
99,1,42,1110667619,99
100,1,42,1110667743,100
101,1,42,1110668053,101
102,1,42,1110668238,102
103,1,42,1110668295,103
104,1,42,1110668347,104
105,1,42,1110672658,105
106,1,42,1110672694,106
107,1,42,1110673288,107
108,1,42,1110673485,108
109,1,42,1114772291,109
110,1,42,1114772430,110
111,1,42,1114774696,111
112,1,42,1114774781,112
113,12,42,1121908630,113
114,12,42,1127465580,114
115,1,42,1130799580,115
116,1,42,1130799846,116
117,1,42,1130799980,117
118,2,42,1140651599,118
119,13,42,1154278297,119
120,1,42,1175524177,120
121,10,42,1220648920,121
122,14,42,1224516225,122
123,15,42,1226360028,123
124,16,42,1229951735,124
125,17,42,1327805321,125
126,18,42,1391654520,126
127,18,42,1391654544,127
128,1,43,1110647502,128
129,1,43,1110647582,129
130,1,43,1110647666,130
131,1,43,1110647747,131
132,1,43,1110647847,132
133,1,43,1110647946,133
134,1,43,1110647982,134
135,1,43,1110648070,135
136,1,43,1110648175,136
137,1,43,1110648317,137
138,1,43,1110751793,138
139,1,43,1110752955,139
140,1,43,1110753747,140
141,1,43,1110753944,141
142,1,43,1110754026,142
143,1,43,1110754063,143
144,1,43,1110754605,144
145,1,43,1110842142,145
146,1,43,1110928420,146
147,1,43,1110928955,147
148,1,43,1111096162,148
149,1,43,1111097017,149
150,1,43,1111340005,150
151,1,43,1111443705,151
152,1,43,1111445538,152
153,1,43,1111445586,153
154,1,43,1111876341,154
155,1,43,1111880400,155
156,1,43,1111963696,156
157,1,43,1111965331,157
158,1,43,1111966032,158
159,12,43,1124423092,159
160,2,43,1140651591,160
161,12,43,1143308750,161
162,10,43,1235854862,162
163,19,43,1236024778,163
164,19,43,1268348142,164
165,20,43,1293898436,165
166,21,43,1468690389,166
167,21,43,1493282335,167
168,1,44,1110648505,168
