,u,i,ts,idx
0,1,1,1075383025,0
1,1,2,1075383025,1
2,1,3,1077421029,2
3,1,4,1086456841,3
4,1,5,1086456841,4
5,1,6,1086456841,5
6,1,7,1086456841,6
7,1,8,1086456841,7
8,1,9,1086456841,8
9,1,10,1086456841,9
10,1,11,1086456841,10
11,1,12,1086456841,11
12,1,13,1086456841,12
13,1,14,1086456841,13
14,1,15,1086456841,14
15,1,16,1086456841,15
16,1,17,1086456841,16
17,1,18,1086456841,17
18,1,19,1086456841,18
19,1,20,1086456841,19
20,1,21,1086456841,20
21,1,22,1086456841,21
22,1,23,1086456841,22
23,1,24,1086456841,23
24,1,25,1086456841,24
25,1,26,1086456841,25
26,1,27,1086456841,26
27,1,28,1086456841,27
28,1,29,1086456841,28
29,1,30,1086456841,29
30,1,31,1086456841,30
31,1,32,1086456841,31
32,1,33,1086456841,32
33,1,34,1086456841,33
34,1,35,1086456841,34
35,1,36,1086456841,35
36,1,37,1086456841,36
37,1,38,1086456841,37
38,1,39,1086456841,38
39,1,40,1086456841,39
40,1,41,1086456841,40
41,1,42,1086456841,41
42,1,43,1086456841,42
43,1,44,1086456841,43
44,1,45,1086456841,44
45,1,46,1086456841,45
46,1,47,1086456841,46
47,1,48,1086456841,47
48,1,49,1086456841,48
49,1,50,1086456841,49
50,1,51,1086456841,50
51,1,52,1086456841,51
52,1,53,1086456841,52
53,1,54,1086456841,53
54,1,55,1086456841,54
55,1,56,1086456841,55
56,1,57,1086456841,56
57,1,58,1086456841,57
58,1,59,1086456841,58
59,1,60,1086456841,59
60,1,61,1086456841,60
61,1,62,1086456841,61
62,1,63,1086456841,62
63,1,64,1086456841,63
64,1,65,1086456841,64
65,1,66,1086456841,65
66,1,67,1086456841,66
67,1,68,1086456841,67
68,1,69,1086456841,68
69,1,70,1086456841,69
70,1,71,1086456841,70
71,1,72,1086456841,71
72,1,73,1086456841,72
73,1,74,1086456841,73
74,1,75,1086456841,74
75,1,76,1086456841,75
76,1,77,1086456841,76
77,1,78,1086456912,77
78,2,79,1114209441,78
79,3,79,1429227556,79
80,4,80,1124673540,80
81,5,80,1140655344,81
82,6,80,1152033853,82
83,7,80,1156423994,83
84,7,80,1160169072,84
85,7,80,1167822438,85
86,7,80,1168349834,86
87,7,80,1170537559,87
88,7,80,1175191535,88
89,8,80,1192722691,89
90,4,80,1211414926,90
91,9,80,1213203649,91
92,9,80,1213203907,92
93,10,80,1276343827,93
94,11,80,1324061715,94
95,12,80,1344247529,95
96,13,80,1367332085,96
97,13,80,1367332240,97
98,13,80,1367334468,98
99,13,80,1367393656,99
100,14,80,1367660566,100
101,15,80,1367684168,101
102,16,80,1459519341,102
103,17,80,1472294007,103
104,18,80,1489657283,104
105,19,80,1493418911,105
106,20,81,1134293594,106
107,20,82,1134293606,107
108,21,82,1290569103,108
109,22,82,1290598136,109
110,23,83,1135725307,110
111,24,83,1154184936,111
112,9,83,1213203650,112
113,25,83,1351958795,113
114,23,84,1135724544,114
115,6,84,1152033938,115
116,4,84,1172313628,116
117,4,84,1172313814,117
118,4,84,1172313842,118
119,4,84,1220610468,119
120,23,85,1135724050,120
121,23,86,1135724177,121
122,26,87,1136412366,122
123,26,87,1442533218,123
124,26,88,1136412436,124
125,27,89,1137762412,125
126,28,90,1151849772,126
127,29,90,1277174255,127
128,29,90,1277175645,128
129,6,91,1152033476,129
130,6,91,1212878571,130
131,4,91,1212886141,131
132,4,91,1212911539,132
133,6,91,1213136020,133
134,6,92,1152033517,134
135,29,92,1225414692,135
136,6,93,1152033531,136
137,29,93,1225347469,137
138,6,94,1152033853,138
139,30,94,1318777189,139
140,6,95,1152034097,140
141,6,95,1152057143,141
142,4,95,1220441286,142
143,31,95,1220572584,143
144,4,95,1220609285,144
145,6,95,1220718807,145
146,4,96,1152566461,146
147,4,97,1152566492,147
148,24,98,1154185169,148
149,3,98,1429227556,149
150,32,99,1156423927,150
151,33,100,1160828326,151
152,29,100,1225272424,152
153,34,101,1160831771,153
154,34,102,1160831856,154
155,35,103,1163300373,155
156,35,103,1163310559,156
157,35,104,1163300522,157
158,36,104,1424808418,158
159,33,105,1169679222,159
160,36,105,1349097889,160
161,37,105,1359122791,161
162,36,105,1417592803,162
163,36,105,1418822706,163
164,36,105,1419610719,164
165,36,105,1424199056,165
166,36,105,1424268055,166
167,36,105,1424768816,167
168,36,105,1424809389,168
169,36,105,1425384349,169
170,36,105,1425670529,170
171,36,105,1425996027,171
172,36,105,1426165448,172
173,36,105,1428417172,173
174,36,105,1429167021,174
175,36,105,1431685129,175
176,36,105,1432578514,176
177,36,105,1433534358,177
178,36,105,1433538248,178
179,36,105,1439467007,179
180,36,105,1442220662,180
181,36,105,1444037203,181
182,36,105,1446208053,182
183,36,105,1466757676,183
184,36,105,1472640830,184
185,36,105,1486995503,185
186,36,105,1499070644,186
187,38,106,1188302208,187
188,39,107,1190588061,188
189,39,107,1190588085,189
190,39,107,1192483169,190
191,39,107,1194312298,191
192,38,108,1191930408,192
193,8,109,1192538941,193
194,3,109,1429227556,194
195,40,110,1194128529,195
196,40,110,1194128549,196
197,41,110,1217983758,197
198,42,110,1235332694,198
199,42,110,1242013528,199
200,42,110,1257272822,200
201,42,110,1273645589,201
202,42,110,1276682804,202
203,42,110,1279463642,203
204,43,110,1293451859,204
205,43,110,1318451559,205
206,43,110,1325401981,206
207,44,110,1334975515,207
208,45,110,1347805672,208
209,45,110,1349494116,209
210,45,110,1350673867,210
211,45,110,1356764311,211
212,45,110,1356974542,212
213,45,110,1373184209,213
214,43,110,1387501846,214
215,45,110,1429532348,215
216,45,110,1437097171,216
217,45,110,1440211421,217
218,45,110,1444315937,218
219,45,110,1450374899,219
220,45,110,1462353727,220
221,19,110,1486065330,221
222,19,110,1493416441,222
223,29,111,1192841197,223
224,29,111,1329613095,224
225,40,112,1194128487,225
226,4,112,1211416058,226
227,4,112,1211416280,227
228,4,112,1211416399,228
229,37,112,1221589940,229
230,42,112,1260458683,230
231,42,112,1286207996,231
232,45,112,1356562955,232
233,45,112,1439312823,233
234,19,112,1466547722,234
235,19,112,1493417650,235
236,46,113,1193789893,236
237,46,113,1199614066,237
238,47,114,1197195841,238
239,37,114,1221586680,239
240,42,114,1238675904,240
241,42,114,1245633714,241
242,10,114,1266000660,242
243,42,114,1273033625,243
244,10,114,1276523169,244
245,10,114,1277720885,245
246,42,114,1282873470,246
247,42,114,1288314010,247
248,10,114,1302632548,248
249,43,114,1387662408,249
250,48,114,1439137773,250
251,18,114,1489657224,251
252,18,114,1492054079,252
253,19,114,1493418831,253
254,47,115,1197195891,254
255,21,115,1290569091,255
256,22,115,1290598137,256
257,40,116,1194128487,257
258,4,116,1211415832,258
259,41,116,1215528865,259
260,41,116,1228330715,260
261,42,116,1237996142,261
262,42,116,1240681940,262
263,42,116,1242745046,263
264,42,116,1244488762,264
265,42,116,1260729115,265
266,42,116,1273725253,266
267,42,116,1275868199,267
268,42,116,1280015497,268
269,42,116,1285830722,269
270,42,116,1288799695,270
271,43,116,1291753489,271
272,43,116,1307063810,272
273,49,116,1323078685,273
274,37,116,1338996833,274
275,43,116,1386509587,275
276,45,116,1433216041,276
277,45,116,1435051246,277
278,36,116,1463120174,278
279,36,116,1466537872,279
280,36,116,1468647688,280
281,19,116,1493416271,281
282,40,117,1194128568,282
283,47,117,1197195947,283
284,43,117,1387662359,284
285,18,117,1489657194,285
286,18,117,1492053890,286
287,19,117,1493418881,287
288,39,118,1194312572,288
289,50,119,1196640155,289
290,51,119,1356415103,290
291,47,120,1197195330,291
292,47,120,1197195347,292
293,47,121,1197195518,293
294,9,121,1214939785,294
295,9,121,1214939944,295
296,42,121,1238511266,296
297,21,121,1290569080,297
298,22,121,1290598137,298
299,47,122,1197195691,299
300,45,122,1341238923,300
301,43,122,1387662321,301
302,19,122,1466549042,302
303,18,122,1492053696,303
304,19,122,1493419163,304
305,47,123,1197196014,305
306,47,124,1197196058,306
307,37,124,1221586640,307
308,42,124,1285691018,308
309,43,124,1300678692,309
310,43,124,1387662266,310
311,19,124,1466548952,311
312,18,124,1489657958,312
313,18,124,1492053605,313
314,19,124,1493419343,314
315,47,125,1197196127,315
316,42,125,1246814996,316
317,42,125,1260713707,317
318,43,125,1309559263,318
319,43,125,1387662350,319
320,19,125,1493418901,320
321,47,126,1197196259,321
322,4,127,1211413907,322
323,4,127,1211414737,323
324,42,127,1245656631,324
325,42,127,1260701526,325
326,43,127,1299959027,326
327,43,127,1387662261,327
328,19,127,1493419363,328
329,4,128,1211413641,329
330,4,128,1211414172,330
331,4,128,1211414413,331
332,42,128,1287079474,332
333,43,128,1299962643,333
334,43,128,1387657748,334
335,19,128,1493418190,335
336,52,129,1198876487,336
337,53,131,1202431686,337
338,53,132,1202431693,338
339,54,133,1206580239,339
340,4,134,1211411801,340
341,4,134,1211412650,341
342,55,134,1475956644,342
343,4,135,1211411845,343
344,4,135,1211412691,344
345,55,135,1475956661,345
346,4,136,1211411898,346
347,4,136,1211412705,347
348,55,136,1475956823,348
349,4,137,1211411949,349
350,4,137,1211412727,350
351,55,137,1475956653,351
352,4,138,1211412046,352
353,4,138,1211412744,353
354,10,138,1315738430,354
355,55,138,1475956713,355
356,55,138,1475957349,356
357,4,139,1211412085,357
358,4,139,1211412762,358
359,55,139,1475956798,359
360,4,140,1211412171,360
361,4,140,1211412780,361
362,55,140,1475957766,362
363,4,141,1211413133,363
364,4,141,1211413388,364
365,41,141,1215536871,365
366,41,141,1218705164,366
367,41,141,1219587132,367
368,56,141,1234466694,368
369,42,141,1235205940,369
370,56,141,1235330120,370
371,42,141,1242024316,371
372,42,141,1242946854,372
373,42,141,1250942433,373
374,42,141,1252414548,374
375,42,141,1253705325,375
376,42,141,1255405011,376
377,41,141,1262120384,377
378,42,141,1262285816,378
379,42,141,1275361138,379
380,42,141,1278414237,380
381,42,141,1278770414,381
382,49,141,1322962298,382
383,49,141,1327222834,383
384,48,141,1347539899,384
385,43,141,1386513652,385
386,45,141,1433222752,386
387,45,141,1448005506,387
388,45,141,1462205244,388
389,19,141,1466547361,389
390,18,141,1473045973,390
391,18,141,1474694946,391
392,19,141,1493416291,392
393,4,142,1211413213,393
394,4,142,1211415901,394
395,55,142,1475955747,395
396,4,143,1211413283,396
397,4,143,1211414626,397
398,4,144,1211413307,398
399,4,145,1211413340,399
400,4,146,1211413791,400
401,4,146,1211415930,401
402,55,146,1475956004,402
403,4,147,1211414305,403
404,4,147,1211414461,404
405,4,147,1211414554,405
406,4,147,1212886260,406
407,6,147,1227016465,407
408,10,147,1321370373,408
409,10,147,1321370489,409
410,10,147,1321370553,410
411,4,148,1211415195,411
412,42,148,1287078737,412
413,43,148,1299962646,413
414,19,148,1493418331,414
415,4,149,1211415250,415
416,42,149,1245670936,416
417,42,149,1260703449,417
418,43,149,1299959023,418
419,43,149,1387662291,419
420,19,149,1493419283,420
421,4,150,1211415561,421
422,43,150,1299962647,422
423,10,150,1315738361,423
424,10,150,1315738376,424
425,45,150,1341237873,425
426,19,150,1493418451,426
427,4,151,1211415597,427
428,42,151,1260701966,428
429,43,151,1299959020,429
430,10,151,1315738404,430
431,43,151,1387662393,431
432,19,151,1493418841,432
433,4,152,1211416058,433
434,4,153,1211416437,434
435,37,153,1221586661,435
436,42,153,1242799850,436
437,42,153,1245633684,437
438,43,153,1387662306,438
439,19,153,1466549022,439
440,18,153,1489657683,440
441,18,153,1492053733,441
442,19,153,1493419213,442
443,4,154,1212886260,443
444,9,155,1213203649,444
445,9,156,1213203650,445
446,57,157,1213209340,446
447,57,158,1213209401,447
448,58,159,1213747585,448
449,56,159,1234748435,449
450,58,159,1293369524,450
451,58,159,1336426982,451
452,58,159,1372517789,452
453,58,160,1214150280,453
454,6,161,1214532940,454
455,6,162,1214532967,455
456,6,163,1214533032,456
457,6,163,1214533086,457
458,4,163,1234654384,458
459,4,163,1234654423,459
460,4,163,1235172486,460
461,4,163,1235310128,461
462,4,163,1235310163,462
463,59,163,1283552506,463
464,60,163,1284513513,464
465,61,163,1319725599,465
466,62,163,1320324895,466
