,u,i,ts,idx
0,1,1,1091348682,0
1,1,1,1091360567,1
2,1,1,1091360662,2
3,1,1,1091364057,3
4,1,1,1091365258,4
5,1,1,1091365924,5
6,1,1,1091366007,6
7,1,1,1091366840,7
8,1,1,1091368188,8
9,1,1,1091413384,9
10,1,1,1091413690,10
11,1,1,1091413947,11
12,1,1,1091414175,12
13,1,1,1091414567,13
14,1,1,1091420800,14
15,1,1,1091460161,15
16,1,1,1091509252,16
17,1,1,1091513501,17
18,1,1,1091693601,18
19,2,1,1091754206,19
20,2,1,1091788191,20
21,3,1,1091793311,21
22,2,1,1092741107,22
23,2,1,1092741169,23
24,2,1,1092741609,24
25,4,1,1092814220,25
26,2,1,1092826378,26
27,5,1,1093408205,27
28,2,1,1095041679,28
29,6,1,1095277984,29
30,2,1,1096110884,30
31,4,1,1096697229,31
32,2,1,1096967358,32
33,4,1,1099703662,33
34,3,1,1100781676,34
35,2,1,1101161585,35
36,2,1,1101331856,36
37,7,1,1101332040,37
38,2,1,1101332290,38
39,2,1,1101332365,39
40,7,1,1101332813,40
41,7,1,1101337501,41
42,2,1,1101373385,42
43,2,1,1101506254,43
44,8,1,1101822537,44
45,9,1,1101827585,45
46,2,1,1101899672,46
47,2,1,1101899839,47
48,10,1,1101971484,48
49,10,1,1101973371,49
50,2,1,1101994216,50
51,2,1,1101994645,51
52,2,1,1102202488,52
53,6,1,1103229686,53
54,2,1,1109568926,54
55,2,1,1109578413,55
56,3,1,1111151937,56
57,2,1,1112233127,57
58,3,1,1113700753,58
59,2,1,1119179616,59
60,2,1,1120383425,60
61,2,1,1120383511,61
62,2,1,1120383544,62
63,2,1,1120445568,63
64,2,1,1120445588,64
65,11,1,1132031488,65
66,2,1,1151933294,66
67,12,1,1158394993,67
68,13,1,1158893242,68
69,14,1,1163125383,69
70,9,1,1164518244,70
71,2,1,1166058582,71
72,9,1,1178984554,72
73,2,1,1178998044,73
74,2,1,1180613976,74
75,15,1,1191682770,75
76,15,1,1192128544,76
77,16,1,1197676303,77
78,17,1,1198473935,78
79,17,1,1198474042,79
80,17,1,1202058240,80
81,18,1,1254184766,81
82,18,1,1256801240,82
83,18,1,1260228424,83
84,18,1,1262688516,84
85,19,1,1264366432,85
86,18,1,1265049407,86
87,18,1,1285328939,87
88,18,1,1291614233,88
89,18,1,1294900104,89
90,2,1,1330535911,90
91,20,1,1347410509,91
92,20,1,1347488902,92
93,20,1,1347529227,93
94,20,1,1349843513,94
95,20,1,1349850979,95
96,20,1,1350664317,96
97,21,1,1353299627,97
98,20,1,1371245033,98
99,22,1,1392210594,99
100,23,1,1397219703,100
101,24,2,1091311282,101
102,7,2,1091757184,102
103,11,3,1091335903,103
104,11,3,1091767472,104
105,11,3,1103308168,105
106,1,4,1091345304,106
107,1,4,1091345325,107
108,1,4,1091511515,108
109,1,4,1091511535,109
110,3,4,1111891464,110
111,3,4,1111891519,111
112,3,4,1111891531,112
113,3,4,1117203916,113
114,3,4,1117203919,114
115,3,4,1119273741,115
116,3,4,1119274014,116
117,3,4,1121486070,117
118,1,5,1091348712,118
119,1,6,1091351039,119
120,2,7,1091752979,120
121,2,7,1091753029,121
122,2,7,1091758337,122
123,25,7,1092225806,123
124,4,7,1092458929,124
125,2,7,1092676911,125
126,2,7,1092737488,126
127,2,7,1092742176,127
128,4,7,1092814031,128
129,4,7,1092818889,129
130,4,7,1092820418,130
131,2,7,1092825481,131
132,2,7,1092826121,132
133,3,7,1092832287,133
134,8,7,1092851971,134
135,25,7,1092909693,135
136,2,7,1092913008,136
137,25,7,1092940917,137
138,4,7,1092980479,138
139,4,7,1092981105,139
140,4,7,1092982174,140
141,8,7,1093029914,141
142,3,7,1093045143,142
143,2,7,1093065009,143
144,4,7,1093162449,144
145,4,7,1093165094,145
146,8,7,1093197087,146
147,2,7,1093197428,147
148,8,7,1093197467,148
149,4,7,1093235685,149
150,2,7,1093290600,150
151,2,7,1093290656,151
152,8,7,1093291116,152
