,u,i,ts,idx
0,1,1,1095035098,0
1,1,1,1095035314,1
2,1,1,1095035657,2
3,1,1,1095040920,3
4,1,1,1095041319,4
5,1,1,1095041844,5
6,1,1,1095150301,6
7,1,1,1095212881,7
8,1,1,1095365640,8
9,2,1,1137164824,9
10,3,1,1139605136,10
11,3,1,1139606373,11
12,3,1,1139606393,12
13,3,1,1139606970,13
14,3,1,1139607264,14
15,3,1,1139607303,15
16,3,1,1139653685,16
17,3,1,1139653768,17
18,3,1,1139653865,18
19,3,1,1139654087,19
20,3,1,1139656053,20
21,3,1,1139657996,21
22,3,1,1139659413,22
23,3,1,1139671000,23
24,3,1,1139673255,24
25,3,1,1139673278,25
26,3,1,1139673302,26
27,3,1,1139673321,27
28,3,1,1139674244,28
29,3,1,1139683699,29
30,3,1,1139683718,30
31,3,1,1139686343,31
32,3,1,1139686366,32
33,3,1,1139687277,33
34,3,1,1139687334,34
35,3,1,1139691345,35
36,3,1,1139758556,36
37,3,1,1153512098,37
38,4,1,1154293453,38
39,3,1,1155105237,39
40,3,1,1155134075,40
41,3,1,1155134187,41
42,3,1,1155137751,42
43,3,1,1155137773,43
44,3,1,1155139478,44
45,3,1,1155139494,45
46,3,1,1155144489,46
47,3,1,1155144517,47
48,3,1,1155144550,48
49,3,1,1155144685,49
50,3,1,1155145053,50
51,3,1,1155145236,51
52,3,1,1155150325,52
53,3,1,1155151907,53
54,3,1,1155151931,54
55,3,1,1155152012,55
56,3,1,1155152060,56
57,3,1,1155152082,57
58,3,1,1155225132,58
59,3,1,1156957832,59
60,3,1,1158909046,60
61,3,1,1158909068,61
62,3,1,1168353242,62
63,5,1,1177422212,63
64,6,1,1340958563,64
65,6,1,1340958595,65
66,6,1,1360409513,66
67,6,1,1360419786,67
68,6,1,1360440520,68
69,6,1,1365243127,69
70,7,1,1397219918,70
71,6,1,1467230451,71
72,1,2,1095034629,72
73,8,2,1268434685,73
74,9,2,1385658129,74
75,1,3,1095034827,75
76,1,3,1095035187,76
77,1,4,1095040674,77
78,1,4,1095041419,78
79,1,4,1095212958,79
80,1,4,1095213609,80
81,3,4,1155150412,81
82,3,4,1155150444,82
83,3,4,1155150473,83
84,3,4,1155153271,84
85,1,5,1095040861,85
86,1,6,1095041214,86
87,1,6,1095041428,87
88,1,6,1095213672,88
89,1,6,1100140674,89
90,3,6,1155153250,90
91,3,6,1155153258,91
92,6,6,1359484818,92
93,6,6,1365243081,93
