,u,i,ts,idx
0,1,1,1075387911,0
1,1,2,1075387911,1
2,1,3,1077421134,2
3,1,4,1086457863,3
4,1,5,1086457863,4
5,1,6,1086457863,5
6,1,7,1086457863,6
7,1,8,1086457863,7
8,1,9,1086457863,8
9,1,10,1086457863,9
10,1,11,1086457863,10
11,1,12,1086457863,11
12,1,13,1086457863,12
13,1,14,1086457863,13
14,1,15,1086457863,14
15,1,16,1086457863,15
16,1,17,1086457863,16
17,1,18,1086457863,17
18,1,19,1086457863,18
19,1,20,1086457863,19
20,1,21,1086457863,20
21,1,22,1086457863,21
22,1,23,1086457863,22
23,1,24,1086457863,23
24,1,25,1086457863,24
25,1,26,1086457863,25
26,1,27,1086457863,26
27,1,28,1086457863,27
28,1,29,1086457863,28
29,1,30,1086457863,29
30,1,31,1086457863,30
31,1,32,1086457863,31
32,1,33,1086457863,32
33,1,34,1086457863,33
34,1,35,1086457863,34
35,1,36,1086457863,35
36,1,37,1086457863,36
37,1,38,1086457863,37
38,1,39,1086457863,38
39,1,40,1086457863,39
40,1,41,1086457863,40
41,1,42,1086457863,41
42,1,43,1086457863,42
43,1,44,1086457863,43
44,1,45,1086457863,44
45,1,46,1086457863,45
46,1,47,1086457863,46
47,1,48,1086457863,47
48,1,49,1086457863,48
49,1,50,1086457863,49
50,1,51,1086457863,50
51,1,52,1086457863,51
52,1,53,1086457863,52
53,1,54,1086457863,53
54,1,55,1086457863,54
55,1,56,1086457863,55
56,1,57,1086457863,56
57,1,58,1086457863,57
58,1,59,1086457863,58
59,1,60,1086457863,59
60,1,61,1086457863,60
61,1,62,1086457863,61
62,1,63,1086457863,62
63,1,64,1086457863,63
64,1,65,1086457863,64
65,1,66,1086457863,65
66,1,67,1086457863,66
67,1,68,1086457863,67
68,1,69,1086457863,68
69,1,70,1086457863,69
70,1,71,1086457863,70
71,1,72,1086457863,71
72,1,73,1086457863,72
73,1,74,1086457863,73
74,1,75,1086457863,74
75,1,76,1086457863,75
76,1,77,1086457863,76
77,1,78,1086457935,77
78,2,79,1136628460,78
79,3,79,1140655523,79
80,4,79,1154321002,80
81,5,79,1171704812,81
82,2,80,1110319113,82
83,2,80,1110319508,83
84,2,80,1110319825,84
85,6,81,1114168832,85
86,6,81,1114187204,86
87,7,81,1429228612,87
88,3,82,1140655523,88
89,8,82,1221060935,89
90,9,82,1243466214,90
91,9,82,1260102677,91
92,10,82,1317470891,92
93,2,82,1332604796,93
94,2,82,1332605406,94
95,2,82,1332609690,95
96,11,82,1351249837,96
97,12,82,1467062824,97
98,13,82,1469973713,98
99,13,82,1489478071,99
100,11,82,1493239517,100
101,3,83,1140655523,101
102,8,83,1221060965,102
103,14,83,1273578078,103
104,10,83,1300107643,104
105,10,83,1324253524,105
106,10,83,1325701403,106
107,15,83,1335024882,107
108,16,83,1435014569,108
