,u,i,ts,idx
0,1,1,1075386783,0
1,1,1,1086458301,1
2,1,1,1103623040,2
3,1,1,1119698066,3
4,2,1,1141938993,4
5,2,1,1141939068,5
6,2,1,1141939141,6
7,2,1,1141939216,7
8,1,2,1075386783,8
9,3,3,1079055953,9
10,3,4,1079527182,10
11,3,5,1079405402,11
12,3,6,1079527479,12
13,3,7,1079056827,13
14,3,8,1079403716,14
15,4,9,1082891253,15
16,1,10,1075386783,16
17,1,11,1075386783,17
18,1,11,1086458313,18
19,1,11,1103623047,19
20,1,11,1119698066,20
21,1,11,1131576536,21
22,2,11,1141496543,22
23,4,12,1083031080,23
24,4,12,1120875207,24
25,5,12,1214073727,25
26,4,13,1082890791,26
27,1,14,1075386783,27
28,1,14,1086458325,28
29,1,14,1103623054,29
30,1,14,1119698067,30
31,2,14,1142767573,31
32,1,15,1075386783,32
33,1,15,1086458333,33
34,1,15,1103623057,34
35,1,15,1119698067,35
36,4,15,1140117710,36
37,2,15,1144047676,37
38,1,16,1075386783,38
39,1,16,1086458301,39
40,1,16,1103623040,40
41,1,16,1119698066,41
42,4,16,1120876599,42
43,3,17,1079403553,43
44,3,18,1079404701,44
45,4,19,1082891783,45
46,2,19,1141993918,46
47,2,19,1141994010,47
48,3,20,1079056085,48
49,3,21,1079403618,49
50,3,22,1079527397,50
51,3,23,1079056193,51
52,1,24,1075386783,52
53,1,24,1086458280,53
54,1,24,1103623026,54
55,1,24,1119698065,55
56,1,24,1124493965,56
57,2,24,1141497430,57
58,1,25,1075386783,58
59,1,25,1086458326,59
60,1,25,1103623054,60
61,1,25,1119698067,61
62,2,25,1141497202,62
63,3,26,1079393677,63
64,3,27,1079403371,64
65,1,28,1075386783,65
66,1,28,1086458337,66
67,1,28,1103623059,67
68,1,28,1119698067,68
69,4,28,1120877634,69
70,1,29,1077421177,70
71,4,30,1082463913,71
72,4,30,1119156251,72
73,4,30,1119156592,73
74,4,31,1082775423,74
75,1,32,1086458278,75
76,1,32,1103623025,76
77,1,32,1119698065,77
78,2,32,1142631649,78
79,2,32,1142632461,79
80,2,32,1142636052,80
81,1,33,1086458278,81
82,1,34,1086458278,82
83,1,35,1086458278,83
84,1,36,1086458278,84
85,1,37,1086458278,85
86,1,38,1086458278,86
87,1,39,1086458278,87
88,1,40,1086458278,88
89,1,41,1086458278,89
90,1,42,1086458278,90
91,1,43,1086458278,91
92,1,44,1086458278,92
93,1,45,1086458278,93
94,1,46,1086458278,94
95,1,47,1086458278,95
96,1,48,1086458278,96
97,1,49,1086458278,97
98,1,50,1086458278,98
99,1,51,1086458278,99
100,1,52,1086458278,100
101,1,53,1086458278,101
102,1,54,1086458278,102
103,1,55,1086458278,103
104,1,56,1086458278,104
105,1,57,1086458278,105
106,1,58,1086458278,106
107,1,59,1086458278,107
108,1,60,1086458278,108
109,1,61,1086458278,109
110,1,62,1086458278,110
111,1,63,1086458278,111
112,1,64,1086458278,112
113,1,65,1086458278,113
114,1,66,1086458278,114
115,1,67,1086458278,115
116,1,68,1086458278,116
117,1,69,1086458278,117
118,1,70,1086458278,118
119,1,71,1086458278,119
120,1,72,1086458278,120
121,1,73,1086458278,121
122,1,74,1086458278,122
123,1,75,1086458278,123
124,1,76,1086458278,124
125,1,77,1086458278,125
126,1,78,1086458278,126
127,1,79,1086458278,127
128,1,80,1086458278,128
129,1,81,1086458278,129
130,1,82,1086458278,130
131,1,83,1086458278,131
132,1,84,1086458278,132
133,1,85,1086458278,133
134,1,86,1086458278,134
135,1,87,1086458278,135
136,1,88,1086458278,136
137,1,89,1086458278,137
138,1,90,1086458278,138
139,1,91,1086458278,139
140,1,92,1086458278,140
141,1,93,1086458278,141
142,1,94,1086458278,142
143,1,95,1086458278,143
144,1,96,1086458278,144
145,1,97,1086458278,145
146,1,98,1086458278,146
147,1,99,1086458278,147
148,1,100,1086458278,148
149,1,101,1086458278,149
150,1,102,1086458278,150
151,1,103,1086458278,151
152,1,104,1086458278,152
153,1,105,1086458278,153
154,1,106,1086458278,154
155,1,107,1086458351,155
156,1,108,1103623024,156
157,1,108,1119698065,157
158,1,108,1122634462,158
159,1,108,1124493965,159
160,1,108,1125913165,160
161,1,108,1131576528,161
162,1,108,1133299182,162
163,1,108,1133490712,163
164,1,108,1133496393,164
165,2,108,1142644348,165
166,2,108,1154423924,166
167,6,108,1345457542,167
168,1,109,1103623024,168
169,1,109,1119698066,169
170,1,109,1124493966,170
171,2,109,1141496786,171
172,1,110,1103623024,172
173,1,110,1119698066,173
174,4,110,1120876522,174
175,1,111,1103623024,175
176,1,111,1119698067,176
177,1,111,1119835416,177
178,2,111,1141496948,178
179,1,112,1103623024,179
180,1,112,1119698067,180
181,4,112,1120877874,181
182,7,113,1114168869,182
183,7,113,1114187230,183
184,8,113,1429228853,184
185,4,114,1119163045,185
186,4,114,1135642837,186
187,9,114,1140655561,187
188,4,114,1148526164,188
189,10,114,1185750727,189
190,11,114,1247297127,190
191,12,114,1321347425,191
192,12,114,1321351624,192
193,12,114,1321351687,193
194,12,114,1321355446,194
195,12,114,1321434240,195
196,13,114,1470194058,196
197,4,115,1119057452,197
198,4,115,1119069456,198
199,4,115,1119098036,199
200,4,115,1119154333,200
201,4,115,1119164263,201
202,4,115,1119233619,202
203,4,115,1135641417,203
204,4,115,1136118131,204
205,4,116,1119062723,205
206,4,116,1119318540,206
207,4,117,1119063308,207
208,4,117,1133436213,208
209,4,117,1133896352,209
210,14,117,1134101195,210
211,4,117,1134171179,211
212,14,117,1134548204,212
213,4,117,1138145249,213
214,15,117,1198639459,214
215,4,118,1119155514,215
216,4,118,1119183284,216
217,4,118,1133010963,217
218,16,118,1216673051,218
