,u,i,ts,idx
0,1,1,1075380561,0
1,1,1,1086458767,1
2,1,1,1103623282,2
3,1,1,1119698138,3
4,2,1,1167815531,4
5,1,2,1075380561,5
6,1,2,1086458767,6
7,1,2,1103623282,7
8,1,2,1119698138,8
9,2,2,1167815645,9
10,1,3,1075380561,10
11,1,3,1086458754,11
12,1,3,1103623277,12
13,1,3,1119698137,13
14,2,3,1167389881,14
15,1,4,1075380561,15
16,1,4,1086458755,16
17,2,4,1167672150,17
18,1,5,1075380561,18
19,1,5,1086458755,19
20,1,5,1103623278,20
21,1,5,1119698137,21
22,2,5,1167390654,22
23,1,6,1075380561,23
24,1,6,1086458788,24
25,1,6,1103623288,25
26,1,6,1119698138,26
27,2,6,1167392422,27
28,1,7,1075380561,28
29,1,7,1086458851,29
30,1,7,1103623317,30
31,1,7,1119698139,31
32,2,7,1167328566,32
33,1,8,1075380561,33
34,1,9,1075380561,34
35,1,9,1086458780,35
36,1,9,1103623286,36
37,1,9,1119698138,37
38,2,9,1167567198,38
39,2,9,1167742413,39
40,2,9,1167742553,40
41,2,9,1167742975,41
42,1,10,1075380561,42
43,1,10,1086458823,43
44,1,10,1103623304,44
45,1,10,1119698139,45
46,2,10,1167547879,46
47,2,10,1167547893,47
48,1,11,1075380561,48
49,1,11,1086458809,49
50,1,11,1103623296,50
51,1,11,1119698138,51
52,2,11,1167661364,52
53,1,12,1075380561,53
54,1,12,1086458809,54
55,1,12,1103623297,55
56,1,12,1119698138,56
57,2,12,1167546466,57
58,1,13,1075380561,58
59,1,13,1086458828,59
60,1,13,1103623306,60
61,1,13,1119698139,61
62,2,13,1167563923,62
63,1,14,1075380561,63
64,1,14,1086458789,64
65,1,14,1103623289,65
66,1,14,1119698138,66
67,2,14,1167547026,67
68,1,15,1075380561,68
69,1,15,1086458781,69
70,1,15,1103623286,70
71,1,15,1119698138,71
72,2,15,1167564286,72
73,1,16,1075380561,73
74,1,16,1086458810,74
75,1,16,1103623297,75
76,1,16,1119698138,76
77,2,16,1167670583,77
78,1,17,1075380561,78
79,1,17,1086458840,79
80,1,17,1103623311,80
81,1,17,1119698139,81
82,2,17,1167560762,82
83,1,18,1075380561,83
84,1,18,1086458820,84
85,1,18,1103623301,85
86,1,18,1119698139,86
87,2,18,1167666362,87
88,1,19,1075380561,88
89,1,19,1086458839,89
90,1,19,1103623310,90
91,1,19,1119698139,91
92,2,19,1167663633,92
93,1,20,1075380561,93
94,1,20,1086458848,94
95,1,20,1103623315,95
96,1,20,1119698139,96
97,2,20,1167556582,97
98,1,21,1075380561,98
99,1,21,1086458851,99
100,1,21,1103623317,100
101,1,21,1119698139,101
102,2,21,1167816616,102
103,1,22,1075380561,103
104,1,22,1086458790,104
105,1,22,1103623289,105
106,1,22,1119698138,106
107,2,22,1167571991,107
108,1,23,1075380561,108
109,1,23,1086458849,109
110,1,23,1103623315,110
111,1,23,1119698139,111
112,2,23,1167553539,112
113,1,24,1075380561,113
114,1,24,1086458819,114
115,1,24,1103623300,115
116,1,24,1119698138,116
117,1,24,1122634576,117
118,2,24,1167548824,118
119,1,25,1075380561,119
120,1,25,1086458795,120
121,1,25,1103623291,121
122,1,25,1119698138,122
123,2,25,1167556019,123
124,1,26,1075380561,124
125,1,26,1086458848,125
126,1,26,1103623315,126
127,1,26,1119698139,127
128,1,26,1151780433,128
129,2,26,1167659235,129
130,1,27,1075380561,130
131,1,28,1075380561,131
132,1,28,1086458836,132
133,1,28,1103623309,133
134,1,28,1119698139,134
135,2,28,1167549478,135
136,2,28,1167549587,136
137,1,29,1075380561,137
138,1,29,1086458835,138
139,1,29,1103623309,139
140,1,29,1119698139,140
141,1,29,1135236513,141
142,2,29,1167549043,142
143,1,30,1075380561,143
144,1,30,1086458810,144
145,1,30,1103623297,145
146,1,30,1119698138,146
147,2,30,1167664351,147
148,1,31,1075380561,148
149,1,31,1086458848,149
150,1,31,1103623315,150
151,1,31,1119698139,151
152,2,31,1167548767,152
153,1,32,1075380561,153
154,1,32,1086458850,154
155,1,32,1103623316,155
156,1,32,1119698139,156
157,2,32,1167554303,157
158,3,32,1191667940,158
159,1,33,1075380561,159
160,1,33,1086458798,160
161,1,33,1103623293,161
162,1,33,1119698138,162
163,2,33,1167553662,163
164,1,34,1075380561,164
165,1,34,1086458852,165
166,1,34,1103623318,166
167,1,34,1119698139,167
168,1,34,1119835550,168
169,1,34,1122634578,169
170,2,34,1167549661,170
171,1,35,1075380561,171
172,1,35,1086458852,172
173,1,35,1103623318,173
174,1,35,1119698139,174
175,1,35,1119835550,175
176,2,35,1167549722,176
177,1,36,1075380561,177
178,1,36,1086458852,178
179,1,36,1103623318,179
180,1,36,1119698139,180
181,2,36,1167552958,181
182,1,37,1075380561,182
183,1,37,1086458826,183
184,1,37,1103623306,184
185,1,37,1119698139,185
186,1,37,1122634577,186
187,1,37,1161803811,187
188,2,37,1167549854,188
189,1,38,1075380561,189
190,1,38,1086458757,190
191,1,38,1103623279,191
192,1,38,1119698137,192
193,1,38,1124494049,193
194,1,38,1125913274,194
195,1,38,1131576672,195
196,1,38,1133299297,196
197,1,38,1133490808,197
198,1,38,1133496470,198
199,2,38,1167565903,199
200,1,39,1075380561,200
201,1,39,1086458798,201
202,1,39,1103623292,202
203,1,39,1119698138,203
204,2,39,1167546712,204
205,1,40,1075380561,205
206,1,40,1086458848,206
207,1,40,1103623315,207
208,1,40,1119698139,208
209,1,40,1133490812,209
210,2,40,1167553607,210
211,1,41,1075380561,211
212,1,41,1086458799,212
213,1,41,1103623293,213
214,1,41,1119698138,214
215,2,41,1167546783,215
216,1,42,1075380561,216
217,1,42,1086458848,217
218,1,42,1103623315,218
219,1,42,1119698139,219
220,2,42,1167547371,220
221,1,43,1075380561,221
222,1,43,1086458852,222
223,1,43,1103623317,223
224,1,43,1119698139,224
225,1,43,1119835550,225
226,1,43,1122634578,226
227,1,43,1133490812,227
228,1,43,1161803817,228
229,2,43,1167553088,229
230,1,44,1075380561,230
231,1,44,1086458852,231
232,1,44,1103623318,232
233,1,44,1119698139,233
234,1,44,1119835550,234
235,1,44,1131576675,235
236,2,44,1167556435,236
237,1,45,1075380561,237
238,1,45,1086458798,238
239,1,45,1103623293,239
240,1,45,1119698138,240
241,2,45,1167553737,241
242,1,46,1075380561,242
243,1,46,1086458851,243
244,1,46,1103623317,244
245,1,46,1119698139,245
246,1,46,1119835550,246
247,1,46,1133490812,247
248,2,46,1167553153,248
249,1,47,1075380561,249
250,1,47,1086458763,250
251,1,47,1103623281,251
252,1,47,1119698138,252
253,2,47,1167661888,253
254,1,48,1075380561,254
255,1,48,1086458839,255
256,1,48,1103623310,256
257,1,48,1119698139,257
258,2,48,1167661510,258
259,1,49,1075380561,259
260,1,49,1086458807,260
261,1,49,1103623295,261
262,1,49,1119698138,262
263,1,49,1119835549,263
264,1,49,1122634576,264
265,2,49,1167661291,265
266,1,50,1075380561,266
267,1,50,1086458850,267
268,1,50,1103623316,268
269,1,50,1119698139,269
270,2,50,1167661431,270
271,1,51,1075380561,271
272,1,51,1086458831,272
273,1,51,1103623307,273
274,1,51,1119698139,274
275,2,51,1167570862,275
276,2,51,1167570892,276
277,1,52,1075380561,277
278,1,52,1086458834,278
279,1,52,1103623309,279
280,1,52,1119698139,280
281,2,52,1167570416,281
282,1,53,1075380561,282
283,1,53,1086458755,283
284,1,53,1103623278,284
285,1,53,1119698137,285
286,2,53,1167390897,286
287,1,54,1075380561,287
288,1,54,1086458755,288
289,1,54,1103623278,289
290,1,54,1119698137,290
291,1,54,1122634573,291
292,1,54,1135236510,292
293,2,54,1167390847,293
294,1,55,1075380561,294
295,1,55,1086458809,295
296,1,55,1103623297,296
297,1,55,1119698138,297
298,2,55,1167670655,298
299,1,56,1075380561,299
300,1,56,1086458809,300
301,1,56,1103623297,301
302,1,56,1119698138,302
303,1,56,1151780432,303
304,2,56,1167660714,304
305,1,57,1075380561,305
306,1,57,1086458812,306
307,1,57,1103623298,307
308,1,57,1119698138,308
309,1,57,1131576674,309
310,1,57,1151780432,310
311,2,57,1167667514,311
312,1,58,1075380561,312
313,1,58,1086458817,313
314,1,58,1103623299,314
315,1,58,1119698138,315
316,1,58,1140919067,316
317,2,58,1167666138,317
318,1,59,1075380561,318
319,1,59,1086458821,319
320,1,59,1103623302,320
321,1,59,1119698139,321
322,1,59,1131576674,322
323,2,59,1167570340,323
324,1,60,1075380561,324
325,1,60,1086458780,325
326,1,60,1103623286,326
327,1,60,1119698138,327
328,2,60,1167564096,328
329,1,61,1075380561,329
330,1,61,1086458772,330
331,1,61,1103623283,331
332,1,61,1119698138,332
333,1,61,1135236510,333
334,2,61,1167573158,334
335,2,61,1167573299,335
336,2,61,1167573447,336
337,2,61,1167573521,337
338,2,61,1167573593,338
339,1,62,1075380561,339
340,1,62,1086458829,340
341,1,62,1103623307,341
342,1,62,1119698139,342
343,2,62,1167563177,343
344,1,63,1075380561,344
345,1,63,1086458773,345
346,1,63,1103623284,346
347,1,63,1119698138,347
348,2,63,1167562698,348
349,1,64,1075380561,349
350,1,64,1086458829,350
351,1,64,1103623307,351
352,1,64,1119698139,352
353,2,64,1167561754,353
354,1,65,1075380561,354
355,1,65,1086458773,355
356,1,65,1103623283,356
357,1,65,1119698138,357
358,2,65,1167568865,358
359,1,66,1075380561,359
360,1,66,1086458778,360
361,1,66,1103623285,361
362,1,66,1119698138,362
363,2,66,1167560246,363
364,1,67,1075380561,364
365,1,67,1086458780,365
366,1,67,1103623285,366
367,1,67,1119698138,367
368,2,67,1167569912,368
369,1,68,1075380561,369
370,1,68,1086458832,370
371,1,68,1103623308,371
372,1,68,1119698139,372
373,1,68,1151780433,373
374,2,68,1167568521,374
375,1,69,1075380561,375
376,1,69,1086458814,376
377,1,69,1103623298,377
378,1,69,1119698138,378
379,1,69,1119835549,379
380,1,69,1140919067,380
381,2,69,1167658600,381
382,1,70,1075380561,382
383,1,70,1086458821,383
384,1,70,1103623302,384
385,1,70,1119698139,385
386,2,70,1167567345,386
387,1,71,1075380561,387
388,1,71,1086458811,388
389,1,71,1103623297,389
390,1,71,1119698138,390
391,2,71,1167663247,391
392,1,72,1075380561,392
393,1,72,1086458848,393
394,1,72,1103623315,394
395,1,72,1119698139,395
396,2,72,1167722191,396
397,1,73,1075380561,397
398,1,73,1086458821,398
399,1,73,1103623301,399
400,1,73,1119698139,400
401,2,73,1167546150,401
402,1,74,1075380561,402
403,1,74,1086458821,403
404,1,74,1103623302,404
405,1,74,1119698139,405
406,2,74,1167574276,406
