,u,i,ts,idx
0,1,1,1111275555,0
1,1,1,1111275723,1
2,1,1,1111275757,2
3,1,1,1111276918,3
4,1,1,1111277065,4
5,1,1,1111277139,5
6,1,1,1111277266,6
7,1,1,1111277392,7
8,1,1,1111279422,8
9,1,1,1111279499,9
10,1,1,1111279566,10
11,1,1,1111279697,11
12,1,1,1111299352,12
13,1,1,1111299407,13
14,1,1,1111299705,14
15,2,1,1112199516,15
16,3,1,1117133230,16
17,3,1,1117136386,17
18,3,1,1117188152,18
19,3,1,1122248550,19
20,3,1,1122248714,20
21,3,1,1122330013,21
22,3,1,1122330051,22
23,3,1,1122331758,23
24,3,1,1122332035,24
25,4,1,1140655597,25
26,5,1,1151668334,26
27,6,1,1154325155,27
28,5,1,1160210750,28
29,7,1,1187146981,29
30,8,1,1208611865,30
31,8,1,1208611982,31
32,8,1,1208612019,32
33,8,1,1208612109,33
34,8,1,1208612178,34
35,9,1,1216389439,35
36,10,1,1217878234,36
37,10,1,1217878249,37
38,10,1,1217878804,38
39,10,1,1217878983,39
40,10,1,1217882194,40
41,10,1,1217882291,41
42,10,1,1217882336,42
43,10,1,1217882361,43
44,10,1,1217882386,44
45,10,1,1217882558,45
46,10,1,1218037973,46
47,10,1,1218038000,47
48,10,1,1218038444,48
49,10,1,1218038813,49
50,10,1,1218039104,50
51,10,1,1218040469,51
52,10,1,1218040483,52
53,10,1,1218040495,53
54,10,1,1218040514,54
55,10,1,1218040573,55
56,10,1,1218048261,56
57,10,1,1218048577,57
58,10,1,1218048608,58
59,10,1,1218050377,59
60,10,1,1218050988,60
61,10,1,1218051364,61
62,10,1,1218051879,62
63,9,1,1218273015,63
64,9,1,1218356419,64
65,9,1,1218803293,65
66,10,1,1218806498,66
67,10,1,1218806622,67
68,9,1,1219564293,68
69,10,1,1219840917,69
70,9,1,1236529491,70
71,9,1,1240164267,71
72,9,1,1240164293,72
73,9,1,1248709142,73
74,9,1,1248709167,74
75,9,1,1248934148,75
76,9,1,1248947526,76
77,9,1,1270990525,77
