,u,i,ts,idx
0,1,1,1075385465,0
1,1,2,1075385465,1
2,1,3,1077421254,2
3,2,4,1093533455,3
4,2,4,1097964039,4
5,2,4,1098099985,5
6,2,4,1098821289,6
7,2,4,1099083391,7
8,3,4,1100381647,8
9,3,4,1100381718,9
10,2,4,1100781035,10
11,2,4,1100781049,11
12,2,4,1101488553,12
13,2,4,1101572152,13
14,2,4,1101645264,14
15,3,4,1102365944,15
16,2,4,1103383219,16
17,3,4,1118341061,17
18,3,4,1119982036,18
19,3,4,1119982358,19
20,3,4,1120650117,20
21,4,4,1123068356,21
22,2,4,1126633022,22
23,2,4,1126902840,23
24,3,4,1127497831,24
25,3,4,1133198036,25
26,3,4,1133201874,26
27,3,4,1136829005,27
28,5,4,1150984067,28
29,3,4,1151091110,29
30,3,4,1151091134,30
31,3,4,1151091385,31
32,5,4,1157391660,32
33,6,4,1161971562,33
34,6,4,1161971791,34
35,6,4,1162023521,35
36,3,4,1162396838,36
37,3,4,1162397001,37
38,3,4,1164405456,38
39,7,4,1180772200,39
40,8,4,1295038656,40
41,9,4,1303046050,41
42,10,4,1324328666,42
43,11,4,1342195437,43
44,12,4,1344246987,44
45,13,4,1407135353,45
46,13,4,1407204143,46
47,13,4,1407205220,47
48,13,4,1414143104,48
49,14,4,1429457416,49
50,14,4,1429457919,50
51,14,4,1429458016,51
52,1,5,1086459075,52
53,1,6,1086459075,53
54,1,7,1086459075,54
55,1,8,1086459075,55
56,1,9,1086459075,56
57,1,10,1086459075,57
58,1,11,1086459075,58
59,1,12,1086459075,59
60,1,13,1086459075,60
61,1,14,1086459075,61
62,1,15,1086459075,62
63,1,16,1086459075,63
64,1,17,1086459075,64
65,1,18,1086459075,65
66,1,19,1086459075,66
67,1,20,1086459075,67
68,1,21,1086459075,68
69,1,22,1086459075,69
70,1,23,1086459075,70
71,1,24,1086459075,71
72,1,25,1086459075,72
73,1,26,1086459075,73
74,1,27,1086459075,74
75,1,28,1086459075,75
76,1,29,1086459075,76
77,1,30,1086459075,77
78,1,31,1086459075,78
79,1,32,1086459075,79
80,1,33,1086459075,80
81,1,34,1086459075,81
82,1,35,1086459075,82
83,1,36,1086459075,83
84,1,37,1086459075,84
85,1,38,1086459075,85
86,1,39,1086459075,86
87,1,40,1086459075,87
88,1,41,1086459075,88
89,1,42,1086459075,89
90,1,43,1086459075,90
91,1,44,1086459075,91
92,1,45,1086459075,92
93,1,46,1086459075,93
94,1,47,1086459075,94
95,1,48,1086459075,95
96,1,49,1086459075,96
97,1,50,1086459075,97
98,1,51,1086459075,98
99,1,52,1086459075,99
100,1,53,1086459075,100
101,1,54,1086459075,101
102,1,55,1086459075,102
103,1,56,1086459075,103
104,1,57,1086459075,104
105,1,58,1086459075,105
106,1,59,1086459075,106
107,1,60,1086459075,107
108,1,61,1086459075,108
109,1,62,1086459075,109
110,1,63,1086459075,110
111,1,64,1086459075,111
112,1,65,1086459075,112
113,1,66,1086459075,113
114,1,67,1086459075,114
115,1,68,1086459075,115
116,1,69,1086459075,116
117,1,70,1086459075,117
118,1,71,1086459075,118
119,1,72,1086459075,119
120,1,73,1086459075,120
121,1,74,1086459075,121
122,1,75,1086459075,122
123,1,76,1086459075,123
124,1,77,1086459075,124
125,1,78,1086459075,125
126,1,79,1086459144,126
127,2,80,1097963979,127
128,2,80,1098099804,128
129,2,80,1100781127,129
130,2,80,1101488253,130
131,2,80,1103817685,131
132,3,80,1133200601,132
133,3,80,1133200618,133
134,3,80,1133200929,134
135,5,80,1150984022,135
136,3,80,1151089861,136
137,3,80,1151090945,137
138,5,80,1157391590,138
139,6,80,1162022853,139
140,5,80,1168186525,140
141,5,80,1170251249,141
142,15,80,1287509694,142
143,16,80,1348170605,143
144,17,80,1351162639,144
145,13,80,1409560627,145
146,16,80,1435788426,146
147,17,80,1493238558,147
148,2,82,1098100189,148
149,2,83,1098821236,149
150,2,83,1100780896,150
151,2,83,1101488257,151
152,2,83,1103818868,152
153,3,83,1108490428,153
154,3,83,1112553581,154
155,3,83,1112553862,155
156,3,83,1133202334,156
157,5,83,1150984037,157
158,3,83,1151090286,158
159,3,83,1151091018,159
160,5,83,1157391619,160
161,6,83,1162022673,161
162,5,83,1167308285,162
163,15,83,1258856383,163
164,18,83,1299082777,164
165,19,83,1333603538,165
166,13,83,1407816872,166
167,13,83,1407817494,167
168,13,83,1414039226,168
169,16,83,1435750388,169
170,17,83,1493238530,170
171,2,84,1099083287,171
172,2,84,1100781017,172
173,2,84,1101488265,173
174,2,84,1103819390,174
175,3,84,1133201533,175
176,5,84,1150984077,176
177,3,84,1151090406,177
178,3,84,1151091418,178
179,6,84,1161975618,179
180,6,84,1161975766,180
181,3,84,1162398133,181
182,5,84,1168186575,182
183,20,84,1221457060,183
184,21,84,1302109048,184
185,18,84,1387410308,185
186,13,84,1408604922,186
187,13,84,1408605793,187
188,13,84,1408633756,188
189,13,84,1408637776,189
190,17,84,1493238510,190
191,22,85,1129675420,191
192,23,85,1413662645,192
193,2,86,1100781238,193
194,3,86,1133202875,194
195,3,86,1133202890,195
