,u,i,ts,idx
0,1,1,1137003206,0
1,2,1,1137438429,1
2,3,1,1220384139,2
3,4,2,1136941708,3
4,5,3,1136941760,4
5,1,3,1137080406,5
6,5,3,1137082118,6
7,6,3,1137424569,7
8,6,3,1137593795,8
9,6,3,1137593820,9
10,1,3,1137606985,10
11,6,3,1137681296,11
12,1,3,1137686939,12
13,6,3,1137778862,13
14,1,3,1138133067,14
15,1,3,1138133089,15
16,1,3,1138133618,16
17,1,3,1138133759,17
18,6,3,1138193065,18
19,1,3,1138224834,19
20,6,3,1138374017,20
21,6,3,1138374077,21
22,7,3,1138988391,22
23,8,3,1139147387,23
24,8,3,1139147436,24
25,6,3,1140516389,25
26,6,3,1140518200,26
27,6,3,1140518271,27
28,1,3,1140617140,28
29,1,3,1142099196,29
30,9,3,1392542488,30
31,5,4,1136941873,31
32,5,4,1137082147,32
33,6,4,1137593660,33
34,6,4,1137681211,34
35,6,4,1138114620,35
36,1,4,1138133300,36
37,1,4,1138133483,37
38,6,4,1138192853,38
39,6,4,1138373891,39
40,1,4,1138532805,40
41,8,4,1139147375,41
42,8,4,1139152248,42
43,6,4,1140516145,43
44,1,4,1142099340,44
45,5,5,1136941945,45
46,1,5,1137080986,46
47,5,5,1137082025,47
48,10,5,1137088472,48
49,10,5,1137088504,49
50,1,5,1137089058,50
51,1,5,1137089076,51
52,6,5,1137501939,52
53,6,5,1137677311,53
54,6,5,1137774831,54
55,6,5,1138122656,55
56,6,5,1138123078,56
57,1,5,1138128532,57
58,6,5,1138193058,58
59,7,5,1138208456,59
60,7,5,1138208472,60
61,7,5,1138493681,61
62,7,5,1138494693,62
63,11,5,1138970390,63
64,7,5,1138979199,64
65,7,5,1138979238,65
66,7,5,1138979248,66
67,7,5,1138979778,67
68,8,5,1139143924,68
69,1,5,1139164963,69
70,6,5,1141206259,70
71,6,5,1141206358,71
72,6,5,1141288313,72
73,7,5,1141325703,73
74,6,5,1142241148,74
75,12,5,1142246181,75
76,6,5,1143211297,76
77,6,5,1144065613,77
78,6,5,1144065686,78
79,13,5,1148127920,79
80,14,5,1153501263,80
81,1,5,1155564302,81
82,13,5,1163094981,82
83,13,5,1164011665,83
84,1,5,1164037000,84
85,13,5,1165528583,85
86,13,5,1165528599,86
87,13,5,1165528858,87
88,13,5,1165629210,88
89,13,5,1165706283,89
90,13,5,1165706320,90
91,1,5,1165775494,91
92,1,5,1165776608,92
93,13,5,1165777021,93
94,13,5,1166649756,94
95,13,5,1166661781,95
96,6,5,1166802557,96
97,6,5,1166802603,97
98,13,5,1167503613,98
99,6,5,1167581555,99
100,6,5,1167581652,100
101,15,5,1171422405,101
102,13,5,1186059217,102
103,13,5,1186059230,103
104,13,5,1189603404,104
105,16,5,1196152296,105
106,16,5,1196152317,106
107,16,5,1196152430,107
108,16,5,1199352639,108
109,15,5,1199535564,109
110,15,5,1200300346,110
111,15,5,1200309048,111
112,15,5,1200309076,112
113,15,5,1200323022,113
114,17,5,1200332113,114
115,17,5,1200332205,115
116,17,5,1200332333,116
117,17,5,1200825622,117
118,15,5,1200936678,118
119,15,5,1200937583,119
120,17,5,1200992740,120
121,17,5,1200993667,121
122,15,5,1201005995,122
123,17,5,1201108082,123
124,17,5,1201188506,124
125,17,5,1201188525,125
126,17,5,1201188582,126
127,15,5,1201278466,127
128,15,5,1201278531,128
129,17,5,1201445502,129
130,1,5,1201557612,130
131,1,5,1201557643,131
132,17,5,1201627481,132
133,17,5,1201629275,133
134,15,5,1201754131,134
135,15,5,1202085820,135
136,15,5,1202085842,136
137,15,5,1202085858,137
138,15,5,1202406992,138
139,15,5,1202407006,139
140,15,5,1202728215,140
141,15,5,1202736274,141
142,17,5,1203342882,142
143,17,5,1203451209,143
144,17,5,1203451222,144
145,17,5,1203451269,145
146,17,5,1203683725,146
147,17,5,1203683778,147
148,17,5,1203683796,148
149,15,5,1203693139,149
150,17,5,1204214182,150
151,17,5,1204457171,151
152,17,5,1204457278,152
153,17,5,1204487401,153
154,17,5,1204487413,154
155,17,5,1204487424,155
156,17,5,1204987309,156
157,17,5,1204987365,157
158,17,5,1205923655,158
159,17,5,1205923717,159
160,15,5,1206873272,160
161,17,5,1206907594,161
162,17,5,1207591135,162
163,17,5,1207591159,163
164,17,5,1207995995,164
165,17,5,1208191804,165
166,17,5,1208459164,166
167,17,5,1208460870,167
168,17,5,1210005476,168
169,17,5,1210362392,169
170,17,5,1210366496,170
171,17,5,1210590811,171
172,17,5,1210592323,172
173,17,5,1210969003,173
174,17,5,1211290933,174
175,17,5,1211383324,175
176,17,5,1211667836,176
177,17,5,1211821002,177
178,17,5,1212861427,178
179,17,5,1212950723,179
180,17,5,1213881112,180
181,17,5,1215550902,181
182,17,5,1216044760,182
183,17,5,1216139169,183
184,17,5,1216156265,184
185,17,5,1216212560,185
186,17,5,1216620915,186
187,17,5,1216626945,187
188,17,5,1216823787,188
189,17,5,1217163998,189
190,17,5,1217173640,190
191,17,5,1217372124,191
192,17,5,1217536386,192
193,17,5,1217588017,193
194,17,5,1217839819,194
195,17,5,1217956836,195
196,17,5,1217967435,196
197,17,5,1218023036,197
198,17,5,1218023389,198
199,17,5,1218025239,199
200,17,5,1218029745,200
201,17,5,1218195096,201
202,17,5,1218195931,202
203,17,5,1218206367,203
204,17,5,1218206400,204
205,17,5,1218206413,205
206,17,5,1218247271,206
207,17,5,1218248677,207
208,17,5,1218372640,208
209,18,5,1218382198,209
210,18,5,1218385909,210
211,17,5,1218450764,211
212,17,5,1218538438,212
213,18,5,1218675213,213
214,18,5,1219153785,214
215,18,5,1219426574,215
216,17,5,1219490372,216
217,17,5,1219495456,217
218,17,5,1219602031,218
219,18,5,1219687223,219
220,18,5,1219803214,220
221,17,5,1220176569,221
222,7,5,1220379113,222
223,7,5,1220471307,223
224,17,5,1220631353,224
225,17,5,1220631617,225
226,17,5,1220646422,226
227,17,5,1220646490,227
228,7,5,1220826515,228
229,7,5,1220873352,229
230,7,5,1220905609,230
231,7,5,1221074972,231
232,17,5,1221147565,232
233,7,5,1221389869,233
234,7,5,1221597673,234
235,17,5,1221670283,235
236,7,5,1221757579,236
237,17,5,1222088996,237
238,7,5,1222209095,238
239,7,5,1222287834,239
240,17,5,1222507976,240
241,7,5,1222555937,241
