,u,i,ts,idx
0,1,1,1099756515,0
1,2,2,1091941492,1
2,3,2,1092590063,2
3,1,2,1099753869,3
4,1,2,1099762466,4
5,4,2,1107296992,5
6,4,2,1107297075,6
7,4,2,1107560683,7
8,4,2,1107560709,8
9,4,2,1107692970,9
10,4,2,1107693375,10
11,4,2,1107734602,11
12,4,2,1107735137,12
13,4,2,1107735186,13
14,4,2,1107735511,14
15,5,2,1108314208,15
16,5,2,1108314266,16
17,4,2,1108418907,17
18,4,2,1108504251,18
19,5,2,1113945274,19
20,5,2,1113945325,20
21,4,2,1116606977,21
22,4,2,1116980528,22
23,6,2,1118399019,23
24,6,2,1118399947,24
25,7,2,1118453348,25
26,7,2,1118453408,26
27,4,2,1118596587,27
28,6,2,1118611962,28
29,6,2,1118612048,29
30,6,2,1118650999,30
31,6,2,1118651083,31
32,6,2,1118651182,32
33,6,2,1118653224,33
34,6,2,1118655907,34
35,6,2,1118656206,35
36,6,2,1118819286,36
37,7,2,1119353883,37
38,7,2,1119354041,38
39,7,2,1119354117,39
40,7,2,1119354160,40
41,7,2,1119354212,41
42,7,2,1119354447,42
43,7,2,1119354556,43
44,7,2,1119362995,44
45,7,2,1119363064,45
46,7,2,1119363726,46
47,7,2,1119363792,47
48,7,2,1119364351,48
49,7,2,1119365989,49
50,7,2,1119369488,50
51,7,2,1119374114,51
52,7,2,1119374956,52
53,7,2,1119374979,53
54,7,2,1119399972,54
55,7,2,1119400322,55
56,7,2,1119401922,56
57,7,2,1119404357,57
58,7,2,1119404568,58
59,7,2,1119404574,59
60,7,2,1119405320,60
61,6,2,1119468585,61
62,6,2,1119469555,62
63,6,2,1119470982,63
64,6,2,1119471704,64
65,6,2,1119472448,65
66,6,2,1119472622,66
67,6,2,1119472693,67
68,6,2,1119472871,68
69,6,2,1119473087,69
70,6,2,1119473580,70
71,6,2,1119473588,71
72,7,2,1119485846,72
73,6,2,1119547869,73
74,6,2,1119548398,74
75,6,2,1119550265,75
76,6,2,1119550991,76
77,7,2,1119625526,77
78,7,2,1119765901,78
79,6,2,1120426543,79
80,6,2,1120426672,80
81,7,2,1120605815,81
82,7,2,1120608448,82
83,7,2,1120698562,83
84,6,2,1123705004,84
85,6,2,1124992179,85
86,6,2,1124992572,86
87,7,2,1125317944,87
88,7,2,1125318098,88
89,8,2,1137602523,89
90,8,2,1137602771,90
91,8,2,1137603433,91
92,8,2,1137713958,92
93,8,2,1137732022,93
94,8,2,1141054164,94
95,8,2,1141054518,95
96,8,2,1141129635,96
97,8,2,1141129711,97
98,8,2,1141129732,98
99,8,2,1141137718,99
100,7,2,1142879391,100
101,4,2,1148109897,101
102,4,2,1148109979,102
103,8,2,1168885261,103
104,8,2,1201887189,104
105,8,2,1201887198,105
106,9,2,1218650371,106
107,10,2,1218651078,107
108,10,2,1223926290,108
109,11,2,1240334464,109
110,12,2,1245517435,110
111,13,2,1254184896,111
112,14,2,1258476151,112
113,13,2,1260228604,113
114,12,2,1261391245,114
115,12,2,1261391621,115
116,15,2,1261425953,116
117,16,2,1264367055,117
118,13,2,1265049548,118
119,13,2,1285329099,119
120,13,2,1291614533,120
121,13,2,1294900404,121
122,17,2,1347410537,122
123,17,2,1347488949,123
124,17,2,1347529436,124
125,17,2,1347571699,125
126,17,2,1349843537,126
127,17,2,1349850994,127
128,17,2,1350664348,128
129,17,2,1371244905,129
130,18,2,1397220151,130
131,3,3,1096638599,131
132,3,3,1096818222,132
133,1,3,1099760324,133
134,7,3,1119360498,134
135,7,3,1119360520,135
136,19,3,1163955947,136
137,19,3,1163956016,137
138,3,4,1096918109,138
139,3,4,1097137128,139
140,3,4,1097147542,140
141,3,4,1098872032,141
142,3,4,1098882811,142
143,3,4,1098907982,143
144,3,4,1099052884,144
145,3,4,1099128452,145
146,3,4,1099158711,146
147,3,4,1099299101,147
148,3,4,1099385195,148
149,1,4,1099760727,149
150,1,4,1099761712,150
151,1,4,1099762401,151
152,3,4,1100704594,152
153,3,4,1100778711,153
154,3,4,1100810747,154
155,3,4,1101128774,155
156,3,4,1101136454,156
157,3,4,1103112623,157
158,5,4,1108412823,158
159,5,4,1108413435,159
160,5,4,1108413903,160
161,5,4,1114009015,161
162,5,4,1114015264,162
163,5,4,1114020516,163
164,5,4,1114020677,164
165,5,4,1114021159,165
166,5,4,1114021307,166
167,5,4,1114021544,167
168,5,4,1114021742,168
169,5,4,1114021836,169
170,5,4,1114022165,170
171,5,4,1114022367,171
172,5,4,1114022570,172
173,5,4,1114022751,173
174,5,4,1114022890,174
175,5,4,1114023048,175
176,5,4,1114023309,176
177,5,4,1114023436,177
178,5,4,1114023822,178
179,5,4,1114023857,179
180,5,4,1114024054,180
181,5,4,1114024114,181
182,5,4,1114024335,182
183,5,4,1114024549,183
184,5,4,1114024605,184
185,5,4,1114024663,185
186,5,4,1114024710,186
187,5,4,1114024859,187
188,5,4,1114025228,188
189,5,4,1114025288,189
190,8,4,1207598616,190
191,3,5,1097569994,191
192,1,5,1099760679,192
193,5,5,1115130186,193
194,1,6,1099755647,194
195,1,6,1099756812,195
196,1,6,1099756974,196
197,1,6,1099757027,197
198,1,6,1099759231,198
199,1,6,1099760540,199
200,4,6,1107210696,200
201,4,6,1107282389,201
202,4,6,1107282557,202
203,4,6,1107295942,203
204,4,6,1107298100,204
205,4,6,1107560601,205
206,4,6,1107687263,206
207,4,6,1107692802,207
208,4,6,1107734500,208
209,5,6,1108411123,209
210,4,6,1108418783,210
211,4,6,1108418982,211
212,20,6,1109603250,212
213,20,6,1109603358,213
214,20,6,1109604231,214
215,20,6,1109604348,215
216,20,6,1109604621,216
217,20,6,1109604806,217
218,20,6,1109605167,218
219,5,6,1114639399,219
220,5,6,1114981461,220
221,5,6,1115048641,221
222,5,6,1115127210,222
223,5,6,1115128582,223
224,5,6,1115128777,224
225,5,6,1115129738,225
226,5,6,1115486374,226
227,5,6,1115555302,227
228,5,6,1116009914,228
229,5,6,1116519345,229
230,5,6,1116520412,230
231,5,6,1116863812,231
232,5,6,1116865814,232
233,5,6,1116865983,233
234,5,6,1118257677,234
235,7,6,1118420245,235
236,7,6,1118420687,236
237,7,6,1118421081,237
238,7,6,1118421869,238
239,7,6,1118422412,239
240,7,6,1118422730,240
241,7,6,1118423201,241
242,7,6,1118425275,242
243,7,6,1118425907,243
244,7,6,1118426081,244
245,7,6,1118427513,245
246,7,6,1118443386,246
247,4,6,1118445919,247
248,7,6,1118446980,248
249,7,6,1118447143,249
250,7,6,1118447871,250
251,7,6,1118447913,251
252,7,6,1118448885,252
253,7,6,1118449382,253
254,7,6,1118449547,254
255,7,6,1118450141,255
256,7,6,1118450600,256
257,7,6,1118453810,257
258,7,6,1118454386,258
259,7,6,1118454620,259
260,7,6,1118455177,260
261,7,6,1118455544,261
262,7,6,1118455841,262
263,7,6,1118456152,263
264,7,6,1118456522,264
265,7,6,1118457157,265
266,7,6,1118457644,266
267,7,6,1118495348,267
268,7,6,1118495624,268
269,7,6,1118495724,269
270,7,6,1118496007,270
271,7,6,1118500084,271
272,4,6,1118506396,272
273,7,6,1118517709,273
274,7,6,1118520103,274
275,7,6,1118520400,275
276,7,6,1118520678,276
277,7,6,1118521168,277
278,7,6,1118525451,278
279,7,6,1118525800,279
280,7,6,1118525999,280
281,7,6,1118526649,281
282,7,6,1118528556,282
283,7,6,1118533908,283
284,7,6,1118534263,284
285,7,6,1118534668,285
286,7,6,1118534946,286
287,7,6,1118594851,287
288,7,6,1118618975,288
289,7,6,1118619176,289
290,7,6,1118619365,290
291,7,6,1118619601,291
292,7,6,1118619952,292
293,7,6,1118700762,293
294,4,6,1118704913,294
295,7,6,1118707037,295
296,5,6,1118742896,296
297,5,6,1118844730,297
298,5,6,1118844741,298
299,5,6,1118926540,299
300,5,6,1118926978,300
301,7,6,1118939589,301
302,5,6,1119209710,302
303,5,6,1119210124,303
304,5,6,1119210328,304
305,5,6,1119210575,305
306,5,6,1119210620,306
307,7,6,1119347281,307
308,7,6,1119347964,308
309,5,6,1119558264,309
310,5,6,1119558905,310
311,7,6,1119800908,311
312,5,6,1120243873,312
313,7,6,1126736480,313
314,5,6,1127846008,314
315,4,6,1131405826,315
316,5,6,1137764305,316
317,8,6,1140994094,317
318,21,6,1192346302,318
319,21,6,1193491382,319
320,13,6,1256502720,320
321,13,6,1256802135,321
322,22,6,1259751582,322
323,13,6,1265048492,323
324,13,6,1285328071,324
325,23,6,1335782174,325
326,17,6,1349830118,326
327,13,6,1370242780,327
328,24,6,1438605500,328
329,24,6,1438941990,329
330,1,7,1099756368,330
331,5,7,1114980418,331
332,5,7,1115486010,332
333,5,7,1116009174,333
334,5,7,1116865501,334
335,5,7,1120242570,335
336,8,7,1140994101,336
337,8,7,1415798847,337
338,8,7,1422639474,338
339,1,8,1099756992,339
340,1,9,1099759033,340
341,1,9,1099760006,341
342,4,9,1107296481,342
343,4,9,1107296527,343
344,8,9,1138194674,344
345,8,9,1204035577,345
346,1,10,1099759098,346
347,4,10,1118701921,347
348,8,10,1172614643,348
349,8,10,1172614706,349
350,13,10,1216329614,350
351,25,10,1234277764,351
352,26,10,1239091471,352
353,22,10,1243066993,353
354,27,10,1327882120,354
355,28,10,1330713329,355
356,27,10,1365957823,356
357,24,10,1438605510,357
358,1,11,1099759730,358
359,1,11,1099759819,359
360,4,11,1107444585,360
361,8,11,1137612532,361
362,29,11,1236091218,362
363,30,11,1322400684,363
364,17,11,1343405201,364
365,17,11,1346913631,365
366,31,11,1397894997,366
367,24,11,1438605520,367
368,1,12,1099760616,368
369,1,12,1099760814,369
370,32,12,1120244656,370
371,8,12,1141053926,371
372,8,12,1141116897,372
373,8,12,1141116946,373
374,1,13,1099761096,374
375,8,13,1170108615,375
376,8,13,1170108684,376
377,8,13,1170108920,377
378,1,14,1099761422,378
379,33,14,1135372343,379
380,33,14,1135372379,380
381,4,14,1136278110,381
382,8,14,1140993216,382
383,8,14,1141126147,383
384,1,15,1099761444,384
385,34,15,1228753255,385
386,35,15,1297115415,386
387,23,15,1336754011,387
388,36,15,1349277912,388
389,13,15,1359544030,389
390,31,15,1397121327,390
391,1,16,1099761750,391
392,8,16,1137612592,392
393,1,17,1099761791,393
394,37,17,1283383994,394
395,1,18,1099762126,395
396,1,18,1099762161,396
397,6,18,1118527150,397
398,6,18,1118527206,398
399,6,18,1118651486,399
400,6,18,1118818654,400
401,6,18,1118818811,401
402,6,18,1118818910,402
403,6,18,1119559439,403
404,6,18,1119627833,404
405,8,18,1140978534,405
406,2,18,1158023143,406
407,38,18,1221197313,407
408,8,18,1227397046,408
409,22,18,1245601908,409
410,24,18,1438605530,410
411,24,18,1495088319,411
412,3,19,1099949544,412
413,3,19,1099949660,413
414,3,20,1101298689,414
415,3,20,1101312741,415
416,3,20,1103105165,416
417,3,20,1103107820,417
418,3,20,1103107876,418
419,8,20,1140993645,419
420,3,21,1102782015,420
421,3,21,1102872921,421
422,8,21,1137731489,422
423,3,22,1102881933,423
424,3,22,1102927223,424
425,3,22,1102948015,425
426,3,22,1103127787,426
427,8,22,1140980676,427
428,8,22,1142947926,428
429,3,23,1103023374,429
430,8,23,1140980760,430
431,8,23,1142947916,431
432,3,24,1103026961,432
433,3,24,1103132312,433
434,8,24,1138108248,434
435,39,25,1103266054,435
436,39,25,1103267558,436
437,6,25,1118781303,437
438,6,25,1118819676,438
439,6,25,1119559383,439
440,39,26,1103266054,440
441,39,26,1103267558,441
442,6,26,1118821758,442
443,39,27,1103266054,443
444,39,27,1103267558,444
445,6,27,1118821846,445
446,6,27,1118821875,446
447,6,27,1118821908,447
448,40,27,1328876683,448
449,39,28,1103266054,449
450,39,28,1103267558,450
451,6,28,1118821961,451
452,39,29,1103266054,452
453,39,29,1103267558,453
454,6,29,1118822318,454
455,39,30,1103266054,455
456,39,30,1103267558,456
457,6,30,1118822371,457
458,39,31,1103266054,458
459,39,31,1103267558,459
460,6,31,1118822392,460
461,39,32,1103266054,461
462,39,32,1103267558,462
463,6,32,1118822416,463
464,39,33,1103266054,464
465,39,33,1103267558,465
466,6,33,1118822426,466
467,39,34,1103266054,467
468,39,34,1103267558,468
469,6,34,1118822714,469
470,8,34,1140989641,470
471,39,35,1103266054,471
472,39,35,1103267558,472
473,6,35,1118822785,473
474,39,36,1103266054,474
475,39,36,1103267558,475
476,6,36,1118822831,476
477,39,37,1103266054,477
478,39,37,1103267558,478
479,6,37,1118822853,479
480,39,38,1103266054,480
481,39,38,1103267558,481
482,39,38,1119698282,482
483,8,38,1140989205,483
484,39,39,1103266054,484
485,39,39,1103267558,485
486,6,39,1118823234,486
487,39,40,1103266054,487
488,39,40,1103267558,488
489,6,40,1118823377,489
490,39,41,1103266054,490
491,39,41,1103267558,491
492,6,41,1118823463,492
493,39,42,1103266054,493
494,39,42,1103267558,494
495,6,42,1118823600,495
496,39,43,1103266054,496
497,39,43,1103267558,497
498,6,43,1118823912,498
499,39,44,1103266054,499
500,39,44,1103267558,500
501,6,44,1118823973,501
502,39,45,1103266054,502
503,39,45,1103267558,503
504,6,45,1118824120,504
505,39,46,1103266054,505
506,39,46,1103267558,506
507,6,46,1118824136,507
508,39,47,1103266054,508
509,39,47,1103267558,509
510,6,47,1118824218,510
511,39,48,1103266054,511
512,39,48,1103267558,512
513,6,48,1118824278,513
514,39,49,1103266054,514
515,39,49,1103267558,515
516,6,49,1118824298,516
517,39,50,1103266054,517
518,39,50,1103267558,518
519,6,50,1118824327,519
520,39,51,1103266054,520
521,39,51,1103267558,521
522,6,51,1118824359,522
523,39,52,1103266054,523
524,39,52,1103267558,524
525,6,52,1118824393,525
526,39,53,1103266054,526
527,39,53,1103267558,527
528,6,53,1118824413,528
529,39,54,1103266054,529
530,39,54,1103267558,530
531,6,54,1118824479,531
532,39,55,1103266054,532
533,39,55,1103267558,533
534,6,55,1118824518,534
535,39,56,1103266054,535
536,39,56,1103267558,536
537,39,56,1119698283,537
538,8,56,1140990169,538
539,39,57,1103266054,539
540,39,57,1103267558,540
541,6,57,1118824591,541
542,39,58,1103266054,542
543,39,58,1103267558,543
544,6,58,1118824624,544
545,39,59,1103266054,545
546,39,59,1103267558,546
547,6,59,1118825061,547
548,39,60,1103266054,548
549,39,60,1103267558,549
550,6,60,1118825168,550
551,39,61,1103266054,551
552,39,61,1103267558,552
553,6,61,1118825144,553
554,39,62,1103266054,554
555,39,62,1103267558,555
556,6,62,1118825131,556
557,39,63,1103266054,557
558,39,63,1103267558,558
559,6,63,1118825703,559
560,39,64,1103266054,560
561,39,64,1103267558,561
562,6,64,1118825729,562
563,39,65,1103266054,563
564,39,65,1103267558,564
565,6,65,1118825821,565
566,39,66,1103266054,566
567,39,66,1103267558,567
568,6,66,1118825856,568
569,39,67,1103266054,569
570,39,67,1103267558,570
571,6,67,1118825868,571
572,39,68,1103266054,572
573,39,68,1103267558,573
574,6,68,1118825955,574
575,39,69,1103266054,575
576,39,69,1103267558,576
577,6,69,1118825988,577
578,39,70,1103266054,578
579,39,70,1103267558,579
580,6,70,1118826024,580
581,39,71,1103266054,581
582,39,71,1103267558,582
583,6,71,1118826110,583
584,39,72,1103266054,584
585,39,72,1103267558,585
586,6,72,1118826144,586
587,6,72,1118826258,587
588,6,72,1118826380,588
589,39,73,1103266054,589
590,39,73,1103267558,590
591,6,73,1118826291,591
592,6,73,1118826474,592
593,39,74,1103266054,593
594,39,74,1103267558,594
595,6,74,1118826339,595
596,39,75,1103266054,596
597,39,75,1103267558,597
598,6,75,1118826514,598
599,39,76,1103266054,599
600,39,76,1103267558,600
601,6,76,1118826550,601
602,39,77,1103266054,602
603,39,77,1103267558,603
604,6,77,1118826606,604
605,6,77,1118826662,605
606,39,78,1103266054,606
607,39,78,1103267558,607
608,6,78,1118826709,608
609,39,79,1103266054,609
610,39,79,1103267558,610
611,6,79,1118826744,611
612,39,80,1103266054,612
613,39,80,1103267558,613
614,6,80,1118826778,614
615,39,81,1103266054,615
616,39,81,1103267558,616
617,6,81,1118826816,617
618,39,82,1103266054,618
619,39,82,1103267558,619
620,6,82,1118826926,620
621,39,83,1103266054,621
622,39,83,1103267558,622
623,6,83,1118827016,623
624,39,84,1103266054,624
625,39,84,1103267558,625
626,6,84,1118827026,626
627,39,85,1103266054,627
628,39,85,1103267558,628
629,6,85,1118834258,629
630,39,86,1103266054,630
631,39,86,1103267558,631
632,6,86,1118828232,632
633,39,87,1103266054,633
634,39,87,1103267558,634
635,6,87,1118832369,635
636,8,87,1140985457,636
637,39,88,1103266054,637
638,39,88,1103267558,638
639,6,88,1118832435,639
640,39,89,1103266054,640
641,39,89,1103267558,641
642,6,89,1118832499,642
643,39,90,1103266054,643
644,39,90,1103267558,644
645,6,90,1118832536,645
646,39,91,1103266054,646
647,39,91,1103267558,647
648,6,91,1118828218,648
649,6,91,1118832543,649
650,39,92,1103266054,650
651,39,92,1103267558,651
652,6,92,1118828353,652
653,6,92,1118828404,653
654,39,93,1103266054,654
655,39,93,1103267558,655
656,6,93,1118832602,656
657,39,94,1103266054,657
658,39,94,1103267558,658
659,6,94,1118828438,659
660,39,95,1103266054,660
661,39,95,1103267558,661
662,6,95,1118828465,662
663,39,96,1103266054,663
664,39,96,1103267558,664
665,6,96,1118828481,665
666,39,97,1103266054,666
667,39,97,1103267558,667
668,6,97,1118828675,668
669,39,98,1103266054,669
670,39,98,1103267559,670
671,6,98,1118832660,671
672,39,99,1103266054,672
673,39,99,1103267559,673
674,6,99,1118838585,674
675,39,100,1103266054,675
676,39,100,1103267559,676
677,39,100,1119698284,677
678,8,100,1141064254,678
679,39,101,1103266054,679
680,39,101,1103267559,680
681,39,101,1119698284,681
682,39,101,1135236723,682
683,8,101,1141064061,683
684,39,102,1103266054,684
685,39,102,1103267559,685
686,39,102,1119698284,686
687,8,102,1141064040,687
688,39,103,1103266054,688
689,39,103,1103267559,689
