,u,i,ts,idx
0,1,1,1421673857,0
1,2,1,1421701542,1
2,2,1,1428929024,2
3,2,1,1428929058,3
4,2,1,1439191751,4
5,2,1,1439192274,5
6,2,1,1439192417,6
7,2,1,1439192718,7
8,3,1,1439203686,8
9,3,1,1439204000,9
10,4,1,1439496042,10
11,5,1,1440607243,11
12,2,1,1441912888,12
13,4,1,1443635498,13
14,4,1,1443637740,14
15,5,1,1443676181,15
16,4,1,1444371827,16
17,4,1,1444373002,17
18,4,1,1444388772,18
19,5,1,1445031564,19
20,5,1,1445092432,20
21,5,1,1445585628,21
22,2,1,1445631463,22
23,2,1,1445631495,23
24,2,1,1445631575,24
25,2,1,1445631655,25
26,2,1,1445631845,26
27,2,1,1445631958,27
28,2,1,1445632056,28
29,2,1,1445632160,29
30,2,1,1445635274,30
31,2,1,1445635564,31
32,2,1,1445635598,32
33,4,1,1447235994,33
34,6,1,1450959712,34
35,7,1,1456152158,35
36,7,1,1470699411,36
37,2,1,1472245342,37
38,8,1,1476138375,38
39,8,1,1476138732,39
40,9,1,1476154736,40
41,9,1,1476154767,41
42,7,1,1476158083,42
43,10,1,1478533452,43
44,11,3,1475816985,44
45,11,4,1475817008,45
46,12,5,1475817217,46
47,12,6,1475817247,47
48,13,7,1475819264,48
49,14,8,1475822857,49
50,15,9,1475830760,50
51,15,10,1475830761,51
52,15,11,1475830761,52
53,16,12,1475923485,53
54,16,13,1475923528,54
55,16,14,1475923546,55
56,17,15,1476001549,56
57,17,15,1476001573,57
58,17,15,1476001729,58
59,17,15,1476002204,59
60,3,15,1476198805,60
61,7,15,1476201022,61
62,7,15,1476204545,62
63,2,15,1476476451,63
64,18,15,1476561591,64
65,17,15,1476977294,65
66,19,15,1477048817,66
67,7,15,1477055981,67
68,3,15,1477160618,68
69,20,15,1477390892,69
70,20,15,1477635875,70
71,20,15,1477635960,71
72,5,15,1477636489,72
73,20,15,1477639603,73
74,4,15,1477811125,74
75,17,15,1477828886,75
76,17,15,1477828926,76
77,17,15,1477991131,77
78,17,15,1478704925,78
79,21,15,1479582135,79
80,17,15,1481458515,80
81,20,15,1484837755,81
82,17,15,1486554670,82
83,22,15,1486554783,83
84,20,15,1487252597,84
85,22,15,1487313150,85
86,23,15,1489771664,86
87,22,15,1489818758,87
88,20,15,1492689294,88
89,22,15,1492757173,89
90,23,15,1494610714,90
91,22,15,1494657965,91
92,20,15,1497534823,92
93,22,15,1497595661,93
94,4,16,1476019896,94
95,24,17,1476100696,95
96,5,18,1461566752,96
97,2,18,1461567936,97
98,5,18,1461568707,98
99,2,18,1461616521,99
100,2,18,1461616554,100
101,8,18,1476137236,101
102,2,19,1461616521,102
103,25,19,1464618127,103
104,8,19,1476137237,104
105,26,20,1452955838,105
106,26,20,1452955858,106
107,4,20,1453194804,107
108,3,20,1454855769,108
109,3,20,1454855775,109
110,8,20,1476137237,110
111,3,21,1454563681,111
112,8,21,1476137237,112
113,3,22,1462740707,113
114,3,22,1462740723,114
115,2,22,1462743945,115
116,8,22,1476137237,116
117,4,23,1453456691,117
118,8,23,1476137237,118
119,27,24,1431777298,119
120,8,24,1476137237,120
121,28,25,1422179293,121
122,28,25,1422179308,122
123,7,25,1440591663,123
124,8,25,1476137237,124
125,5,26,1458809653,125
126,8,26,1476137237,126
127,3,27,1443718954,127
128,8,27,1476137237,128
129,5,28,1462993542,129
130,8,28,1476137238,130
131,3,29,1455735411,131
132,2,29,1455742049,132
133,2,29,1455742091,133
134,3,29,1455791505,134
135,8,29,1476137238,135
136,5,30,1451296960,136
137,8,30,1476137238,137
138,5,31,1446546674,138
139,5,31,1446546789,139
140,26,31,1446585544,140
141,26,31,1446585837,141
142,26,31,1446585896,142
143,26,31,1446586687,143
144,26,31,1446587647,144
145,8,31,1476137238,145
146,7,32,1440593780,146
147,3,32,1440616702,147
148,6,32,1445277545,148
149,6,32,1445277807,149
150,6,32,1445377717,150
151,6,32,1445428057,151
152,6,32,1445429055,152
153,3,32,1445966316,153
154,5,32,1445966585,154
155,2,32,1446027451,155
156,2,32,1446029926,156
157,2,32,1446050889,157
158,3,32,1446059282,158
159,5,32,1446064423,159
160,6,32,1446458019,160
161,6,32,1446458205,161
162,2,32,1446462298,162
163,29,32,1449932799,163
164,6,32,1450958980,164
165,6,32,1450959009,165
166,5,32,1453799512,166
167,5,32,1453799522,167
168,6,32,1459816998,168
169,5,32,1461567264,169
170,2,32,1469347501,170
171,30,32,1469447770,171
172,3,32,1470663943,172
173,6,32,1473246900,173
174,6,32,1473247010,174
175,6,32,1473247060,175
176,5,32,1473322365,176
177,5,32,1473322390,177
178,5,32,1473322398,178
179,5,32,1473322431,179
180,5,32,1473322462,180
181,3,32,1473323043,181
182,30,32,1474869462,182
183,3,32,1474878114,183
184,30,32,1474882225,184
185,3,32,1474883702,185
186,7,32,1474926035,186
187,30,32,1474978691,187
188,3,32,1474980160,188
189,2,32,1475245665,189
190,30,32,1475264686,190
191,2,32,1475357086,191
192,30,32,1475380795,192
193,2,32,1475443178,193
194,30,32,1475443472,194
195,8,32,1476137240,195
196,3,32,1476169755,196
197,3,32,1476171773,197
198,7,32,1476178291,198
199,31,32,1476233034,199
200,31,32,1476233094,200
201,3,32,1476250395,201
202,31,32,1476270230,202
203,32,32,1476800500,203
204,6,32,1484760994,204
205,33,32,1488394925,205
206,33,32,1488395002,206
207,33,32,1488395022,207
208,2,32,1488398482,208
209,5,32,1491035552,209
210,2,32,1491040590,210
211,34,32,1491046704,211
212,2,32,1491135355,212
213,33,32,1496340282,213
214,33,32,1496340376,214
215,33,32,1496341158,215
216,33,32,1496495485,216
217,26,33,1446120543,217
218,8,33,1476137240,218
219,3,34,1454092412,219
220,4,34,1454268109,220
221,8,34,1476137240,221
222,2,35,1456783738,222
223,8,35,1476137240,223
224,3,36,1446494573,224
225,4,36,1446495175,225
226,8,36,1476137240,226
227,35,37,1442426055,227
228,36,37,1442460617,228
229,8,37,1476137241,229
230,37,38,1319121186,230
231,7,38,1443636306,231
232,8,38,1476137241,232
233,7,39,1466072308,233
234,7,39,1466072340,234
235,8,39,1476137241,235
236,2,40,1462711534,236
237,5,40,1462993542,237
238,8,40,1476137241,238
239,35,41,1442426066,239
240,8,41,1476137241,240
241,3,42,1438885218,241
242,35,42,1442426055,242
243,35,42,1442426066,243
244,8,42,1476137241,244
245,5,43,1474701576,245
246,5,43,1474701885,246
247,8,43,1476137241,247
248,3,44,1439135301,248
249,3,44,1439135332,249
250,8,44,1476137241,250
