,u,i,ts,idx
0,1,1,1075383363,0
1,1,2,1075383363,1
2,1,3,1077421300,2
3,1,4,1086459823,3
4,1,5,1086459823,4
5,1,6,1086459823,5
6,1,7,1086459823,6
7,1,8,1086459823,7
8,1,9,1086459823,8
9,1,10,1086459823,9
10,1,11,1086459823,10
11,1,12,1086459823,11
12,1,13,1086459823,12
13,1,14,1086459823,13
14,1,15,1086459823,14
15,1,16,1086459823,15
16,1,17,1086459823,16
17,1,18,1086459823,17
18,1,19,1086459823,18
19,1,20,1086459823,19
20,1,21,1086459823,20
21,1,22,1086459823,21
22,1,23,1086459823,22
23,1,24,1086459823,23
24,1,25,1086459823,24
25,1,26,1086459823,25
26,1,27,1086459823,26
27,1,28,1086459823,27
28,1,29,1086459823,28
29,1,30,1086459823,29
30,1,31,1086459823,30
31,1,32,1086459823,31
32,1,33,1086459823,32
33,1,34,1086459823,33
34,1,35,1086459823,34
35,1,36,1086459823,35
36,1,37,1086459823,36
37,1,38,1086459823,37
38,1,39,1086459823,38
39,1,40,1086459823,39
40,1,41,1086459823,40
41,1,42,1086459823,41
42,1,43,1086459823,42
43,1,44,1086459823,43
44,1,45,1086459823,44
45,1,46,1086459823,45
46,1,47,1086459823,46
47,1,48,1086459823,47
48,1,49,1086459823,48
49,1,50,1086459823,49
50,1,51,1086459823,50
51,1,52,1086459823,51
52,1,53,1086459823,52
53,1,54,1086459823,53
54,1,55,1086459823,54
55,1,56,1086459823,55
56,1,57,1086459823,56
57,1,58,1086459823,57
58,1,59,1086459823,58
59,1,60,1086459823,59
60,1,61,1086459823,60
61,1,62,1086459823,61
62,1,63,1086459823,62
63,1,64,1086459823,63
64,1,65,1086459823,64
65,1,66,1086459823,65
66,1,67,1086459823,66
67,1,68,1086459823,67
68,1,69,1086459823,68
69,1,70,1086459823,69
70,1,71,1086459823,70
71,1,72,1086459823,71
72,1,73,1086459823,72
73,1,74,1086459823,73
74,1,75,1086459823,74
75,1,76,1086459823,75
76,1,77,1086459823,76
77,1,78,1086459901,77
78,2,79,1135658024,78
79,3,79,1136420244,79
80,4,79,1140655797,80
81,5,79,1154377818,81
82,6,79,1180296322,82
83,6,79,1180296378,83
84,6,79,1180296776,84
85,6,79,1180296786,85
86,7,79,1210861916,86
87,8,79,1218215227,87
88,8,79,1218215522,88
89,8,79,1218218234,89
90,8,79,1218220003,90
91,9,79,1219254358,91
92,9,79,1219254378,92
93,9,79,1219254413,93
94,8,79,1219281449,94
95,10,79,1221035453,95
96,11,80,1114180681,96
97,11,80,1114187648,97
98,12,80,1429230057,98
99,13,81,1135820845,99
100,13,82,1135820925,100
101,3,83,1136419655,101
102,3,83,1444076728,102
103,3,84,1136419690,103
104,14,85,1137764057,104
105,15,86,1151850149,105
106,16,86,1277174334,106
107,16,86,1277175795,107
108,5,87,1154377818,108
109,17,88,1160848419,109
110,18,88,1424808314,110
111,17,89,1160848504,111
112,17,89,1160848514,112
113,18,89,1349097895,113
114,10,89,1359123003,114
115,18,89,1417592895,115
116,18,89,1418806927,116
117,18,89,1418822617,117
118,18,89,1419610713,118
119,18,89,1424199044,119
120,18,89,1424267954,120
121,18,89,1424768779,121
122,18,89,1425384337,122
123,18,89,1425551574,123
124,18,89,1425670513,124
125,18,89,1425995949,125
126,18,89,1426165425,126
127,18,89,1426686289,127
128,18,89,1428919875,128
129,18,89,1429167972,129
130,18,89,1431685089,130
131,18,89,1432579316,131
132,18,89,1433534344,132
133,18,89,1433538231,133
134,18,89,1439466978,134
135,18,89,1442220597,135
136,18,89,1443177082,136
137,18,89,1444037185,137
138,18,89,1446208049,138
139,19,89,1450209896,139
140,18,89,1472640821,140
141,18,89,1486995480,141
142,18,89,1499071809,142
143,20,90,1162079971,143
144,16,90,1225272737,144
145,17,91,1162122423,145
146,17,92,1162122437,146
147,2,93,1166899894,147
148,2,94,1166899921,148
149,6,95,1180295204,149
150,6,95,1180295220,150
151,6,96,1180295854,151
152,6,96,1180295963,152
153,21,97,1189464484,153
154,22,98,1190163099,154
155,22,98,1192406284,155
156,22,98,1192406294,156
157,22,99,1190561018,157
158,16,100,1193065667,158
159,16,100,1329613471,159
160,21,101,1194549394,160
161,23,102,1194824141,161
162,23,102,1217589273,162
163,24,103,1196737719,163
164,25,103,1356415033,164
165,26,104,1198367651,165
166,26,105,1198367656,166
167,27,106,1199401485,167
168,23,107,1205440733,168
169,23,107,1205443151,169
170,28,108,1206295774,170
171,28,109,1206295779,171
172,29,110,1206609060,172
173,7,111,1210862141,173
174,30,112,1212274951,174
175,31,113,1213748205,175
176,31,113,1261737764,176
177,31,113,1293369896,177
178,31,113,1336427283,178
179,31,113,1372518079,179
180,31,114,1214153286,180
181,8,115,1218213385,181
182,8,116,1218213477,182
183,8,117,1218214984,183
184,8,117,1218215773,184
185,8,117,1218215787,185
186,8,117,1218216551,186
187,8,117,1218220591,187
188,32,117,1285256912,188
189,33,117,1303122995,189
190,10,117,1323257819,190
191,34,117,1387717051,191
192,35,117,1490684348,192
193,18,117,1493236709,193
194,8,118,1218215610,194
195,8,119,1218215743,195
196,8,119,1219317293,196
197,8,119,1219317390,197
198,8,120,1218215819,198
199,10,120,1221807603,199
200,10,120,1221899908,200
201,10,120,1231601090,201
202,10,120,1246537320,202
203,10,120,1247393500,203
204,10,120,1247492556,204
205,10,120,1270095958,205
206,36,120,1303059268,206
207,36,120,1307656369,207
208,10,120,1359318574,208
209,18,120,1417680968,209
210,18,120,1422040676,210
211,18,120,1425548988,211
212,18,120,1443176932,212
213,18,120,1467005258,213
214,18,120,1493714971,214
215,18,120,1499071803,215
216,8,121,1218215838,216
217,37,121,1235768835,217
218,18,121,1349098849,218
219,10,121,1359121660,219
220,10,121,1364462628,220
221,38,121,1368994722,221
222,18,121,1408017411,222
223,18,121,1415101635,223
224,18,121,1417517374,224
225,39,121,1417856694,225
226,18,121,1421053846,226
227,18,121,1421495674,227
228,18,121,1422859530,228
229,18,121,1424282505,229
230,18,121,1425767640,230
231,18,121,1426685553,231
232,18,121,1427971516,232
233,18,121,1428421227,233
234,18,121,1432933021,234
235,18,121,1435733012,235
236,18,121,1437484129,236
237,18,121,1443176961,237
238,18,121,1466765062,238
239,18,121,1476178529,239
240,18,121,1499071793,240
241,8,122,1218215966,241
242,8,122,1218216284,242
243,40,122,1219080196,243
244,40,122,1219080784,244
245,9,122,1219253311,245
246,9,122,1219253806,246
247,9,122,1219253827,247
248,8,122,1219280857,248
249,41,122,1219282431,249
250,41,122,1219283934,250
251,8,123,1218215991,251
252,8,123,1218216080,252
253,8,123,1218216239,253
254,40,123,1219080497,254
255,8,123,1219281010,255
256,41,123,1219282369,256
257,41,123,1219283932,257
258,8,124,1218216837,258
