,u,i,ts,idx
0,1,1,1227197448,0
1,2,1,1227536996,1
2,2,1,1227722263,2
3,2,1,1227723918,3
4,2,1,1227730210,4
5,1,1,1228230266,5
6,1,1,1228230862,6
7,2,1,1275578473,7
8,2,1,1275579234,8
9,1,1,1299916684,9
10,2,1,1299921986,10
11,2,1,1299923744,11
12,2,1,1299924586,12
13,2,1,1299924717,13
14,2,1,1299924885,14
15,2,1,1299924936,15
16,2,1,1299931542,16
17,2,1,1299931608,17
18,2,1,1299934008,18
19,1,1,1300527205,19
20,2,1,1303533670,20
21,2,1,1303533792,21
22,2,1,1303622416,22
23,2,1,1303622579,23
24,2,1,1304176915,24
25,2,1,1305470734,25
26,2,1,1312924339,26
27,2,1,1312924677,27
28,2,1,1312925122,28
29,2,1,1312925497,29
30,2,1,1313180145,30
31,2,1,1313180431,31
32,2,1,1313180611,32
33,2,1,1313180673,33
34,2,1,1313180750,34
35,2,1,1313180835,35
36,2,1,1313180981,36
37,2,1,1313182298,37
38,3,1,1317471276,38
39,3,1,1317471312,39
40,2,1,1326007336,40
41,2,1,1326028631,41
42,4,1,1328134354,42
43,4,1,1328134775,43
44,5,1,1328179470,44
45,2,1,1328182459,45
46,2,1,1328182545,46
47,2,1,1328183414,47
48,2,1,1328183537,48
49,2,1,1328184987,49
50,2,1,1328185500,50
51,1,1,1328187950,51
52,1,1,1328188392,52
53,1,1,1328188768,53
54,2,1,1328203514,54
55,2,1,1328203656,55
56,2,1,1328341602,56
57,2,1,1328342310,57
58,2,1,1328422210,58
59,2,1,1328460778,59
60,2,1,1328466173,60
61,2,1,1328555814,61
62,2,1,1328787732,62
63,2,1,1328788159,63
64,2,1,1328788403,64
65,2,1,1328789949,65
66,2,1,1328790167,66
67,2,1,1328790340,67
68,2,1,1328790535,68
69,2,1,1328790781,69
70,2,1,1328791870,70
71,2,1,1328792102,71
72,2,1,1328792257,72
73,2,1,1328813141,73
74,2,1,1328813280,74
75,2,1,1328814645,75
76,2,1,1328816090,76
77,2,1,1328934355,77
78,2,1,1328939031,78
79,2,1,1328943418,79
80,2,1,1328943778,80
81,2,1,1328944322,81
82,2,1,1328945136,82
83,2,1,1328945902,83
84,2,1,1328946371,84
85,2,1,1328946562,85
86,2,1,1328946781,86
87,2,1,1328947244,87
88,2,1,1328948110,88
89,2,1,1328949588,89
90,2,1,1328953621,90
91,2,1,1328959837,91
92,2,1,1328960103,92
93,2,1,1328960582,93
94,2,1,1328961666,94
95,2,1,1328970448,95
96,2,1,1328981181,96
97,2,1,1328981249,97
98,2,1,1329039662,98
99,2,1,1329161697,99
100,2,1,1329163323,100
101,2,1,1329163480,101
102,2,1,1329164427,102
103,2,1,1329169372,103
104,2,1,1329232141,104
105,2,1,1329322642,105
106,2,1,1329334336,106
107,2,1,1329334567,107
108,2,1,1329337205,108
109,2,1,1329400064,109
110,2,1,1329481847,110
111,2,1,1329481922,111
112,2,1,1329489243,112
113,2,1,1329538146,113
114,2,1,1329543878,114
115,2,1,1329858545,115
116,2,1,1329914057,116
117,2,1,1329914321,117
118,2,1,1329915843,118
119,2,1,1330246412,119
120,2,1,1330246673,120
121,2,1,1330246860,121
122,2,1,1330248892,122
123,2,1,1330250454,123
124,2,1,1330250642,124
125,2,1,1330359440,125
126,2,1,1330359696,126
127,2,1,1330881681,127
128,2,1,1331932288,128
129,2,1,1331977660,129
130,2,1,1332616475,130
131,2,1,1332951817,131
132,2,1,1333165787,132
133,2,1,1333165836,133
134,2,1,1333173086,134
135,6,1,1333211502,135
136,7,1,1333789153,136
137,2,1,1333911034,137
138,2,1,1351410366,138
139,2,1,1386406252,139
140,8,1,1390076853,140
141,2,1,1398433444,141
142,2,1,1398434051,142
143,9,1,1401713287,143
144,9,1,1401713366,144
145,9,1,1401713858,145
146,9,1,1401714152,146
147,9,1,1401714319,147
148,2,1,1407434375,148
149,2,1,1407563839,149
150,2,1,1411224678,150
151,2,1,1411282900,151
152,2,1,1413392087,152
153,2,1,1423137290,153
154,2,1,1438362513,154
155,10,1,1440173883,155
156,10,1,1440401518,156
157,10,1,1440401869,157
158,10,1,1440403638,158
159,10,1,1440403689,159
160,11,2,1328130715,160
161,12,3,1328130916,161
162,13,4,1328130967,162
163,14,5,1328131628,163
164,4,6,1328131649,164
165,2,6,1328198642,165
166,2,7,1303025954,166
167,2,7,1303026060,167
168,15,7,1305531261,168
169,4,7,1328134047,169
170,16,7,1328290323,170
171,17,7,1329332138,171
172,2,7,1329548606,172
173,2,7,1329552578,173
174,17,7,1332643670,174
175,18,7,1340472133,175
176,17,7,1358255897,176
177,19,7,1435114177,177
178,19,7,1439991248,178
179,19,7,1446090996,179
180,20,7,1467204244,180
181,21,7,1477439780,181
182,22,7,1479424010,182
183,20,7,1479943718,183
184,23,7,1485193185,184
185,19,7,1490391998,185
186,20,7,1493506884,186
187,2,8,1303026179,187
188,4,8,1328134047,188
189,16,8,1328290295,189
190,17,8,1329331908,190
191,17,8,1332643369,191
192,18,8,1340472096,192
193,17,8,1358257378,193
194,18,8,1390775883,194
195,19,8,1433912720,195
196,19,8,1435923796,196
197,16,8,1444218298,197
198,20,8,1487716211,198
199,19,8,1490392227,199
200,20,8,1493506949,200
201,2,9,1302702642,201
202,2,9,1302702838,202
203,2,9,1305345813,203
204,4,9,1328134047,204
205,4,9,1328134100,205
206,10,9,1453192800,206
207,2,10,1305834233,207
208,24,10,1312917526,208
209,4,10,1328134047,209
210,2,11,1302702317,210
211,2,11,1302702807,211
212,2,11,1303984332,212
213,4,11,1328134047,213
214,4,11,1328134116,214
215,2,12,1227206495,215
216,2,12,1239420457,216
217,25,12,1299927520,217
218,4,12,1328134048,218
219,2,12,1329928066,219
220,2,13,1306158915,220
221,24,13,1312918621,221
222,4,13,1328134048,222
223,3,14,1301593856,223
224,15,14,1303905508,224
225,15,14,1303905534,225
226,15,14,1303905592,226
227,15,14,1303905758,227
228,4,14,1328134048,228
229,17,14,1329410980,229
230,26,14,1332341553,230
231,2,14,1337519691,231
232,19,14,1348778248,232
233,19,14,1358223589,233
234,19,14,1373773861,234
235,20,14,1467211258,235
236,20,14,1493509577,236
237,2,15,1301740931,237
238,15,15,1303905926,238
239,2,15,1303914952,239
240,15,15,1305531546,240
