,u,i,ts,idx
0,1,1,1075377148,0
1,1,2,1075377148,1
2,1,3,1075377148,2
3,1,3,1086460320,3
4,1,3,1103624149,4
5,2,3,1113077616,5
6,1,4,1075377148,6
7,1,4,1086460328,7
8,1,4,1103624153,8
9,2,4,1113078737,9
10,1,5,1075377148,10
11,1,5,1086460308,11
12,1,5,1103624141,12
13,2,5,1113074640,13
14,1,6,1077421345,14
15,1,7,1086460306,15
16,1,8,1086460306,16
17,1,9,1086460306,17
18,1,10,1086460306,18
19,1,11,1086460306,19
20,1,12,1086460306,20
21,1,13,1086460306,21
22,1,14,1086460306,22
23,1,15,1086460306,23
24,1,16,1086460306,24
25,1,17,1086460306,25
26,1,18,1086460306,26
27,1,19,1086460306,27
28,1,20,1086460306,28
29,1,21,1086460306,29
30,1,22,1086460306,30
31,1,23,1086460306,31
32,1,24,1086460306,32
33,1,25,1086460306,33
34,1,26,1086460306,34
35,1,27,1086460306,35
36,1,28,1086460306,36
37,1,29,1086460306,37
38,1,30,1086460306,38
39,1,31,1086460306,39
40,1,32,1086460306,40
41,1,33,1086460306,41
42,1,34,1086460306,42
43,1,35,1086460306,43
44,1,36,1086460306,44
45,1,37,1086460306,45
46,1,38,1086460306,46
47,1,39,1086460306,47
48,1,40,1086460306,48
49,1,41,1086460306,49
50,1,42,1086460306,50
51,1,43,1086460306,51
52,1,44,1086460306,52
53,1,45,1086460306,53
54,1,46,1086460306,54
55,1,47,1086460306,55
56,1,48,1086460306,56
57,1,49,1086460306,57
58,1,50,1086460306,58
59,1,51,1086460306,59
60,1,52,1086460306,60
61,1,53,1086460306,61
62,1,54,1086460306,62
63,1,55,1086460306,63
64,1,56,1086460306,64
65,1,57,1086460306,65
66,1,58,1086460306,66
67,1,59,1086460306,67
68,1,60,1086460306,68
69,1,61,1086460306,69
70,1,62,1086460306,70
71,1,63,1086460306,71
72,1,64,1086460306,72
73,1,65,1086460306,73
74,1,66,1086460306,74
75,1,67,1086460306,75
76,1,68,1086460306,76
77,1,69,1086460306,77
78,1,70,1086460306,78
79,1,71,1086460306,79
80,1,72,1086460306,80
81,1,73,1086460306,81
82,1,74,1086460306,82
83,1,75,1086460306,83
84,1,76,1086460306,84
85,1,77,1086460306,85
86,1,78,1086460306,86
87,1,79,1086460306,87
88,1,80,1086460306,88
89,1,81,1086460384,89
90,1,82,1103624139,90
91,2,82,1113074798,91
92,3,82,1196376129,92
93,2,83,1110079610,93
94,2,83,1110132371,94
95,2,83,1110142935,95
96,2,83,1110143647,96
97,2,83,1110147100,97
98,2,83,1110152616,98
99,2,83,1110153243,99
100,2,83,1110676114,100
101,2,83,1110676413,101
102,2,83,1113147128,102
103,2,83,1120024700,103
104,4,83,1140656217,104
105,5,83,1140841898,105
106,2,83,1153618276,106
107,6,83,1163348149,107
108,5,83,1163904403,108
109,5,83,1163905009,109
110,5,83,1163905763,110
111,5,83,1163906090,111
112,3,83,1192030146,112
113,3,83,1192102733,113
114,3,83,1196375882,114
115,3,83,1202470975,115
116,3,83,1212046283,116
117,7,83,1346879500,117
118,8,83,1459518738,118
119,2,84,1110143678,119
120,2,84,1110144050,120
121,2,84,1116083549,121
122,2,85,1110146452,122
123,2,85,1110146738,123
124,2,85,1110146981,124
125,2,85,1110147277,125
126,2,85,1110150740,126
127,2,85,1110152175,127
128,2,85,1110152327,128
129,2,85,1120024659,129
130,5,85,1140842340,130
131,5,85,1140842861,131
132,5,85,1140842940,132
133,5,85,1140871733,133
134,9,85,1226632478,134
135,10,85,1324244718,135
136,11,85,1351099609,136
137,12,85,1453260259,137
138,2,86,1110693654,138
139,2,86,1113074512,139
140,2,86,1117343666,140
141,2,86,1125183653,141
142,2,87,1110696526,142
143,3,87,1196377201,143
144,13,87,1472144105,144
145,4,88,1140656217,145
146,3,88,1192102935,146
147,3,88,1203950144,147
148,3,88,1203950184,148
149,14,88,1469943832,149
150,2,89,1112238689,150
151,4,89,1140656217,151
152,15,89,1149204742,152
153,16,89,1160066900,153
154,17,89,1160067733,154
155,17,89,1160067746,155
156,16,89,1160068209,156
157,16,89,1168229355,157
158,16,89,1170502638,158
159,18,89,1194616206,159
160,18,89,1199659507,160
161,18,89,1207817192,161
162,16,89,1211962378,162
163,19,89,1246061216,163
164,19,89,1279351575,164
165,20,89,1282780224,165
166,21,89,1307224802,166
167,22,89,1359025656,167
168,22,89,1361255977,168
169,21,89,1387155733,169
170,23,89,1493236600,170
171,2,90,1112238749,171
172,24,90,1192042183,172
173,3,90,1192720295,173
174,2,91,1113082506,174
175,4,91,1140656217,175
176,3,91,1196377078,176
177,25,92,1114169374,177
178,25,92,1114187698,178
179,26,92,1429230485,179
180,27,93,1115133803,180
181,27,94,1115134300,181
182,28,94,1403398374,182
183,29,95,1133143826,183
184,29,95,1135822324,184
185,29,96,1133143910,185
186,30,97,1133596451,186
187,23,97,1424808318,187
188,31,97,1425542701,188
189,30,98,1136085733,189
190,32,99,1136188401,190
191,32,100,1136188419,191
192,33,101,1136326269,192
193,33,101,1136327172,193
194,4,101,1140656217,194
195,15,101,1149106282,195
196,15,101,1149106379,196
197,15,101,1149192860,197
198,16,101,1150750968,198
199,16,101,1161618908,199
200,16,101,1166598866,200
201,16,101,1168777009,201
202,16,101,1169449761,202
203,18,101,1197137593,203
204,18,101,1201457394,204
205,19,101,1270738809,205
206,19,101,1283025604,206
207,19,101,1288089943,207
208,21,101,1311636889,208
209,21,101,1324228291,209
210,21,101,1324744655,210
211,21,101,1329802842,211
212,34,101,1348294732,212
213,34,101,1353482747,213
214,22,101,1360026739,214
215,22,101,1362048223,215
216,21,101,1387748007,216
217,34,101,1435192035,217
218,34,101,1439614910,218
219,35,101,1440378361,219
220,34,101,1449176485,220
221,36,101,1467068532,221
222,37,101,1485352346,222
223,23,101,1493237060,223
224,33,102,1136330695,224
225,33,102,1136330930,225
226,33,102,1136337908,226
227,4,102,1140656216,227
228,33,102,1169333187,228
229,19,102,1288170430,229
230,36,102,1467111346,230
231,37,102,1481012418,231
232,23,102,1493236608,232
233,33,103,1136337783,233
234,4,103,1140656216,234
235,15,103,1149795286,235
236,21,103,1327681554,236
237,23,103,1493236607,237
238,38,104,1136419648,238
239,38,104,1443380623,239
240,38,105,1136419725,240
241,39,106,1137764286,241
242,4,107,1140656216,242
243,4,108,1140656216,243
244,4,109,1140656217,244
245,3,109,1196377094,245
246,40,109,1345184622,246
247,41,109,1345649319,247
248,4,110,1140656217,248
249,4,111,1140656217,249
250,3,111,1192102971,250
251,3,111,1203950202,251
252,13,111,1472144094,252
253,15,112,1149105312,253
254,16,112,1150751644,254
255,16,112,1156518045,255
256,16,112,1160188805,256
257,16,112,1161531124,257
258,5,112,1163903170,258
259,15,113,1149105489,259
260,16,113,1150753144,260
261,16,113,1156518165,261
262,16,113,1162129971,262
263,16,113,1163228973,263
264,5,113,1163902514,264
265,15,114,1149105552,265
266,15,114,1149796570,266
267,15,114,1150242174,267
268,15,114,1150479243,268
269,15,115,1149105766,269
270,16,115,1150751514,270
271,16,115,1156518205,271
272,16,115,1157535031,272
273,16,115,1160225300,273
274,16,115,1161529962,274
275,6,115,1162485960,275
276,5,115,1163903198,276
277,15,116,1149105849,277
278,15,116,1149105895,278
279,15,117,1149105874,279
280,15,118,1149105966,280
281,16,118,1150751774,281
282,16,118,1156518054,282
283,16,118,1157534991,283
284,16,118,1160178325,284
285,16,118,1160919552,285
286,5,118,1163903144,286
287,15,119,1149110726,287
288,16,119,1150752992,288
289,16,119,1156518156,289
290,16,119,1160864795,290
291,16,119,1161516051,291
292,5,119,1163902547,292
293,15,120,1149110774,293
294,16,120,1150752872,294
295,16,120,1151152342,295
296,16,120,1156518195,296
297,16,120,1157535021,297
298,16,120,1161519055,298
299,16,120,1162238133,299
300,5,120,1163902574,300
301,15,121,1149110922,301
302,16,121,1150752189,302
303,16,121,1156518095,303
304,16,121,1160904677,304
305,16,121,1161524285,305
306,16,121,1162522714,306
307,5,121,1163902990,307
308,3,121,1192016792,308
309,15,122,1149179587,309
310,6,122,1162484766,310
311,6,122,1162484993,311
312,6,122,1162920009,312
313,5,122,1163902600,313
314,15,123,1149179631,314
315,16,123,1150752749,315
316,16,123,1156518145,316
317,16,123,1157535011,317
318,16,123,1159943990,318
319,16,123,1161518302,319
320,16,123,1162258055,320
321,5,123,1163902635,321
322,15,124,1149179694,322
323,16,124,1150752639,323
324,16,124,1156518135,324
325,16,124,1157535001,325
326,16,124,1160038879,326
327,16,124,1161403259,327
328,6,124,1162486703,328
329,5,124,1163902673,329
330,15,125,1149179754,330
331,16,125,1150752534,331
332,16,125,1156518125,332
333,16,125,1161520750,333
334,6,125,1162483353,334
335,5,125,1163902759,335
336,15,126,1149179946,336
337,15,126,1149714268,337
338,16,126,1150751968,338
339,16,126,1156518074,339
340,16,126,1161528891,340
341,6,126,1162485424,341
342,6,126,1162485614,342
343,16,126,1162550211,343
344,6,126,1163119918,344
345,5,126,1163903084,345
346,15,127,1149180012,346
347,16,127,1150751858,347
348,16,127,1156518064,348
349,16,127,1160913424,349
350,5,127,1163903110,350
351,3,127,1203951435,351
352,3,127,1203951511,352
353,15,128,1149180092,353
354,16,128,1150752058,354
355,16,128,1156518084,355
356,16,128,1160126153,356
357,16,128,1161523883,357
358,6,128,1162484448,358
359,6,128,1162484479,359
360,6,128,1162486364,360
361,16,128,1162528582,361
362,5,128,1163903034,362
363,5,128,1163903049,363
364,15,129,1149180176,364
365,16,129,1150752424,365
366,16,129,1156518115,366
367,6,129,1162483736,367
368,5,129,1163902835,368
369,15,130,1149180241,369
370,15,130,1149788162,370
371,16,130,1150751008,371
372,33,130,1169344418,372
373,3,130,1202488891,373
374,3,130,1202489031,374
375,3,130,1202489051,375
376,18,130,1227280908,376
377,18,130,1229556701,377
378,19,130,1288086167,378
379,21,130,1329602948,379
380,34,130,1348253827,380
381,34,130,1367858791,381
382,34,130,1434881670,382
383,23,130,1493237053,383
384,15,131,1149180258,384
385,15,131,1149180285,385
386,15,131,1149192816,386
387,6,131,1164145525,387
388,33,131,1169328103,388
389,15,132,1149180294,389
390,15,132,1149180349,390
391,15,132,1149180386,391
392,15,132,1149780784,392
393,33,132,1169325690,393
394,42,132,1440282453,394
395,15,133,1149180568,395
396,16,133,1150752309,396
397,16,133,1156518105,397
398,16,133,1160114708,398
399,16,133,1161519981,399
400,6,133,1162487130,400
401,6,133,1163257900,401
402,5,133,1163902910,402
403,16,133,1166581242,403
404,16,133,1167766971,404
405,16,133,1168774789,405
406,33,133,1169342011,406
407,18,133,1201212612,407
408,18,133,1205573514,408
409,16,133,1210702509,409
410,43,133,1214733020,410
411,18,133,1227107028,411
412,19,133,1235948560,412
413,19,133,1240088198,413
414,19,133,1242892540,414
415,19,133,1245261549,415
416,19,133,1256085106,416
417,19,133,1260494375,417
418,19,133,1261936937,418
419,19,133,1263064778,419
420,19,133,1280662723,420
421,19,133,1284113030,421
422,21,133,1293378787,422
423,22,133,1342314736,423
424,21,133,1386768595,424
425,34,133,1434114631,425
426,34,133,1435263638,426
427,34,133,1439726031,427
428,34,133,1446193181,428
429,34,133,1450304727,429
430,23,133,1466549484,430
431,37,133,1469941950,431
432,37,133,1474375320,432
433,23,133,1493236599,433
434,15,134,1149180622,434
435,6,134,1162486252,435
436,5,134,1163956681,436
437,15,135,1149180660,437
438,5,135,1163902808,438
439,15,136,1149192177,439
440,16,136,1150755217,440
441,5,136,1157893616,441
442,16,136,1167782991,442
443,33,136,1169328313,443
444,16,136,1169429818,444
445,16,136,1176314349,445
446,3,136,1194526681,446
447,3,136,1194526705,447
448,19,136,1235136204,448
449,19,136,1260564848,449
450,19,136,1268578159,450
451,19,136,1273495932,451
452,19,136,1274736144,452
453,19,136,1276567535,453
454,19,136,1287645391,454
455,19,136,1288089985,455
456,21,136,1295757574,456
457,44,136,1317232918,457
458,22,136,1322975588,458
459,21,136,1328556281,459
460,34,136,1348646485,460
461,34,136,1368420054,461
462,21,136,1387660752,462
463,45,136,1432786097,463
464,34,136,1434966231,464
465,23,136,1493237117,465
466,15,137,1149192294,466
467,15,137,1149192913,467
468,33,137,1169281276,468
469,15,138,1149192323,469
470,15,138,1149192910,470
471,15,139,1149192422,471
472,33,139,1169334095,472
473,19,139,1235725019,473
474,19,139,1236908545,474
475,19,139,1283361473,475
476,21,139,1297272452,476
477,22,139,1322975155,477
478,34,139,1358098587,478
479,21,139,1387587270,479
480,34,139,1445990737,480
481,36,139,1467112995,481
482,23,139,1493237119,482
483,15,140,1149192513,483
484,15,140,1149192568,484
485,16,140,1150755307,485
486,16,140,1156518898,486
487,5,140,1157894005,487
488,33,140,1169343772,488
489,19,140,1236813587,489
490,19,140,1244063713,490
491,19,140,1250284661,491
492,21,140,1295699963,492
493,22,140,1322973638,493
494,34,140,1348570037,494
495,34,140,1350570430,495
496,21,140,1387753562,496
497,35,140,1428506250,497
498,34,140,1451477279,498
499,36,140,1488495253,499
500,23,140,1493237088,500
501,15,141,1149204771,501
502,15,141,1149204784,502
503,5,141,1163894674,503
504,5,141,1163894731,504
505,5,141,1163894847,505
506,15,142,1149714235,506
507,15,142,1150231472,507
508,18,142,1229557236,508
509,21,142,1292804732,509
510,21,142,1295699923,510
511,22,142,1322970591,511
512,21,142,1325189339,512
513,34,142,1362377773,513
514,34,142,1365213387,514
515,21,142,1387749410,515
516,36,142,1467112556,516
517,23,142,1493237081,517
518,15,143,1149714286,518
519,33,143,1169321575,519
520,15,144,1149780752,520
521,16,144,1150755402,521
522,5,144,1157894558,522
523,16,144,1170429955,523
524,16,144,1180589776,524
525,43,144,1218044245,525
526,18,144,1229633043,526
527,18,144,1233262522,527
528,19,144,1236729842,528
529,19,144,1250230789,529
530,19,144,1256271025,530
531,19,144,1273793845,531
532,21,144,1295761124,532
533,22,144,1322975918,533
534,21,144,1324995629,534
535,34,144,1352377230,535
536,34,144,1356460891,536
537,34,144,1357280025,537
538,21,144,1387755045,538
539,35,144,1428513741,539
540,46,144,1440715739,540
541,31,144,1446102077,541
542,34,144,1447529750,542
543,47,144,1448014253,543
544,37,144,1473041489,544
545,36,144,1483924096,545
546,36,144,1488589443,546
547,37,144,1489473464,547
548,23,144,1493237112,548
549,15,145,1149780838,549
550,16,145,1168777726,550
551,19,145,1274104399,551
552,21,145,1295779144,552
553,22,145,1322973377,553
554,34,145,1348719108,554
555,21,145,1387753449,555
556,34,145,1445868375,556
