,u,i,ts,idx
0,1,4,1086460634,0
1,1,5,1086460634,1
2,1,6,1086460634,2
3,1,7,1086460634,3
4,1,8,1086460634,4
5,1,9,1086460634,5
6,1,10,1086460634,6
7,1,11,1086460634,7
8,1,12,1086460634,8
9,1,13,1086460634,9
10,1,14,1086460634,10
11,1,15,1086460634,11
12,1,16,1086460634,12
13,1,17,1086460634,13
14,1,18,1086460634,14
15,1,19,1086460634,15
16,1,20,1086460634,16
17,1,21,1086460634,17
18,1,22,1086460634,18
19,1,23,1086460634,19
20,1,24,1086460634,20
21,1,25,1086460634,21
22,1,26,1086460634,22
23,1,27,1086460634,23
24,1,28,1086460634,24
25,1,29,1086460634,25
26,1,30,1086460634,26
27,1,31,1086460634,27
28,1,32,1086460634,28
29,1,33,1086460634,29
30,1,34,1086460634,30
31,1,35,1086460634,31
32,1,36,1086460634,32
33,1,37,1086460634,33
34,1,38,1086460634,34
35,1,39,1086460634,35
36,1,40,1086460634,36
37,1,41,1086460634,37
38,1,42,1086460634,38
39,1,43,1086460634,39
40,1,44,1086460634,40
41,1,45,1086460634,41
42,1,46,1086460634,42
43,1,47,1086460634,43
44,1,48,1086460634,44
45,1,49,1086460634,45
46,1,50,1086460634,46
47,1,51,1086460634,47
48,1,52,1086460634,48
49,1,53,1086460634,49
50,1,54,1086460634,50
51,1,55,1086460634,51
52,1,56,1086460634,52
53,1,57,1086460634,53
54,1,58,1086460634,54
55,1,59,1086460634,55
56,1,60,1086460634,56
57,1,61,1086460634,57
58,1,62,1086460634,58
59,1,63,1086460634,59
60,1,64,1086460634,60
61,1,65,1086460634,61
62,1,66,1086460634,62
63,1,67,1086460634,63
64,1,68,1086460634,64
65,1,69,1086460634,65
66,1,70,1086460634,66
67,1,71,1086460634,67
68,1,72,1086460634,68
69,1,73,1086460634,69
70,1,74,1086460634,70
71,1,75,1086460634,71
72,1,76,1086460634,72
73,1,77,1086460634,73
74,1,78,1086460636,74
75,2,79,1114169396,75
76,2,79,1114187736,76
77,3,79,1429230620,77
78,3,79,1429309777,78
79,4,80,1135823004,79
80,4,81,1135823090,80
81,5,82,1136420657,81
82,5,82,1444074030,82
83,5,83,1136420735,83
84,6,84,1140656232,84
85,7,84,1154382551,85
86,8,84,1215382269,86
87,9,85,1154604326,87
88,10,85,1277174349,88
89,10,85,1277175817,89
90,11,86,1162123869,90
91,10,86,1225272772,91
92,12,87,1162392559,92
93,12,88,1166196549,93
94,13,88,1424808416,94
95,14,89,1186582217,95
96,14,90,1186583363,96
97,14,91,1186585870,97
98,14,91,1186585895,98
99,14,91,1186585971,99
100,14,91,1186586112,100
101,8,91,1223122983,101
102,15,92,1188370457,102
103,15,93,1188507621,103
104,13,93,1418730601,104
105,13,93,1419610717,105
106,13,93,1424199053,106
107,13,93,1424268051,107
108,13,93,1424768811,108
109,13,93,1425384347,109
110,13,93,1425670527,110
111,13,93,1425996025,111
112,13,93,1426165446,112
113,13,93,1428417170,113
114,13,93,1429207273,114
115,13,93,1431700576,115
116,13,93,1432578295,116
117,13,93,1433534356,117
118,13,93,1433538245,118
119,13,93,1439466990,119
120,13,93,1442220660,120
121,13,93,1444037201,121
122,13,93,1446208053,122
123,13,93,1466766765,123
124,13,93,1472640770,124
125,13,93,1486995499,125
126,13,93,1499086140,126
127,16,94,1191166801,127
128,16,95,1191168199,128
129,16,95,1191168206,129
130,10,96,1194173162,130
131,10,96,1329613727,131
132,15,97,1194616560,132
133,17,98,1194824970,133
134,17,98,1217590279,134
135,18,99,1195503591,135
136,18,99,1195503600,136
137,18,99,1195503685,137
138,18,99,1195503785,138
139,19,99,1198631906,139
140,19,99,1198631941,140
141,20,99,1221073959,141
142,21,99,1235090643,142
143,22,99,1269806764,143
144,23,99,1324307214,144
145,23,99,1326240601,145
146,24,99,1328977688,146
147,20,99,1338543887,147
148,23,99,1387665111,148
149,25,99,1439731641,149
150,25,99,1439732045,150
151,25,99,1439732148,151
152,25,99,1439732637,152
153,13,99,1493291406,153
154,18,100,1195670000,154
155,19,100,1198632038,155
156,26,100,1234218868,156
157,26,100,1234219536,157
158,22,100,1277674159,158
159,22,100,1277713939,159
160,23,100,1314309722,160
161,24,100,1328977452,161
162,25,100,1439685720,162
163,25,100,1439685823,163
164,13,100,1493291252,164
165,27,101,1197418277,165
166,28,101,1356415552,166
167,19,102,1198631962,167
168,21,102,1216217860,168
169,20,102,1221075657,169
170,22,102,1237147636,170
171,22,102,1266202560,171
172,23,102,1292681462,172
173,23,102,1307857514,173
174,23,102,1333210831,174
175,29,102,1347794030,175
176,29,102,1362799837,176
177,29,102,1367152768,177
178,23,102,1387661149,178
179,29,102,1433247540,179
180,25,102,1439692499,180
181,25,102,1439731045,181
182,29,102,1444464868,182
183,13,102,1493290993,183
184,30,103,1198367981,184
185,30,104,1198367989,185
186,19,105,1198631358,186
187,19,106,1198631379,187
188,31,107,1199659920,188
189,32,108,1201603624,189
190,32,109,1201603631,190
191,33,110,1137224669,191
192,33,110,1137425742,192
193,6,110,1140656232,193
194,7,110,1154382563,194
195,18,110,1195503841,195
196,18,110,1195503883,196
197,18,110,1195670013,197
198,15,110,1195764352,198
199,15,110,1196112498,199
200,15,110,1196165667,200
201,15,110,1196928280,201
202,15,110,1197012871,202
203,17,110,1197193926,203
204,15,110,1201636260,204
205,15,110,1201686082,205
206,15,110,1204845281,206
207,8,110,1206442874,207
208,17,110,1206442964,208
209,17,110,1220527033,209
210,17,110,1223761882,210
211,34,110,1224806426,211
212,34,110,1224806869,212
213,34,110,1224895978,213
214,34,110,1226685039,214
215,34,110,1226685541,215
216,34,110,1226687453,216
217,34,110,1235083564,217
218,34,110,1235084050,218
219,35,110,1246210720,219
220,35,110,1246210807,220
221,35,110,1246210906,221
222,34,110,1253142793,222
223,34,110,1253309019,223
224,35,110,1262972998,224
225,24,110,1263499135,225
226,24,110,1265293035,226
227,34,110,1266518957,227
228,34,110,1274310758,228
229,34,110,1274493394,229
230,34,110,1274494541,230
231,34,110,1274494772,231
232,34,110,1274900690,232
233,34,110,1274900822,233
234,36,110,1287605798,234
235,34,110,1292691805,235
236,24,110,1325124230,236
237,24,110,1327843755,237
238,24,110,1327859625,238
239,24,110,1328712310,239
240,37,110,1337597055,240
241,38,110,1344247580,241
242,25,110,1439662280,242
243,25,110,1439726383,243
244,25,110,1439726426,244
245,39,110,1451647549,245
246,40,111,1204596381,246
247,40,112,1204596388,247
248,16,113,1206382209,248
249,8,114,1206442940,249
250,26,114,1223058725,250
251,26,114,1223124677,251
252,41,115,1206609830,252
253,42,116,1212272570,253
254,43,117,1213748302,254
255,43,117,1213815781,255
256,43,117,1261738039,256
257,43,117,1293373002,257
258,43,117,1336427749,258
259,43,117,1372518541,259
260,43,118,1214154740,260
261,8,119,1215381986,261
262,8,120,1215381994,262
263,8,121,1215382042,263
264,26,121,1235170794,264
265,26,121,1235173586,265
266,26,121,1235686288,266
267,44,121,1236197019,267
268,44,121,1236197051,268
269,44,121,1236197080,269
270,45,121,1292598155,270
271,46,121,1293707253,271
272,47,121,1319728769,272
273,48,121,1320320057,273
274,49,121,1348930793,274
275,13,121,1448310024,275
276,13,121,1472205325,276
277,17,122,1220527337,277
278,26,122,1223658961,278
279,26,122,1223724102,279
280,17,122,1223761033,280
281,17,122,1223761899,281
282,26,122,1224003286,282
283,26,122,1224003405,283
284,50,122,1255525226,284
285,26,123,1220543952,285
286,26,124,1220544031,286
287,26,125,1220544821,287
288,26,125,1220544883,288
289,20,125,1221074487,289
290,22,125,1235315042,290
291,22,125,1260558783,291
292,22,125,1260991180,292
293,22,125,1282037437,293
294,23,125,1293662030,294
295,20,125,1323257768,295
296,29,125,1374764278,296
297,23,125,1387663005,297
298,51,125,1428508251,298
299,25,125,1439686202,299
300,52,125,1444186156,300
301,29,125,1450955386,301
302,13,125,1493291262,302
303,13,126,1343720146,303
304,51,126,1353235841,304
305,13,126,1411385024,305
306,13,126,1420546648,306
307,13,126,1421008709,307
308,13,126,1421659032,308
309,13,126,1422042201,309
310,13,126,1422385860,310
311,13,126,1432578253,311
312,13,126,1432803390,312
313,25,126,1439727596,313
314,13,126,1439813883,314
315,13,126,1439900376,315
316,13,126,1446629703,316
317,13,126,1467290170,317
318,13,126,1475408059,318
319,13,126,1499086161,319
320,26,127,1220544821,320
321,26,128,1223661307,321
322,25,129,1439653036,322
323,25,129,1439660069,323
324,25,129,1439660461,324
325,53,129,1458602156,325
326,25,130,1439652139,326
327,26,131,1223661280,327
328,24,131,1291064464,328
329,54,131,1411750567,329
330,25,131,1439651820,330
331,55,131,1490039230,331
332,13,132,1349098916,332
333,20,132,1359121870,333
334,20,132,1364493737,334
335,56,132,1368994898,335
336,13,132,1408017418,336
337,13,132,1415101955,337
338,13,132,1418717358,338
339,13,132,1421053859,339
340,13,132,1421495679,340
341,13,132,1424177574,341
342,13,132,1424282580,342
343,13,132,1425767648,343
344,13,132,1427971526,344
345,13,132,1428421235,345
346,13,132,1432933037,346
347,13,132,1435733017,347
348,13,132,1437484172,348
349,13,132,1439815058,349
350,13,132,1439901361,350
351,13,132,1466765101,351
352,13,132,1476178493,352
353,13,132,1499086152,353
354,25,133,1439661480,354
355,25,134,1439660997,355
356,25,135,1439660854,356
357,25,136,1439656892,357
358,25,136,1439660223,358
359,20,137,1221074314,359
360,22,137,1236086126,360
361,22,137,1254265901,361
