,u,i,ts,idx
0,1,1,1077421393,0
1,1,2,1077421393,1
2,1,3,1077421395,2
3,2,3,1230200120,3
4,1,4,1086460734,4
5,1,5,1086460734,5
6,1,6,1086460734,6
7,1,7,1086460734,7
8,1,8,1086460734,8
9,1,9,1086460734,9
10,1,10,1086460734,10
11,1,11,1086460734,11
12,1,12,1086460734,12
13,1,13,1086460734,13
14,1,14,1086460734,14
15,1,15,1086460734,15
16,1,16,1086460734,16
17,1,17,1086460734,17
18,1,18,1086460734,18
19,1,19,1086460734,19
20,1,20,1086460734,20
21,1,21,1086460734,21
22,1,22,1086460734,22
23,1,23,1086460734,23
24,1,24,1086460734,24
25,1,25,1086460734,25
26,1,26,1086460734,26
27,1,27,1086460734,27
28,1,28,1086460734,28
29,1,29,1086460734,29
30,1,30,1086460734,30
31,1,31,1086460734,31
32,1,32,1086460734,32
33,1,33,1086460734,33
34,1,34,1086460734,34
35,1,35,1086460734,35
36,1,36,1086460734,36
37,1,37,1086460734,37
38,1,38,1086460734,38
39,1,39,1086460734,39
40,1,40,1086460734,40
41,1,41,1086460734,41
42,1,42,1086460734,42
43,1,43,1086460734,43
44,1,44,1086460734,44
45,1,45,1086460734,45
46,1,46,1086460734,46
47,1,47,1086460734,47
48,1,48,1086460734,48
49,1,49,1086460734,49
50,1,50,1086460734,50
51,1,51,1086460734,51
52,1,52,1086460734,52
53,1,53,1086460734,53
54,1,54,1086460734,54
55,1,55,1086460734,55
56,1,56,1086460734,56
57,1,57,1086460734,57
58,1,58,1086460734,58
59,1,59,1086460734,59
60,1,60,1086460734,60
61,1,61,1086460734,61
62,1,62,1086460734,62
63,1,63,1086460734,63
64,1,64,1086460734,64
65,1,65,1086460734,65
66,1,66,1086460734,66
67,1,67,1086460734,67
68,1,68,1086460734,68
69,1,69,1086460734,69
70,1,70,1086460734,70
71,1,71,1086460734,71
72,1,72,1086460734,72
73,1,73,1086460734,73
74,1,74,1086460734,74
75,1,75,1086460734,75
76,1,76,1086460734,76
77,1,77,1086460734,77
78,1,78,1086460799,78
79,3,79,1114209697,79
80,4,79,1429230953,80
81,5,80,1140656331,81
82,6,80,1150970430,82
83,7,80,1153321679,83
84,8,80,1154385898,84
85,8,80,1154385924,85
86,6,80,1156526477,86
87,6,80,1157487836,87
88,6,80,1160168601,88
89,9,80,1160930712,89
90,9,80,1160932178,90
91,9,80,1160939131,91
92,9,80,1160939204,92
93,6,80,1167820567,93
94,6,80,1168349788,94
95,6,80,1170532630,95
96,6,80,1175191485,96
97,10,80,1216679328,97
98,11,80,1221035430,98
99,12,80,1235120038,99
100,13,80,1292616347,100
101,13,80,1307186739,101
102,14,80,1331643873,102
103,15,80,1333790561,103
104,16,80,1344247799,104
105,17,80,1448030477,105
106,18,80,1467114136,106
107,19,80,1469948184,107
108,19,80,1480819319,108
109,20,80,1493236444,109
110,21,81,1132091479,110
111,21,81,1132091529,111
112,5,81,1140656331,112
113,6,81,1150970393,113
114,9,81,1160927876,114
115,9,81,1161005578,115
116,9,81,1161029269,116
117,9,81,1161099250,117
118,9,81,1161464014,118
119,9,81,1162399099,119
120,22,81,1322968848,120
121,13,81,1387754082,121
122,20,81,1425564080,122
123,20,81,1493236495,123
124,21,82,1132091867,124
125,9,82,1160929212,125
126,9,82,1160929320,126
127,9,82,1160929371,127
128,9,82,1160929768,128
129,9,82,1161011346,129
130,9,82,1161028314,130
131,23,83,1133570401,131
132,20,83,1424808312,132
133,24,83,1425580391,133
134,5,84,1140656331,134
135,6,84,1150970646,135
136,6,84,1156527282,136
137,6,84,1160821652,137
138,9,84,1160855718,138
139,6,84,1161337163,139
140,6,84,1164581610,140
141,6,84,1167765335,141
142,6,84,1171183507,142
143,6,84,1176892557,143
144,6,84,1179123927,144
145,11,84,1202729308,145
146,11,84,1205010303,146
147,10,84,1216579767,147
148,11,84,1231408852,148
149,12,84,1237200793,149
150,12,84,1242720115,150
151,12,84,1246937492,151
152,12,84,1249960216,152
153,12,84,1251004620,153
154,12,84,1255784211,154
155,12,84,1263255897,155
156,12,84,1264464304,156
157,12,84,1267439861,157
158,12,84,1274012414,158
159,12,84,1278802532,159
160,12,84,1285297148,160
161,12,84,1287569485,161
162,13,84,1292687333,162
163,13,84,1304041533,163
164,25,84,1321156242,164
165,22,84,1322975290,165
166,13,84,1324404661,166
167,25,84,1336309477,167
168,22,84,1338021082,168
169,17,84,1376146836,169
170,13,84,1386699274,170
171,17,84,1421051359,171
172,17,84,1435018603,172
173,26,84,1443280326,173
174,17,84,1449431272,174
175,20,84,1459502995,175
176,20,84,1464946780,176
177,18,84,1467115524,177
178,19,84,1473231612,178
179,20,84,1493236517,179
180,27,85,1135658369,180
181,27,85,1136525546,181
182,23,85,1136578935,182
183,27,85,1137425590,183
184,27,85,1137574689,184
185,28,86,1135822992,185
186,28,87,1135823105,186
187,23,88,1135880151,187
188,23,88,1135880870,188
189,29,89,1136420643,189
190,29,89,1443447511,190
191,29,90,1136420708,191
192,30,91,1137764714,192
193,5,92,1140656331,193
194,5,93,1140656331,194
195,31,94,1150970353,195
196,32,95,1151850285,196
197,33,95,1277174354,197
198,33,95,1277175820,198
199,7,97,1153096691,199
200,6,97,1156526090,200
201,12,97,1275963556,201
202,13,97,1324506748,202
203,13,97,1324535616,203
204,13,97,1387745711,204
205,20,97,1493236448,205
206,7,98,1153327341,206
207,34,98,1154511475,207
208,35,98,1454455782,208
209,34,99,1153317398,209
210,7,99,1153324257,210
211,34,99,1154549608,211
212,6,99,1211749708,212
213,12,99,1275959418,213
214,13,99,1294497310,214
215,13,99,1387741629,215
216,20,99,1493236445,216
217,6,100,1156526212,217
218,11,100,1201183638,218
219,12,100,1275959438,219
220,13,100,1295044513,220
221,13,100,1295091285,221
222,13,100,1387741738,222
223,20,100,1493236439,223
224,6,101,1156526061,224
225,12,101,1275964566,225
226,13,101,1387745708,226
227,20,101,1493236449,227
228,34,102,1153317652,228
229,7,102,1153323628,229
230,34,102,1154550277,230
231,6,102,1156526181,231
232,7,103,1153323562,232
233,34,103,1154549941,233
234,6,105,1156527172,234
235,12,105,1260564740,235
236,12,105,1273486006,236
237,13,105,1387754079,237
238,17,105,1446871315,238
239,18,105,1467115121,239
240,18,105,1480661765,240
241,20,105,1493236495,241
242,7,106,1153095796,242
243,34,106,1154511113,243
244,9,106,1167567492,244
245,20,106,1425564084,245
246,17,106,1438170813,246
247,20,106,1493236472,247
248,7,109,1153095924,248
249,7,110,1153095893,249
250,6,110,1156527252,250
251,6,110,1171885729,251
252,6,110,1182511195,252
253,10,110,1217265382,253
254,12,110,1243153333,254
255,12,110,1248233893,255
256,12,110,1250441070,256
257,17,110,1348172589,257
258,17,110,1351418291,258
259,17,110,1358301728,259
260,17,110,1367767505,260
261,17,110,1370239238,261
262,17,110,1435469797,262
263,26,110,1437637501,263
264,20,110,1493236473,264
265,7,111,1153096159,265
266,7,112,1153096358,266
267,7,113,1153096421,267
268,7,114,1153096723,268
269,7,115,1153096775,269
270,6,115,1156526252,270
271,6,115,1161261473,271
272,6,115,1164574110,272
273,6,115,1179480389,273
274,6,115,1180449340,274
275,6,115,1209938042,275
276,10,115,1215705728,276
277,10,115,1222703015,277
278,12,115,1240302758,278
279,12,115,1240646283,279
280,12,115,1245830438,280
281,12,115,1247591149,281
282,12,115,1248130963,282
283,12,115,1249016347,283
284,12,115,1249257046,284
285,12,115,1282832213,285
286,22,115,1322962568,286
287,22,115,1330172625,287
288,13,115,1340472369,288
289,22,115,1358255517,289
290,13,115,1387741839,290
291,17,115,1436782938,291
292,17,115,1462161362,292
293,18,115,1467114212,293
294,19,115,1485322244,294
295,20,115,1493236435,295
296,7,116,1153096793,296
297,7,117,1153096947,297
298,7,118,1153097343,298
299,7,118,1153323943,299
300,7,118,1154465530,300
301,34,118,1154476631,301
302,34,118,1154476969,302
303,34,118,1154477100,303
304,6,118,1156527132,304
305,7,119,1153097389,305
306,7,119,1153097402,306
307,7,119,1153097509,307
308,7,119,1153097539,308
309,7,119,1153307691,309
310,7,119,1153307720,310
311,7,119,1153307732,311
312,34,119,1153317450,312
313,34,119,1153317613,313
314,34,119,1154550373,314
315,6,119,1156526070,315
316,7,120,1153097611,316
317,7,120,1153321711,317
318,22,120,1322962088,318
319,13,120,1387741671,319
320,20,120,1493236440,320
321,7,121,1153097706,321
322,7,121,1153097719,322
323,11,121,1351761206,323
324,20,121,1493236449,324
325,7,122,1153097815,325
326,7,123,1153097927,326
327,35,123,1454454733,327
328,7,124,1153098203,328
329,12,124,1236245444,329
330,20,124,1493236462,330
331,7,125,1153098304,331
332,7,125,1153098749,332
333,6,125,1156526151,333
334,6,125,1211723616,334
335,12,125,1248304057,335
336,12,125,1259436817,336
337,12,125,1275959409,337
338,13,125,1292684824,338
339,22,125,1358859059,339
340,13,125,1387741653,340
341,17,125,1434200308,341
342,20,125,1493236444,342
343,7,126,1153098389,343
344,34,126,1153317960,344
345,34,126,1153317982,345
346,7,126,1153327095,346
347,34,126,1154550316,347
348,6,126,1156526192,348
349,7,127,1153098511,349
350,7,127,1153098531,350
351,7,128,1153098789,351
352,7,129,1153098892,352
353,7,130,1153098988,353
354,34,130,1154549215,354
355,6,130,1156526353,355
356,13,130,1306880408,356
357,11,130,1363952086,357
358,17,130,1436798751,358
359,20,130,1493236436,359
360,7,131,1153099070,360
361,34,131,1154549535,361
362,7,132,1153099174,362
363,34,132,1154510243,363
364,7,133,1153099199,364
365,7,133,1153099221,365
366,7,134,1153307799,366
367,7,135,1153307874,367
368,7,136,1153308472,368
369,7,137,1153308872,369
