,u,i,ts,idx
0,1,1,1345531623,0
1,2,1,1360196608,1
2,2,1,1360199202,2
3,3,2,1360192243,3
4,2,3,1360192372,4
5,2,3,1360196597,5
6,4,4,1360192738,6
7,5,5,1351505551,7
8,5,5,1351505615,8
9,5,5,1355808705,9
10,2,5,1360193439,10
11,5,5,1447397580,11
12,6,5,1447659076,12
13,5,5,1448372904,13
14,5,6,1352791190,14
15,5,6,1352791563,15
16,5,6,1355809989,16
17,2,6,1360193440,17
18,6,6,1447398605,18
19,6,6,1447398680,19
20,7,7,1311073631,20
21,7,7,1311073650,21
22,2,7,1360193440,22
23,7,8,1311073181,23
24,7,8,1311073526,24
25,7,8,1311073560,25
26,7,8,1311073608,26
27,7,8,1311073631,27
28,7,8,1311347252,28
29,2,8,1360193440,29
30,5,9,1346844530,30
31,5,9,1348467232,31
32,5,9,1348467253,32
33,5,9,1348807156,33
34,5,9,1355391269,34
35,2,9,1360193440,35
36,5,10,1352202566,36
37,5,10,1352202773,37
38,5,10,1352202794,38
39,5,10,1355806739,39
40,2,10,1360193440,40
41,6,10,1447398950,41
42,6,10,1447399167,42
43,5,11,1346843820,43
44,5,11,1347855155,44
45,5,11,1347855176,45
46,5,11,1348807700,46
47,5,11,1355390982,47
48,2,11,1360193441,48
49,5,12,1354084859,49
50,5,12,1354084904,50
51,5,12,1354084916,51
52,5,12,1355486812,52
53,2,12,1360193441,53
54,6,12,1447399620,54
55,6,12,1456386373,55
56,6,12,1456386422,56
57,6,12,1456388488,57
58,5,12,1456754356,58
59,5,13,1357807292,59
60,5,13,1357807321,60
61,2,13,1360193441,61
62,5,14,1357273043,62
63,5,14,1357273095,63
64,2,14,1360193441,64
65,5,15,1358503317,65
66,5,15,1358503357,66
67,2,15,1360193441,67
68,5,16,1358743448,68
69,5,16,1358743935,69
70,5,16,1358743963,70
71,5,16,1358758940,71
72,2,16,1360193441,72
73,5,17,1354363113,73
74,5,17,1354363238,74
75,5,17,1354605041,75
76,5,17,1354605092,76
77,2,17,1360193441,77
78,5,18,1351251018,78
79,2,18,1360193442,79
80,5,19,1358330591,80
81,5,19,1358330619,81
82,2,19,1360193442,82
83,5,20,1357904288,83
84,5,20,1357904319,84
85,2,20,1360193442,85
86,5,21,1357728785,86
87,5,21,1357728808,87
88,5,21,1357728838,88
89,2,21,1360193442,89
90,5,22,1357542535,90
91,5,22,1357542557,91
92,2,22,1360193442,92
93,5,23,1359633300,93
94,5,23,1359633345,94
95,2,23,1360193442,95
96,5,24,1359957004,96
97,5,24,1359957048,97
98,2,24,1360193442,98
99,5,25,1357879333,99
100,5,25,1357879365,100
101,2,25,1360193442,101
102,7,26,1311074220,102
103,2,26,1360193442,103
104,7,27,1311074122,104
105,7,27,1311074172,105
106,7,27,1311347327,106
107,2,27,1360193443,107
108,5,28,1358326515,108
109,5,28,1358326549,109
110,2,28,1360193443,110
111,5,29,1346842817,111
112,5,29,1347509275,112
113,5,29,1347509301,113
114,5,29,1348807726,114
115,5,29,1350901838,115
116,2,29,1360193443,116
117,7,30,1311078644,117
118,7,30,1311078680,118
119,2,30,1360193443,119
120,5,31,1351508984,120
121,5,31,1351509014,121
122,5,31,1355806331,122
123,2,31,1360193443,123
124,6,31,1456378445,124
125,5,32,1355831122,125
126,5,32,1355831145,126
127,5,32,1357191332,127
128,2,32,1360193444,128
129,5,33,1357900340,129
130,5,33,1357900376,130
131,2,33,1360193444,131
132,5,34,1355294811,132
133,5,34,1355294854,133
134,5,34,1355294875,134
135,5,34,1355831742,135
136,5,34,1357190611,136
137,2,34,1360193444,137
138,5,35,1359634170,138
139,5,35,1359634198,139
140,2,35,1360193444,140
141,5,36,1354364008,141
142,5,36,1354364026,142
143,2,36,1360194242,143
144,5,37,1350018099,144
145,5,37,1350018129,145
146,5,37,1355391973,146
147,2,37,1360194242,147
148,5,38,1351251060,148
149,2,38,1360194242,149
150,5,39,1354190501,150
151,5,39,1354190529,151
152,5,39,1355484103,152
153,2,39,1360194242,153
154,8,39,1363012825,154
155,9,39,1412041411,155
156,9,39,1412042737,156
157,5,39,1412777524,157
158,6,39,1447662543,158
159,5,39,1455084667,159
160,5,40,1358493810,160
161,5,40,1358493832,161
162,2,40,1360194242,162
163,5,41,1352463491,163
164,5,41,1352463572,164
165,5,41,1355809087,165
166,2,41,1360194243,166
167,6,41,1447662842,167
168,7,42,1311079281,168
169,7,42,1311079302,169
170,7,42,1311079455,170
171,7,42,1311079479,171
172,7,42,1311080869,172
173,7,42,1311081536,173
174,7,42,1311081708,174
175,7,42,1311082464,175
176,2,42,1360194243,176
177,5,43,1353747955,177
178,5,43,1353747985,178
179,5,43,1355807119,179
180,2,43,1360194243,180
181,6,43,1447663110,181
182,5,44,1346844689,182
183,5,44,1348567438,183
184,5,44,1348634123,184
185,5,44,1348807178,185
186,5,44,1355391325,186
187,2,44,1360194244,187
188,5,45,1346844304,188
189,5,45,1348288362,189
190,5,45,1348288385,190
191,5,45,1348807752,191
192,5,45,1355391214,192
193,2,45,1360194244,193
194,5,46,1351660072,194
195,5,46,1351660090,195
