,u,i,ts,idx
0,1,1,1075380809,0
1,1,2,1075380809,1
2,1,3,1077421431,2
3,1,4,1086461054,3
4,1,5,1086461054,4
5,1,6,1086461054,5
6,1,7,1086461054,6
7,1,8,1086461054,7
8,1,9,1086461054,8
9,1,10,1086461054,9
10,1,11,1086461054,10
11,1,12,1086461054,11
12,1,13,1086461054,12
13,1,14,1086461054,13
14,1,15,1086461054,14
15,1,16,1086461054,15
16,1,17,1086461054,16
17,1,18,1086461054,17
18,1,19,1086461054,18
19,1,20,1086461054,19
20,1,21,1086461054,20
21,1,22,1086461054,21
22,1,23,1086461054,22
23,1,24,1086461054,23
24,1,25,1086461054,24
25,1,26,1086461054,25
26,1,27,1086461054,26
27,1,28,1086461054,27
28,1,29,1086461054,28
29,1,30,1086461054,29
30,1,31,1086461054,30
31,1,32,1086461054,31
32,1,33,1086461054,32
33,1,34,1086461054,33
34,1,35,1086461054,34
35,1,36,1086461054,35
36,1,37,1086461054,36
37,1,38,1086461054,37
38,1,39,1086461054,38
39,1,40,1086461054,39
40,1,41,1086461054,40
41,1,42,1086461054,41
42,1,43,1086461054,42
43,1,44,1086461054,43
44,1,45,1086461054,44
45,1,46,1086461054,45
46,1,47,1086461054,46
47,1,48,1086461054,47
48,1,49,1086461054,48
49,1,50,1086461054,49
50,1,51,1086461054,50
51,1,52,1086461054,51
52,1,53,1086461054,52
53,1,54,1086461054,53
54,1,55,1086461054,54
55,1,56,1086461054,55
56,1,57,1086461054,56
57,1,58,1086461054,57
58,1,59,1086461054,58
59,1,60,1086461054,59
60,1,61,1086461054,60
61,1,62,1086461054,61
62,1,63,1086461054,62
63,1,64,1086461054,63
64,1,65,1086461054,64
65,1,66,1086461054,65
66,1,67,1086461054,66
67,1,68,1086461054,67
68,1,69,1086461054,68
69,1,70,1086461054,69
70,1,71,1086461054,70
71,1,72,1086461054,71
72,1,73,1086461054,72
73,1,74,1086461054,73
74,1,75,1086461054,74
75,1,76,1086461054,75
76,1,77,1086461054,76
77,1,78,1086461134,77
78,2,79,1114209720,78
79,3,79,1429231133,79
80,4,80,1135824154,80
81,4,81,1135824237,81
82,5,82,1135993131,82
83,5,83,1135993156,83
84,5,83,1135993138,84
85,6,84,1442643793,85
86,6,84,1136420626,86
87,6,85,1136420698,87
88,7,86,1256155672,88
89,8,86,1140656366,89
90,9,86,1173758597,90
91,10,86,1221035410,91
92,11,86,1216679215,92
93,12,86,1154384947,93
94,6,86,1136421248,94
95,13,87,1137764847,95
96,14,88,1277175839,96
97,15,88,1151850316,97
98,14,88,1277174361,98
99,16,89,1331644743,99
100,17,89,1318359210,100
101,12,89,1154384947,101
102,18,90,1160828926,102
103,18,91,1160828959,103
104,14,92,1225272803,104
105,19,92,1162124422,105
106,9,93,1172577332,106
