,u,i,ts,idx
0,1,1,1075385214,0
1,1,2,1075385214,1
2,1,3,1077421443,2
3,1,4,1086461231,3
4,1,5,1086461231,4
5,1,6,1086461231,5
6,1,7,1086461231,6
7,1,8,1086461231,7
8,1,9,1086461231,8
9,1,10,1086461231,9
10,1,11,1086461231,10
11,1,12,1086461231,11
12,1,13,1086461231,12
13,1,14,1086461231,13
14,1,15,1086461231,14
15,1,16,1086461231,15
16,1,17,1086461231,16
17,1,18,1086461231,17
18,1,19,1086461231,18
19,1,20,1086461231,19
20,1,21,1086461231,20
21,1,22,1086461231,21
22,1,23,1086461231,22
23,1,24,1086461231,23
24,1,25,1086461231,24
25,1,26,1086461231,25
26,1,27,1086461231,26
27,1,28,1086461231,27
28,1,29,1086461231,28
29,1,30,1086461231,29
30,1,31,1086461231,30
31,1,32,1086461231,31
32,1,33,1086461231,32
33,1,34,1086461231,33
34,1,35,1086461231,34
35,1,36,1086461231,35
36,1,37,1086461231,36
37,1,38,1086461231,37
38,1,39,1086461231,38
39,1,40,1086461231,39
40,1,41,1086461231,40
41,1,42,1086461231,41
42,1,43,1086461231,42
43,1,44,1086461231,43
44,1,45,1086461231,44
45,1,46,1086461231,45
46,1,47,1086461231,46
47,1,48,1086461231,47
48,1,49,1086461231,48
49,1,50,1086461231,49
50,1,51,1086461231,50
51,1,52,1086461231,51
52,1,53,1086461231,52
53,1,54,1086461231,53
54,1,55,1086461231,54
55,1,56,1086461231,55
56,1,57,1086461231,56
57,1,58,1086461231,57
58,1,59,1086461231,58
59,1,60,1086461231,59
60,1,61,1086461231,60
61,1,62,1086461231,61
62,1,63,1086461231,62
63,1,64,1086461231,63
64,1,65,1086461231,64
65,1,66,1086461231,65
66,1,67,1086461231,66
67,1,68,1086461231,67
68,1,69,1086461231,68
69,1,70,1086461231,69
70,1,71,1086461231,70
71,1,72,1086461231,71
72,1,73,1086461231,72
73,1,74,1086461231,73
74,1,75,1086461231,74
75,1,76,1086461231,75
76,1,77,1086461231,76
77,1,78,1086461303,77
78,2,80,1114169911,78
79,2,80,1114187802,79
80,3,80,1429231301,80
81,4,81,1135824143,81
82,4,82,1135824249,82
83,5,83,1136420610,83
84,5,83,1441876091,84
85,5,83,1442981757,85
86,6,83,1444392418,86
87,5,84,1136420688,87
88,7,85,1137764921,88
89,8,86,1140656387,89
90,9,86,1154385337,90
91,10,86,1158047496,91
92,10,86,1158048469,92
93,10,86,1158048592,93
94,10,86,1158048957,94
95,11,86,1163669848,95
96,11,86,1163669919,96
97,11,86,1163669975,97
98,11,86,1163670145,98
99,11,86,1163670692,99
100,11,86,1163671102,100
101,11,86,1163671202,101
102,12,86,1163690141,102
103,12,86,1163692321,103
104,12,86,1163692448,104
105,12,86,1163692676,105
106,11,86,1163752176,106
107,11,86,1163752215,107
108,11,86,1163752250,108
109,11,86,1163752343,109
110,11,86,1163752386,110
111,11,86,1163752436,111
112,11,86,1163752475,112
113,11,86,1163752503,113
114,11,86,1163752557,114
115,11,86,1163752586,115
116,11,86,1163752763,116
117,11,86,1163752835,117
118,13,86,1211711844,118
119,14,86,1217441129,119
120,15,86,1217448373,120
121,14,86,1218750491,121
122,14,86,1218750513,122
123,14,86,1218750847,123
124,16,86,1218874783,124
125,16,86,1218874952,125
126,16,86,1218875021,126
127,16,86,1218875758,127
128,16,86,1218875933,128
129,16,86,1218876109,129
130,16,86,1218876719,130
131,16,86,1218876880,131
132,16,86,1218877053,132
133,16,86,1218877425,133
134,16,86,1218877890,134
135,16,86,1218878384,135
136,16,86,1218880136,136
137,16,86,1218880350,137
138,16,86,1218880666,138
139,16,86,1218881054,139
140,16,86,1218881415,140
141,16,86,1218882229,141
142,16,86,1218882566,142
143,14,86,1218890026,143
144,17,86,1229827981,144
145,18,86,1271210498,145
146,19,86,1271701219,146
147,19,86,1273029493,147
