,u,i,ts,idx
0,1,1,1075380902,0
1,1,2,1075380902,1
2,1,3,1077421480,2
3,1,4,1086461775,3
4,1,5,1086461775,4
5,1,6,1086461775,5
6,1,7,1086461775,6
7,1,8,1086461775,7
8,1,9,1086461775,8
9,1,10,1086461775,9
10,1,11,1086461775,10
11,1,12,1086461775,11
12,1,13,1086461775,12
13,1,14,1086461775,13
14,1,15,1086461775,14
15,1,16,1086461775,15
16,1,17,1086461775,16
17,1,18,1086461775,17
18,1,19,1086461775,18
19,1,20,1086461775,19
20,1,21,1086461775,20
21,1,22,1086461775,21
22,1,23,1086461775,22
23,1,24,1086461775,23
24,1,25,1086461775,24
25,1,26,1086461775,25
26,1,27,1086461775,26
27,1,28,1086461775,27
28,1,29,1086461775,28
29,1,30,1086461775,29
30,1,31,1086461775,30
31,1,32,1086461775,31
32,1,33,1086461775,32
33,1,34,1086461775,33
34,1,35,1086461775,34
35,1,36,1086461775,35
36,1,37,1086461775,36
37,1,38,1086461775,37
38,1,39,1086461775,38
39,1,40,1086461775,39
40,1,41,1086461775,40
41,1,42,1086461775,41
42,1,43,1086461775,42
43,1,44,1086461775,43
44,1,45,1086461775,44
45,1,46,1086461775,45
46,1,47,1086461775,46
47,1,48,1086461775,47
48,1,49,1086461775,48
49,1,50,1086461775,49
50,1,51,1086461775,50
51,1,52,1086461775,51
52,1,53,1086461775,52
53,1,54,1086461775,53
54,1,55,1086461775,54
55,1,56,1086461775,55
56,1,57,1086461775,56
57,1,58,1086461775,57
58,1,59,1086461775,58
59,1,60,1086461775,59
60,1,61,1086461775,60
61,1,62,1086461775,61
62,1,63,1086461775,62
63,1,64,1086461775,63
64,1,65,1086461775,64
65,1,66,1086461775,65
66,1,67,1086461775,66
67,1,68,1086461775,67
68,1,69,1086461775,68
69,1,70,1086461775,69
70,1,71,1086461775,70
71,1,72,1086461775,71
72,1,73,1086461775,72
73,1,74,1086461775,73
74,1,75,1086461775,74
75,1,76,1086461775,75
76,1,77,1086461775,76
77,1,78,1086461850,77
78,2,79,1114209751,78
79,3,79,1429231595,79
80,4,80,1135903281,80
81,4,80,1210275646,81
82,4,81,1135903388,82
83,4,81,1210275671,83
