,u,i,ts,idx
0,1,1,1104071556,0
1,1,2,1104071673,1
2,1,2,1104072014,2
3,1,2,1104072416,3
4,1,2,1104073559,4
5,1,2,1112612495,5
6,1,2,1112613122,6
7,1,2,1112614267,7
8,2,2,1122593476,8
9,3,2,1125103515,9
10,3,2,1125104360,10
11,3,2,1125104389,11
12,3,2,1125104515,12
13,3,2,1126830013,13
14,1,2,1135640309,14
15,3,2,1137363067,15
16,4,2,1138199456,16
17,4,2,1141508949,17
18,3,2,1159143228,18
19,4,2,1173310168,19
20,5,2,1176900986,20
21,5,2,1176985054,21
22,5,2,1177411576,22
23,5,2,1177411888,23
24,6,2,1184823362,24
25,6,2,1184824091,25
26,6,2,1184825750,26
27,6,2,1184825846,27
28,6,2,1184949709,28
29,7,2,1224891825,29
30,8,2,1234285977,30
31,4,2,1234291767,31
32,4,2,1234291778,32
33,9,2,1242665013,33
34,9,2,1242725968,34
35,9,2,1244700761,35
36,9,2,1244701073,36
37,9,2,1246354974,37
38,9,2,1246355027,38
39,9,2,1246355442,39
40,9,2,1246355580,40
41,10,2,1281981398,41
42,11,2,1397220767,42
43,12,2,1441051770,43
44,12,2,1441137061,44
45,13,3,1103266033,45
46,13,3,1103267545,46
47,13,3,1119698706,47
48,4,3,1125953655,48
49,13,4,1103266033,49
50,13,4,1103267546,50
51,13,4,1119698707,51
52,4,4,1125952603,52
53,12,4,1441306589,53
54,12,4,1441307919,54
55,13,5,1103266033,55
56,13,5,1103267546,56
57,13,5,1119698707,57
58,4,5,1125952604,58
59,12,5,1441306557,59
60,12,5,1441307921,60
61,13,6,1103266033,61
62,13,6,1103267547,62
63,13,6,1119698707,63
64,13,6,1131578203,64
65,3,6,1138583364,65
66,3,6,1138583504,66
67,3,6,1138583541,67
68,5,6,1178644030,68
69,5,6,1188644190,69
70,9,6,1246352791,70
71,9,6,1246825878,71
72,9,6,1246966362,72
73,14,6,1328963638,73
74,4,6,1398071504,74
75,13,7,1103266033,75
76,13,7,1103267547,76
77,13,7,1119698707,77
78,4,7,1134717852,78
79,4,7,1141508318,79
80,4,7,1141508617,80
81,4,7,1142112784,81
82,15,7,1150873901,82
83,4,7,1151600771,83
84,4,7,1154438051,84
85,4,7,1156848251,85
86,1,8,1104072552,86
87,1,8,1104075301,87
88,3,8,1126830071,88
89,3,8,1126830137,89
90,3,8,1126830198,90
91,16,8,1135607666,91
92,1,8,1135640185,92
93,3,8,1137363391,93
94,17,8,1401633024,94
95,12,8,1440769557,95
96,1,9,1104073176,96
97,12,9,1441286203,97
98,12,9,1441286397,98
99,1,10,1104074045,99
100,1,11,1104324775,100
101,1,11,1104351711,101
102,18,11,1112233911,102
103,2,11,1122591333,103
104,2,11,1122591436,104
105,2,11,1122591470,105
106,2,11,1125619659,106
107,16,11,1135086947,107
108,19,11,1176979613,108
109,20,11,1221255739,109
110,21,11,1246367065,110
111,9,11,1246367125,111
112,9,11,1246965575,112
113,22,11,1256505364,113
114,22,11,1256527439,114
115,22,11,1256633724,115
116,22,11,1279133172,116
117,22,11,1288785375,117
118,22,11,1291582842,118
119,23,11,1296314488,119
120,22,11,1300268526,120
121,24,11,1338193083,121
122,25,11,1343681955,122
123,26,11,1351439300,123
124,22,11,1370219785,124
125,27,11,1397428467,125
126,28,11,1441521415,126
127,1,12,1104347621,127
128,1,12,1104351596,128
129,2,12,1125619465,129
130,19,12,1176979724,130
131,6,12,1184679145,131
132,29,12,1196888269,132
133,22,12,1256808799,133
134,24,12,1269770490,134
135,24,12,1337280746,135
136,30,12,1343355290,136
137,31,12,1361012247,137
138,27,12,1397433134,138
139,28,12,1441521630,139
140,1,13,1104349054,140
141,3,13,1116861610,141
142,3,13,1125105642,142
143,3,13,1125105687,143
144,12,13,1440717443,144
145,1,14,1104352239,145
146,2,14,1125619516,146
147,7,14,1218801337,147
148,28,14,1441521640,148
149,1,15,1104358645,149
150,1,15,1104358720,150
151,1,15,1104358755,151
152,18,15,1112233599,152
153,2,15,1125619089,153
154,2,15,1125619215,154
155,3,15,1139111726,155
156,3,15,1139111783,156
157,3,15,1139111878,157
158,3,15,1139532218,158
159,3,15,1163689936,159
160,32,15,1169055275,160
161,19,15,1176979536,161
162,33,15,1176990561,162
163,33,15,1176990617,163
164,29,15,1196823621,164
165,29,15,1196823634,165
166,7,15,1219019973,166
167,20,15,1221256419,167
168,9,15,1246302242,168
169,9,15,1246520714,169
170,9,15,1246521324,170
171,9,15,1246521726,171
172,9,15,1246522877,172
173,9,15,1246526625,173
174,9,15,1246526798,174
175,34,15,1246555261,175
176,21,15,1249206586,176
177,24,15,1269770981,177
178,24,15,1271524447,178
179,23,15,1296316072,179
180,23,15,1302411347,180
181,23,15,1318971127,181
182,23,15,1323434476,182
183,26,15,1343425534,183
184,26,15,1357559526,184
185,24,15,1360363151,185
186,4,15,1366956654,186
187,35,15,1367763423,187
188,36,15,1385938308,188
189,37,15,1397375020,189
190,1,16,1104431258,190
191,1,16,1104431370,191
192,2,16,1125618439,192
193,2,16,1125619305,193
194,38,16,1138198292,194
195,32,16,1169055021,195
196,5,16,1176897363,196
197,7,16,1219513794,197
198,39,16,1243270860,198
199,40,16,1243271438,199
200,21,16,1246367054,200
201,9,16,1246367099,201
202,24,16,1269770793,202
203,22,16,1288789839,203
204,36,16,1323809602,204
205,36,16,1323937729,205
206,36,16,1323978594,206
207,36,16,1324393126,207
208,36,16,1324484720,208
209,36,16,1325706343,209
210,36,16,1326323868,210
211,36,16,1326323881,211
212,36,16,1327535278,212
213,36,16,1327756889,213
214,36,16,1327953291,214
215,36,16,1327953327,215
216,36,16,1327953533,216
217,36,16,1330089155,217
218,36,16,1330089553,218
219,36,16,1332976392,219
220,36,16,1333045170,220
221,36,16,1333132575,221
222,36,16,1333132684,222
223,36,16,1333739291,223
224,36,16,1334167850,224
225,36,16,1334420654,225
226,36,16,1334420776,226
227,36,16,1334597574,227
228,36,16,1334785147,228
229,36,16,1334962146,229
230,36,16,1335121601,230
231,36,16,1335297027,231
232,36,16,1335386585,232
233,36,16,1335726629,233
234,36,16,1336592687,234
235,36,16,1336669022,235
236,36,16,1337195377,236
237,36,16,1337195501,237
238,24,16,1337279991,238
239,24,16,1396194455,239
240,24,16,1403769326,240
241,28,16,1441521397,241
242,1,17,1104952003,242
243,1,17,1104980568,243
244,1,17,1104980728,244
245,1,17,1104980885,245
246,1,17,1104983160,246
247,16,17,1135086843,247
248,41,17,1144811416,248
249,41,17,1144811896,249
250,21,17,1246349291,250
251,9,17,1246965431,251
252,12,17,1441294213,252
253,12,17,1441294225,253
254,28,17,1441521393,254
255,1,18,1112613015,255
256,1,18,1112613936,256
257,1,18,1112614381,257
258,1,18,1114176026,258
259,2,18,1122724085,259
260,3,19,1113669903,260
261,3,19,1125105919,261
262,42,20,1121190409,262
263,42,20,1121190488,263
264,42,20,1121190626,264
265,5,20,1177420918,265
266,22,20,1256808776,266
267,28,20,1441521598,267
268,2,21,1122591749,268
269,2,21,1122591853,269
270,2,21,1122592033,270
271,2,21,1122592179,271
272,2,21,1122592276,272
273,2,21,1122592440,273
274,43,21,1127168758,274
275,3,21,1139532061,275
276,5,21,1177761557,276
277,20,21,1221259839,277
278,20,21,1223699348,278
279,21,21,1249207221,279
280,44,21,1265893946,280
281,22,21,1279163224,281
282,26,21,1335799351,282
283,30,21,1344651079,283
284,22,21,1379181922,284
285,24,21,1403785364,285
286,28,21,1441521737,286
287,2,22,1122592601,287
288,2,22,1122592886,288
289,2,22,1122593059,289
290,2,22,1122593107,290
291,16,22,1135094486,291
292,45,22,1165527823,292
293,19,22,1176979766,293
294,5,22,1176991715,294
295,5,22,1176991750,295
296,20,22,1220676343,296
297,44,22,1243683699,297
298,21,22,1246349327,298
299,22,22,1256467142,299
300,22,22,1256495087,300
301,22,22,1260226869,301
302,22,22,1279122259,302
303,22,22,1291581590,303
304,23,22,1300780139,304
305,25,22,1343512731,305
306,26,22,1348306302,306
307,46,22,1398270986,307
308,28,22,1441521697,308
309,2,23,1122593410,309
310,5,23,1176985034,310
311,47,23,1176985489,311
312,7,23,1218639669,312
313,2,24,1122593596,313
314,2,25,1122600760,314
315,2,25,1122601108,315
316,19,25,1176979671,316
317,20,25,1221254244,317
318,21,25,1249207187,318
319,22,25,1256614745,319
320,48,25,1259327878,320
321,26,25,1267819857,321
322,22,25,1288783452,322
323,49,25,1300548685,323
324,23,25,1300774269,324
325,50,25,1310342557,325
326,23,25,1314611281,326
327,22,25,1319946189,327
328,22,25,1330415809,328
329,51,25,1355799575,329
330,22,25,1370202458,330
331,27,25,1397437388,331
332,2,26,1122601867,332
333,16,26,1135095443,333
334,5,26,1176901308,334
335,19,26,1176979710,335
336,20,26,1221253536,336
337,21,26,1246366840,337
338,9,26,1246367434,338
339,22,26,1256631729,339
340,48,26,1263090492,340
341,22,26,1300294855,341
342,23,26,1300777189,342
343,23,26,1302420285,343
344,23,26,1314577920,344
345,22,26,1319856405,345
346,26,26,1335900312,346
347,52,26,1337944873,347
348,22,26,1359458633,348
349,37,26,1397410228,349
350,2,27,1122657925,350
351,2,27,1122657978,351
352,2,27,1122658069,352
353,2,27,1122658111,353
354,2,27,1122658385,354
355,2,27,1122658460,355
356,16,27,1135095665,356
357,3,27,1152228619,357
358,19,27,1176979694,358
359,19,27,1177067245,359
360,5,27,1177421198,360
361,20,27,1220651613,361
362,22,27,1229646811,362
363,44,27,1243687269,363
364,10,27,1246352412,364
365,22,27,1254219717,365
366,22,27,1256470683,366
367,22,27,1256488471,367
368,22,27,1256524999,368
369,22,27,1265048161,369
370,22,27,1279121178,370
371,22,27,1280991041,371
372,53,27,1298819003,372
373,23,27,1303859035,373
374,23,27,1323437425,374
375,54,27,1334638039,375
376,24,27,1349471673,376
377,27,27,1397432454,377
378,28,27,1441521617,378
379,2,28,1125619732,379
380,43,28,1127168573,380
381,16,28,1135087105,381
382,3,28,1155909713,382
383,3,28,1155910098,383
384,19,28,1176979759,384
385,5,28,1178883467,385
386,5,28,1178883495,386
387,55,28,1207536992,387
388,7,28,1215819549,388
389,7,28,1215819615,389
390,20,28,1220651946,390
391,9,28,1241985443,391
392,44,28,1243687478,392
393,56,28,1253875931,393
394,56,28,1253876170,394
395,22,28,1256467673,395
396,22,28,1256467950,396
397,22,28,1256491555,397
398,22,28,1256801682,398
399,22,28,1256803635,399
400,22,28,1256896664,400
401,22,28,1275797420,401
402,22,28,1297683631,402
403,22,28,1300268959,403
404,24,28,1338193151,404
405,57,28,1348687254,405
406,26,28,1351438614,406
407,31,28,1376038795,407
408,27,28,1397429439,408
409,28,28,1441521496,409
410,4,29,1124542218,410
411,4,29,1124542482,411
412,5,29,1176900550,412
413,5,29,1176900586,413
414,58,29,1218623370,414
415,59,29,1230157298,415
416,9,29,1244639559,416
417,9,29,1244639844,417
418,9,29,1244640980,418
419,10,29,1244665549,419
420,10,29,1244667062,420
421,10,29,1244667169,421
422,10,29,1244668192,422
423,10,29,1246309234,423
424,10,29,1246401983,424
425,10,29,1246402855,425
426,24,29,1290734002,426
427,60,29,1292322001,427
428,24,29,1357777866,428
429,60,29,1367601178,429
430,60,29,1367601178,430
431,60,29,1367601181,431
432,61,29,1394611867,432
433,62,29,1408991064,433
434,28,29,1440997429,434
435,28,29,1441345569,435
436,4,30,1124542455,436
437,4,30,1245178263,437
438,4,31,1125101600,438
439,16,31,1135093357,439
440,28,31,1441521499,440
441,3,32,1125103762,441
442,3,32,1125103853,442
