,u,i,ts,idx
0,1,1,1114209756,0
1,2,1,1429231813,1
2,3,2,1136422590,2
3,4,2,1140656680,3
4,5,2,1154388156,4
5,6,2,1171439516,5
6,7,2,1171547345,6
7,7,2,1171548798,7
8,7,2,1171551159,8
9,8,2,1184423574,9
10,9,2,1184525078,10
11,9,2,1184527425,11
12,9,2,1184618803,12
13,8,2,1184670158,13
14,8,2,1184670210,14
15,9,2,1184690255,15
16,9,2,1184953328,16
17,10,2,1185059043,17
18,10,2,1185059166,18
19,9,2,1185145912,19
20,9,2,1185220165,20
21,9,2,1185317684,21
22,9,2,1185396324,22
23,9,2,1185519624,23
24,9,2,1187364141,24
25,9,2,1187552110,25
26,9,2,1189286275,26
27,9,2,1189371824,27
28,9,2,1190590089,28
29,9,2,1193720185,29
30,9,2,1193951547,30
31,11,2,1195732121,31
32,8,2,1195741370,32
33,9,2,1197439237,33
34,9,2,1206364108,34
35,9,2,1206706018,35
36,9,2,1207882555,36
37,9,2,1208920109,37
38,9,2,1208922253,38
39,9,2,1211069538,39
40,9,2,1212412468,40
41,9,2,1231273387,41
42,12,2,1265820077,42
43,12,2,1265820150,43
44,12,2,1265820645,44
45,12,2,1266655276,45
46,12,2,1266655406,46
47,12,2,1266655741,47
48,12,2,1266655893,48
49,12,2,1266656083,49
50,12,2,1266656206,50
51,12,2,1266656418,51
52,12,2,1266656897,52
53,12,2,1266657141,53
54,12,2,1266657631,54
55,12,2,1266657813,55
56,12,2,1266658024,56
57,12,2,1266658259,57
58,12,2,1266658440,58
59,12,2,1266658573,59
60,12,2,1266658730,60
61,12,2,1266659544,61
62,12,2,1266659717,62
63,12,2,1266659966,63
64,12,2,1266660258,64
65,12,2,1266660640,65
66,12,2,1266849330,66
67,12,2,1267800081,67
68,12,2,1267800116,68
69,12,2,1267800229,69
70,12,2,1267803852,70
71,12,2,1268664956,71
72,12,2,1268665007,72
73,12,2,1268665053,73
74,12,2,1268665126,74
75,12,2,1268745012,75
76,12,2,1268745082,76
77,12,2,1269609499,77
78,12,2,1269609693,78
79,13,2,1337690973,79
80,14,3,1135904033,80
81,14,4,1135904163,81
82,3,5,1136421905,82
83,3,5,1443444837,83
84,3,6,1136421971,84
85,15,7,1137765250,85
86,16,8,1151850662,86
87,17,8,1277174380,87
88,17,8,1277175869,88
89,5,9,1154388156,89
90,9,9,1184519505,90
91,8,9,1185198347,91
92,9,9,1208920160,92
93,18,10,1162125118,93
94,17,10,1225272852,94
95,19,11,1162392703,95
96,19,12,1166196302,96
97,8,12,1178814926,97
98,8,12,1178814935,98
99,8,12,1178894695,99
100,8,12,1179322219,100
101,8,12,1179322227,101
102,9,12,1181173821,102
103,9,12,1181173987,103
104,8,12,1184423462,104
105,9,12,1184518272,105
106,8,12,1185275328,106
107,8,12,1185275369,107
108,8,12,1187356242,108
109,8,12,1187356522,109
110,9,12,1187364900,110
111,9,12,1201923421,111
112,9,12,1208923548,112
113,9,12,1208923620,113
114,20,12,1424808404,114
115,20,12,1428783788,115
116,6,13,1171439586,116
117,6,14,1171439602,117
118,7,15,1171548865,118
119,7,15,1171548886,119
120,9,15,1184691183,120
121,21,15,1185185738,121
122,10,15,1185212523,122
123,21,15,1185263562,123
124,9,15,1186644121,124
125,9,15,1189367206,125
126,9,15,1198274118,126
127,22,15,1212041953,127
128,9,15,1212412007,128
129,9,15,1212428028,129
130,7,16,1171548942,130
131,9,16,1184691109,131
132,9,16,1184697785,132
133,21,16,1185185813,133
134,8,16,1185191155,134
135,10,16,1185212569,135
136,21,16,1185263298,136
137,9,16,1186644069,137
138,9,16,1187287967,138
139,9,16,1189366735,139
140,23,16,1216677526,140
141,24,16,1319589333,141
142,25,16,1387747390,142
143,26,16,1467103031,143
144,20,16,1493236994,144
145,7,17,1171548963,145
146,9,17,1184691303,146
147,9,17,1184697980,147
148,21,17,1185185608,148
149,10,17,1185212457,149
150,21,17,1185263620,150
151,9,17,1186644209,151
152,9,17,1187288067,152
153,9,17,1189368937,153
154,20,17,1493237011,154
155,7,18,1171548999,155
156,9,18,1184690813,156
157,21,18,1185185565,157
158,21,18,1185185581,158
159,10,18,1185212602,159
160,21,18,1185263512,160
161,9,18,1186643910,161
162,9,18,1186643940,162
163,9,18,1189365603,163
164,27,18,1257345868,164
165,9,18,1257350565,165
166,25,18,1336093784,166
167,20,18,1493236990,167
168,7,19,1171549018,168
169,9,19,1184690983,169
170,9,19,1184697877,170
171,21,19,1185185771,171
172,9,19,1186644011,172
173,9,19,1187287882,173
174,9,19,1189366280,174
175,25,19,1336093783,175
176,28,19,1351437259,176
177,25,19,1387747428,177
178,26,19,1467103057,178
179,20,19,1493236990,179
180,7,20,1171549032,180
181,9,20,1184691393,181
182,9,20,1184695364,182
183,9,20,1184697081,183
184,21,20,1185185670,184
185,21,20,1185185676,185
186,10,20,1185212382,186
187,10,20,1185212676,187
188,21,20,1185263479,188
189,9,20,1186644268,189
190,9,20,1187288135,190
191,9,20,1189369297,191
192,23,20,1216677405,192
193,28,20,1221496345,193
194,25,20,1327091703,194
195,25,20,1334610595,195
196,29,20,1348705441,196
197,29,20,1368423326,197
198,20,20,1493237016,198
199,8,21,1184423523,199
200,9,21,1184519081,200
201,9,21,1201923645,201
202,20,21,1349097905,202
203,28,21,1359123133,203
204,20,21,1417592526,204
205,20,21,1418822420,205
206,20,21,1419610715,206
207,20,21,1424199047,207
208,20,21,1424267965,208
209,20,21,1424768786,209
210,20,21,1425384341,210
211,20,21,1425670520,211
212,20,21,1425996019,212
213,20,21,1426165437,213
214,20,21,1426676666,214
215,20,21,1428919887,215
216,20,21,1429168322,216
217,20,21,1429300030,217
218,20,21,1432021562,218
219,20,21,1432579322,219
