,u,i,ts,idx
0,1,1,1063859760,0
1,1,1,1073801136,1
2,2,1,1125263149,2
3,3,1,1134080964,3
4,4,1,1142901125,4
5,5,1,1145997945,5
6,6,1,1173277979,6
7,7,1,1197277847,7
8,7,1,1197277922,8
9,8,1,1212100626,9
10,9,1,1217032835,10
11,8,1,1218889081,11
12,8,1,1219791867,12
13,10,1,1270640601,13
14,11,1,1294085498,14
15,7,1,1346124422,15
16,12,1,1353860725,16
17,13,1,1359789722,17
18,14,1,1362673972,18
19,15,1,1362997632,19
20,16,1,1388336539,20
21,17,1,1418026534,21
22,17,1,1418026569,22
23,17,1,1418026948,23
24,5,1,1420172814,24
25,5,1,1420175170,25
26,5,1,1420176122,26
27,18,1,1433403754,27
28,18,1,1433404473,28
29,19,1,1438266478,29
30,1,2,1073801266,30
31,20,2,1136222014,31
32,21,3,1075041334,32
33,5,3,1145997993,33
34,22,4,1075388238,34
35,22,5,1075388238,35
36,22,6,1085761632,36
37,22,6,1086171799,37
38,22,6,1103781216,38
39,22,6,1119698722,39
40,23,6,1145889615,40
41,22,7,1085761632,41
42,22,7,1086171799,42
43,22,7,1103781224,43
44,22,7,1119698722,44
45,22,7,1122635540,45
46,23,7,1146225420,46
47,22,8,1085761632,47
48,22,8,1086171799,48
49,22,8,1103781221,49
50,22,8,1119698722,50
51,23,8,1145890227,51
52,22,9,1085761632,52
53,22,9,1086171799,53
54,22,9,1103781193,54
55,22,9,1119698721,55
56,23,9,1146222396,56
57,22,10,1085761632,57
58,22,10,1086171799,58
59,22,10,1103781194,59
60,22,10,1119698721,60
61,23,10,1146223269,61
62,22,11,1085761632,62
63,22,11,1086171799,63
64,22,11,1103781194,64
65,22,11,1119698721,65
66,23,11,1146223138,66
67,22,12,1085761632,67
68,22,12,1086171799,68
69,22,12,1103781193,69
70,22,12,1119698721,70
71,23,12,1146222470,71
72,22,13,1085761632,72
73,22,13,1086171799,73
74,22,13,1103781188,74
75,22,13,1119698721,75
76,23,13,1146221609,76
77,23,13,1146475314,77
78,4,14,1086111339,78
79,2,14,1124848640,79
80,4,14,1139380406,80
81,24,14,1145486517,81
82,25,14,1161041302,82
83,26,14,1166530040,83
84,26,14,1168275448,84
85,27,14,1169791598,85
86,27,14,1170295452,86
87,26,14,1172634330,87
88,28,14,1173424214,88
89,26,14,1173709546,89
90,26,14,1175022827,90
91,26,14,1178971627,91
92,26,14,1181102744,92
93,28,14,1181402163,93
94,29,14,1182873332,94
95,29,14,1186639860,95
96,30,14,1189100956,96
97,30,14,1189679734,97
98,31,14,1191315464,98
99,30,14,1191627434,99
100,30,14,1191674259,100
101,32,14,1192828584,101
102,30,14,1193328878,102
103,32,14,1193734148,103
104,32,14,1194248654,104
105,31,14,1194922314,105
106,31,14,1195259521,106
107,31,14,1199047561,107
108,33,14,1210874718,108
109,30,14,1212924632,109
110,25,14,1216467204,110
111,26,14,1219247571,111
112,31,14,1221342435,112
113,34,14,1227029611,113
114,35,14,1228913373,114
115,35,14,1230707383,115
116,34,14,1231767074,116
117,26,14,1232293379,117
118,36,14,1235850032,118
119,37,14,1236568856,119
120,38,14,1238885066,120
121,39,14,1240913727,121
122,40,14,1241209284,122
123,41,14,1241209300,123
124,42,14,1243349833,124
125,31,14,1244324885,125
126,42,14,1244426959,126
127,31,14,1246862229,127
128,43,14,1247493999,128
129,31,14,1247834321,129
130,31,14,1250139075,130
131,31,14,1250398329,131
132,31,14,1250466651,132
133,44,14,1250597578,133
134,45,14,1252681200,134
135,46,14,1253496151,135
136,47,14,1257757872,136
137,42,14,1259761635,137
138,34,14,1269249194,138
139,48,14,1269279391,139
140,48,14,1269297983,140
141,34,14,1270144233,141
142,31,14,1275456958,142
143,34,14,1275512237,143
144,42,14,1275922806,144
145,42,14,1280262230,145
146,26,14,1280753844,146
147,31,14,1282319682,147
148,31,14,1283911422,148
