,u,i,ts,idx
0,1,1,1075388238,0
1,1,1,1086462103,1
2,1,1,1103624981,2
3,1,1,1119698724,3
4,2,1,1156934674,4
5,1,2,1075388238,5
6,1,2,1086462121,6
7,1,2,1103624998,7
8,1,2,1119698725,8
9,2,2,1156923430,9
10,1,3,1075388238,10
11,1,3,1086462117,11
12,1,3,1103624995,12
13,1,3,1119698725,13
14,2,3,1156935148,14
15,1,4,1075388238,15
16,1,4,1086462110,16
17,1,4,1103624986,17
18,1,4,1119698724,18
19,2,4,1156935064,19
20,1,5,1075388238,20
21,1,5,1086462149,21
22,1,5,1103625015,22
23,1,5,1119698726,23
24,2,5,1156932229,24
25,1,6,1075388238,25
26,1,6,1086462136,26
27,1,6,1103625007,27
28,1,6,1119698725,28
29,2,6,1156930150,29
30,1,7,1075388238,30
31,1,7,1086462112,31
32,1,7,1103624991,32
33,1,7,1119698724,33
34,2,7,1156924110,34
35,2,7,1156930557,35
36,1,8,1075388238,36
37,1,8,1086462116,37
38,1,8,1103624995,38
39,1,8,1119698725,39
40,2,8,1156934992,40
41,1,9,1075388238,41
42,1,9,1086462174,42
43,1,9,1103625026,43
44,1,9,1119698727,44
45,2,9,1156931592,45
46,1,10,1075388238,46
47,1,10,1086462155,47
48,1,10,1103625018,48
49,1,10,1119698726,49
50,2,10,1156924261,50
51,1,11,1075388238,51
52,1,11,1086462121,52
53,1,11,1103624998,53
54,1,11,1119698725,54
55,2,11,1156924400,55
56,1,12,1075388238,56
57,1,12,1086462147,57
58,1,12,1103625013,58
59,1,12,1119698726,59
60,2,12,1156932946,60
61,1,13,1075388238,61
62,1,13,1086462137,62
63,1,13,1103625008,63
64,1,13,1119698725,64
65,2,13,1156930507,65
66,1,14,1075388238,66
67,1,14,1086462171,67
68,1,14,1103625025,68
69,1,14,1119698727,69
70,2,14,1156932687,70
71,1,15,1075388238,71
72,1,15,1086462145,72
73,1,15,1103625011,73
74,1,15,1119698726,74
75,1,15,1122635546,75
76,2,15,1156936959,76
77,1,16,1075388238,77
78,1,16,1086462152,78
79,1,16,1103625016,79
80,1,16,1119698726,80
81,2,16,1156936634,81
82,1,17,1075388238,82
83,1,17,1086462125,83
