,u,i,ts,idx
0,1,1,1075389568,0
1,1,1,1086462194,1
2,1,1,1103625037,2
3,2,1,1107854342,3
4,1,2,1075389568,4
5,1,2,1086462187,5
6,2,2,1097049186,6
7,1,3,1075389568,7
8,1,3,1086462203,8
9,1,3,1103625044,9
10,2,3,1108124182,10
11,1,4,1075389568,11
12,1,4,1086462192,12
13,1,4,1103625036,13
14,2,4,1116776637,14
15,1,5,1075389568,15
16,1,5,1086462199,16
17,1,5,1103625041,17
18,2,5,1108124151,18
19,1,6,1075389568,19
20,1,6,1086462196,20
21,2,6,1096882776,21
22,2,6,1108123316,22
23,1,7,1075389568,23
24,1,7,1086462205,24
25,1,7,1103625045,25
26,2,7,1116824647,26
27,1,8,1075389568,27
28,1,8,1086462209,28
29,1,8,1103625047,29
30,2,8,1116825767,30
31,1,9,1075389568,31
32,1,9,1086462188,32
33,2,9,1097049615,33
34,2,9,1114521160,34
35,1,10,1075389568,35
36,1,10,1086462197,36
37,1,10,1103625040,37
38,2,10,1116819323,38
39,1,11,1075389568,39
40,1,11,1086462197,40
41,1,11,1103625040,41
42,2,11,1116819333,42
43,1,12,1075389568,43
44,1,12,1086462238,44
45,1,12,1103625064,45
46,1,12,1119698742,46
47,2,12,1121418838,47
48,1,13,1075389568,48
49,1,13,1086462196,49
50,1,13,1103625039,50
51,2,13,1116818630,51
52,1,14,1075389568,52
53,1,14,1086462196,53
54,1,14,1103625039,54
55,2,14,1116818796,55
56,1,15,1075389568,56
57,1,15,1086462196,57
58,1,15,1103625039,58
59,2,15,1116818860,59
60,1,16,1075389568,60
61,1,16,1086462200,61
62,1,16,1103625042,62
63,2,16,1116822099,63
64,1,17,1075389568,64
65,1,17,1086462202,65
66,1,17,1103625043,66
67,2,17,1116823671,67
68,1,18,1075389568,68
69,1,18,1086462203,69
70,1,18,1103625043,70
71,2,18,1116823485,71
72,1,19,1075389568,72
73,1,19,1086462188,73
74,2,19,1097049890,74
75,2,19,1114522233,75
76,1,20,1075389568,76
77,1,20,1086462196,77
78,1,20,1103625038,78
79,2,20,1116818472,79
80,1,21,1075389568,80
81,1,21,1086462196,81
82,1,21,1103625039,82
83,2,21,1116818447,83
84,1,22,1075389568,84
85,1,22,1086462199,85
86,1,22,1103625041,86
87,2,22,1116820402,87
88,1,23,1075389568,88
89,1,23,1086462208,89
90,1,23,1103625046,90
91,2,23,1116825550,91
92,1,24,1075389568,92
93,1,24,1086462208,93
94,1,24,1103625046,94
95,2,24,1116825541,95
96,1,25,1075389568,96
97,1,25,1086462209,97
98,1,25,1103625047,98
99,2,25,1116825779,99
100,1,26,1075389568,100
101,1,26,1086462209,101
102,1,26,1103625047,102
103,2,26,1116825809,103
104,1,27,1075389568,104
105,1,27,1086462202,105
106,1,27,1103625042,106
107,2,27,1116822785,107
108,1,28,1075389568,108
109,1,28,1086462202,109
110,1,28,1103625043,110
111,2,28,1116822733,111
112,1,29,1075389568,112
113,1,29,1086462203,113
114,1,29,1103625044,114
115,2,29,1116823786,115
116,1,30,1075389568,116
117,1,30,1086462203,117
118,1,30,1103625044,118
119,2,30,1116823740,119
120,1,31,1075389568,120
121,1,31,1086462205,121
122,1,31,1103625044,122
123,2,31,1116824530,123
124,1,32,1075389568,124
125,1,32,1086462204,125
126,1,32,1103625044,126
127,2,32,1116824227,127
128,1,33,1075389568,128
129,1,33,1086462207,129
130,1,33,1103625045,130
131,2,33,1116825141,131
132,1,34,1075389568,132
133,1,34,1086462201,133
134,1,34,1103625042,134
135,2,34,1116822300,135
136,1,35,1075389568,136
137,1,35,1086462199,137
138,1,35,1103625041,138
139,2,35,1116819779,139
140,1,36,1075389568,140
141,1,36,1086462204,141
142,1,36,1103625044,142
143,2,36,1116824013,143
144,1,37,1075389568,144
145,1,37,1086462198,145
146,1,37,1103625040,146
147,2,37,1116819371,147
148,1,38,1075389568,148
149,1,38,1086462209,149
150,1,38,1103625047,150
151,2,38,1116825770,151
152,1,39,1075389568,152
153,1,39,1086462199,153
154,1,39,1103625041,154
155,2,39,1116819673,155
156,1,40,1075389568,156
157,1,40,1086462190,157
158,1,40,1103625035,158
159,2,40,1116776109,159
160,1,41,1075389568,160
161,1,41,1086462190,161
162,1,41,1103625035,162
163,2,41,1116776021,163
164,1,42,1075389568,164
165,1,42,1086462196,165
166,1,42,1103625039,166
167,2,42,1116818670,167
168,1,43,1075389568,168
169,1,43,1086462194,169
170,1,43,1103625037,170
171,2,43,1116817077,171
172,1,44,1075389568,172
173,1,44,1086462195,173
174,1,44,1103625038,174
175,2,44,1116817466,175
176,1,45,1075389568,176
177,1,45,1086462203,177
178,1,45,1103625043,178
179,2,45,1116823781,179
180,1,46,1075389568,180
181,1,46,1086462199,181
182,1,46,1103625041,182
183,2,46,1116819856,183
184,1,47,1075389568,184
185,1,47,1086462196,185
186,1,47,1103625039,186
187,2,47,1116819053,187
188,1,48,1075389568,188
189,1,48,1086462194,189
190,1,48,1103625037,190
191,2,48,1116817017,191
192,1,49,1075389568,192
193,1,49,1086462202,193
194,1,49,1103625043,194
195,2,49,1116823214,195
196,1,50,1075389568,196
197,1,50,1086462202,197
198,1,50,1103625043,198
199,2,50,1116823369,199
200,1,51,1075389568,200
201,1,51,1086462202,201
202,1,51,1103625043,202
203,2,51,1116823285,203
204,1,52,1075389568,204
205,1,52,1086462188,205
206,2,52,1097049701,206
207,2,52,1114521170,207
208,1,53,1075389568,208
209,1,53,1086462195,209
210,1,53,1103625038,210
211,2,53,1116818401,211
212,1,54,1075389568,212
213,1,54,1086462204,213
214,1,54,1103625044,214
215,2,54,1116824175,215
216,1,55,1075389568,216
217,1,55,1086462189,217
218,2,55,1097050665,218
219,1,56,1075389568,219
220,1,56,1086462209,220
221,1,56,1103625046,221
222,2,56,1116825726,222
223,2,56,1116825737,223
224,1,57,1075389568,224
225,1,57,1086462203,225
226,1,57,1103625043,226
227,2,57,1116823477,227
228,1,58,1075389568,228
229,1,58,1086462205,229
230,1,58,1103625045,230
231,2,58,1116824283,231
232,1,59,1075389568,232
233,1,59,1086462205,233
234,1,59,1103625045,234
235,2,59,1116824263,235
236,1,60,1075389568,236
237,1,60,1086462203,237
238,1,60,1103625043,238
239,2,60,1116823838,239
240,1,61,1075389568,240
241,1,61,1086462204,241
242,1,61,1103625044,242
243,2,61,1116824194,243
244,2,61,1116824224,244
245,1,62,1075389568,245
246,1,62,1086462204,246
247,1,62,1103625044,247
248,2,62,1116824234,248
249,1,63,1075389568,249
250,1,63,1086462188,250
251,2,63,1097049706,251
252,1,64,1075389568,252
253,1,64,1086462193,253
254,1,64,1103625037,254
255,2,64,1107854237,255
256,1,65,1075389568,256
257,1,65,1086462193,257
258,1,65,1103625037,258
259,2,65,1107854245,259
260,1,66,1075389568,260
261,1,66,1086462206,261
262,1,66,1103625045,262
263,2,66,1116824650,263
264,1,67,1075389568,264
265,1,67,1086462206,265
266,1,67,1103625045,266
267,2,67,1116824695,267
268,1,68,1075389568,268
269,1,68,1086462207,269
270,1,68,1103625045,270
271,2,68,1116824817,271
272,1,69,1075389568,272
273,1,69,1086462207,273
274,1,69,1103625045,274
275,2,69,1116824775,275
276,1,70,1075389568,276
277,1,70,1086462197,277
278,1,70,1103625039,278
279,2,70,1116819125,279
280,1,71,1075389568,280
281,1,71,1086462206,281
282,1,71,1103625045,282
283,2,71,1116824756,283
284,1,72,1075389568,284
285,1,72,1086462205,285
286,1,72,1103625045,286
287,2,72,1116824316,287
288,1,73,1075389568,288
289,1,73,1086462210,289
290,1,73,1103625047,290
291,1,73,1119698740,291
292,1,73,1119837106,292
293,2,73,1121420270,293
294,1,74,1075389568,294
295,1,74,1086462198,295
296,1,74,1103625040,296
297,2,74,1116819362,297
298,1,75,1075389568,298
299,1,75,1086462198,299
300,1,75,1103625040,300
301,2,75,1116819377,301
302,1,76,1075389568,302
303,1,76,1086462198,303
304,1,76,1103625040,304
305,1,76,1119698740,305
306,2,76,1121333432,306
307,1,77,1075389568,307
308,1,77,1086462198,308
309,1,77,1103625040,309
310,2,77,1116819410,310
311,1,78,1075389568,311
312,1,78,1086462207,312
313,1,78,1103625046,313
314,2,78,1116825371,314
315,1,79,1075389568,315
316,1,79,1086462192,316
317,1,79,1103625036,317
318,2,79,1107854056,318
319,1,80,1075389568,319
320,1,80,1086462200,320
321,1,80,1103625042,321
322,2,80,1116821961,322
323,1,81,1075389568,323
324,1,81,1086462199,324
325,1,81,1103625041,325
326,2,81,1116820423,326
327,1,82,1075389568,327
328,1,82,1086462199,328
329,1,82,1103625041,329
330,2,82,1116820596,330
331,1,83,1075389568,331
332,1,83,1086462199,332
333,1,83,1103625041,333
334,2,83,1116820407,334
335,1,84,1075389568,335
336,1,84,1086462200,336
337,1,84,1103625042,337
338,1,84,1119698740,338
339,2,84,1121333609,339
340,1,85,1075389568,340
341,1,85,1086462200,341
342,1,85,1103625042,342
343,2,85,1116821980,343
344,1,86,1075389568,344
345,1,86,1086462199,345
346,1,86,1103625041,346
347,2,86,1116820503,347
348,1,87,1075389568,348
349,1,87,1086462195,349
350,1,87,1103625038,350
351,2,87,1116818464,351
352,1,88,1075389568,352
353,1,88,1086462208,353
354,1,88,1103625046,354
355,2,88,1116825644,355
356,1,89,1075389568,356
357,1,89,1086462201,357
358,1,89,1103625042,358
359,2,89,1116822161,359
360,1,90,1075389568,360
361,1,90,1086462201,361
362,1,90,1103625042,362
363,2,90,1116822126,363
364,1,91,1075389568,364
365,1,91,1086462201,365
366,1,91,1103625042,366
367,2,91,1116822129,367
368,1,92,1075389568,368
369,1,92,1086462195,369
370,1,92,1103625038,370
371,2,92,1116817146,371
372,1,93,1075389568,372
373,1,93,1086462197,373
374,1,93,1103625039,374
375,2,93,1116818979,375
376,1,94,1075389568,376
377,1,94,1086462204,377
378,1,94,1103625044,378
379,2,94,1116824098,379
380,1,95,1075389568,380
381,1,95,1086462194,381
382,1,95,1103625037,382
383,2,95,1116817137,383
384,1,96,1075389568,384
385,1,96,1086462187,385
386,2,96,1097049285,386
387,2,96,1114521066,387
388,1,97,1075389568,388
389,1,97,1086462197,389
390,1,97,1103625039,390
391,2,97,1108123580,391
392,1,98,1075389568,392
393,1,98,1086462197,393
394,1,98,1103625039,394
395,2,98,1116819101,395
396,1,99,1075389568,396
397,1,99,1086462197,397
398,1,99,1103625040,398
399,2,99,1108123606,399
400,1,100,1075389568,400
401,1,100,1086462197,401
402,1,100,1103625039,402
403,2,100,1116819082,403
404,1,101,1075389568,404
405,1,101,1086462205,405
406,1,101,1103625045,406
407,2,101,1116824672,407
408,1,102,1075389568,408
409,1,102,1086462198,409
410,1,102,1103625041,410
411,2,102,1116819641,411
412,1,103,1075389568,412
413,1,103,1086462195,413
414,1,103,1103625038,414
415,2,103,1116817549,415
416,1,104,1075389568,416
417,1,104,1086462209,417
418,1,104,1103625047,418
419,2,104,1116825726,419
420,1,105,1075389568,420
421,1,105,1086462208,421
422,1,105,1103625046,422
423,2,105,1116825535,423
424,1,106,1075389568,424
425,1,106,1086462207,425
426,1,106,1103625046,426
427,2,106,1116825408,427
428,1,107,1075389568,428
429,1,107,1086462207,429
430,1,107,1103625046,430
431,2,107,1116825491,431
432,1,108,1075389568,432
433,1,108,1086462208,433
434,1,108,1103625046,434
435,2,108,1116825478,435
436,1,109,1075389568,436
437,1,109,1086462208,437
438,1,109,1103625046,438
439,2,109,1116825524,439
440,1,110,1075389568,440
441,1,110,1086462207,441
442,1,110,1103625046,442
443,2,110,1116825478,443
444,1,111,1075389568,444
445,1,111,1086462191,445
446,2,111,1097051231,446
447,1,112,1075389568,447
448,1,112,1086462189,448
449,1,112,1103625035,449
450,2,112,1114522762,450
451,1,113,1075389568,451
452,1,113,1086462189,452
453,1,113,1103625035,453
454,2,113,1114522866,454
455,1,114,1075389568,455
456,1,114,1086462202,456
457,1,114,1103625042,457
458,2,114,1116822735,458
459,1,115,1075389568,459
460,1,115,1086462201,460
461,1,115,1103625042,461
462,2,115,1116822340,462
463,1,116,1077421520,463
464,1,116,1086462193,464
465,1,116,1103625036,465
466,2,116,1107854167,466
467,1,117,1077421520,467
468,1,117,1086462193,468
469,1,117,1103625036,469
470,2,117,1116776647,470
471,1,118,1077421520,471
472,1,118,1086462193,472
473,1,118,1103625036,473
474,2,118,1107854201,474
475,1,119,1077421520,475
476,1,119,1086462193,476
477,1,119,1103625036,477
478,2,119,1107854213,478
479,1,120,1077421520,479
480,1,120,1086462196,480
481,1,120,1103625039,481
482,2,120,1116819064,482
483,1,121,1077421520,483
484,1,121,1086462207,484
485,1,121,1103625046,485
486,2,121,1116825380,486
487,1,122,1077421520,487
488,1,122,1086462207,488
489,1,122,1103625046,489
490,2,122,1116825409,490
491,1,123,1077421520,491
492,1,123,1086462207,492
493,1,123,1103625046,493
494,2,123,1116825439,494
495,1,124,1086462186,495
496,1,124,1103625034,496
497,2,124,1105416471,497
498,1,125,1086462186,498
499,2,125,1097049934,499
500,1,126,1086462186,500
501,1,126,1103625038,501
502,2,126,1116817251,502
503,1,127,1086462186,503
504,1,127,1103625038,504
505,2,127,1116817497,505
506,1,128,1086462186,506
507,1,128,1103625038,507
508,2,128,1116817505,508
509,1,129,1086462186,509
510,1,129,1103625038,510
511,2,129,1116817526,511
512,1,130,1086462186,512
513,1,130,1103625043,513
514,2,130,1116823175,514
515,1,131,1086462186,515
516,1,131,1103625045,516
517,2,131,1116824816,517
518,1,132,1086462186,518
519,1,132,1103625045,519
520,2,132,1116824912,520
521,1,133,1086462186,521
522,1,133,1103625045,522
523,2,133,1116824949,523
524,1,134,1086462186,524
525,1,134,1103625045,525
526,2,134,1116824946,526
527,1,135,1086462186,527
528,1,135,1103625045,528
529,2,135,1116825127,529
530,1,136,1086462186,530
531,1,136,1103625045,531
532,2,136,1116825262,532
533,1,137,1086462186,533
534,1,137,1103625047,534
535,2,137,1116825768,535
536,1,138,1086462186,536
537,2,138,1096882512,537
538,2,138,1108123060,538
539,2,139,1096867264,539
540,2,139,1097048366,540
541,2,139,1097048978,541
542,2,139,1097049057,542
543,2,139,1107853571,543
544,2,139,1108123517,544
545,3,139,1345458302,545
546,2,140,1096968643,546
547,2,140,1096975138,547
548,2,140,1097040264,548
549,2,140,1097917160,549
550,2,140,1105416221,550
551,2,140,1107852979,551
552,2,140,1116831394,552
553,2,140,1121242155,553
554,2,140,1121327294,554
555,2,140,1126686806,555
556,4,140,1140656691,556
557,2,140,1143449636,557
558,2,140,1146816177,558
559,2,140,1146822162,559
560,2,140,1293786050,560
561,5,140,1338973923,561
562,6,140,1346880784,562
563,7,140,1380686736,563
564,8,140,1416677908,564
565,8,140,1416683987,565
566,8,140,1416686547,566
567,8,140,1416688979,567
568,8,140,1416689145,568
569,8,140,1416704454,569
570,8,140,1416704581,570
571,8,140,1416704622,571
572,8,140,1424435198,572
573,8,140,1424435327,573
574,9,140,1428973898,574
575,8,140,1435032509,575
576,8,140,1435811593,576
577,8,140,1435811612,577
578,8,140,1435811665,578
579,8,140,1435811750,579
580,8,140,1435811819,580
581,10,140,1459519157,581
582,2,141,1097129965,582
583,2,142,1097132277,583
584,2,142,1097132960,584
585,2,142,1108108159,585
586,2,142,1114422214,586
587,2,142,1129796099,587
588,2,142,1132225336,588
589,2,142,1146822388,589
590,2,142,1148326977,590
591,2,142,1149007836,591
592,11,142,1381307498,592
593,8,142,1416379609,593
594,8,142,1416704213,594
595,2,143,1097146315,595
596,2,143,1097146456,596
597,2,143,1097147069,597
598,2,143,1097147239,598
599,2,143,1097147362,599
600,4,143,1140656691,600
601,12,143,1181296786,601
602,12,143,1181388646,602
603,2,144,1097147722,603
604,2,144,1097147986,604
605,4,144,1140656690,605
606,13,144,1157369047,606
607,12,144,1181297077,607
608,12,144,1181297141,608
609,14,144,1323888054,609
610,15,144,1469939567,610
611,16,144,1493230535,611
612,2,145,1097148487,612
613,2,145,1097148570,613
614,4,145,1140656690,614
615,12,145,1181296868,615
616,12,145,1181315324,616
617,14,145,1325518417,617
618,14,145,1387583958,618
619,16,145,1493230540,619
620,2,146,1097915049,620
621,4,146,1140656690,621
622,12,146,1181297056,622
623,2,147,1097915587,623
624,2,147,1105416536,624
625,2,147,1114508515,625
626,4,147,1140656691,626
627,12,147,1181297252,627
628,14,147,1387583813,628
629,16,147,1493230548,629
630,1,148,1103625034,630
631,2,148,1105416641,631
632,1,149,1103625034,632
633,2,149,1105416752,633
634,2,149,1114521558,634
635,1,150,1103625034,635
636,2,150,1105416781,636
637,1,151,1103625034,637
638,2,151,1105416917,638
639,2,151,1114522174,639
640,1,152,1103625034,640
641,2,152,1105416932,641
642,2,152,1114522217,642
643,1,153,1103625034,643
644,2,153,1105416947,644
645,1,154,1103625034,645
646,2,154,1105416950,646
647,1,155,1103625034,647
648,2,155,1105416963,648
649,1,156,1103625034,649
650,2,156,1114522777,650
651,1,157,1103625034,651
652,2,157,1116776355,652
653,1,158,1103625034,653
654,2,158,1107853893,654
655,1,159,1103625034,655
656,2,159,1107854371,656
657,1,160,1103625034,657
658,2,160,1116816991,658
659,1,161,1103625034,659
660,2,161,1116818562,660
661,1,162,1103625034,661
662,2,162,1116818598,662
663,1,163,1103625034,663
664,2,163,1116819094,664
665,1,164,1103625034,665
666,2,164,1116819140,666
667,1,165,1103625034,667
668,2,165,1116819163,668
669,1,166,1103625034,669
670,2,166,1116819687,670
671,1,167,1103625034,671
672,2,167,1116819687,672
673,1,168,1103625034,673
674,2,168,1116819831,674
675,1,169,1103625034,675
676,2,169,1116822048,676
677,1,170,1103625034,677
678,2,170,1116823261,678
679,1,171,1103625034,679
680,2,171,1116823272,680
681,1,172,1103625034,681
682,2,172,1116823513,682
683,1,173,1103625034,683
684,2,173,1116823522,684
685,1,174,1103625034,685
686,2,174,1116824366,686
687,1,175,1103625034,687
688,2,175,1116825223,688
689,1,176,1103625034,689
690,2,176,1116825366,690
691,1,177,1103625034,691
692,1,177,1119698742,692
693,1,177,1140919675,693
694,2,177,1149012628,694
695,2,177,1149217212,695
696,17,177,1289956119,696
697,17,177,1291480678,697
698,17,177,1295309525,698
699,18,177,1327091754,699
700,19,177,1337665733,700
701,19,177,1342549600,701
702,19,177,1349132143,702
703,19,177,1360201416,703
704,2,178,1106895252,704
705,2,178,1106895545,705
706,4,178,1140656690,706
707,12,178,1181297256,707
708,20,178,1235194616,708
709,21,178,1356988135,709
710,15,178,1469939583,710
711,16,178,1493230525,711
712,2,179,1108107673,712
713,4,179,1140656690,713
714,12,179,1181297393,714
715,2,180,1108123302,715
716,2,181,1108126057,716
717,2,181,1118910561,717
718,4,181,1140656690,718
719,12,181,1181255602,719
720,12,181,1181315391,720
721,20,181,1236868589,721
722,21,181,1351227239,722
723,21,181,1358567621,723
724,14,181,1387582674,724
725,21,181,1435500999,725
726,16,181,1493230515,726
727,2,182,1108126103,727
728,22,183,1114169962,728
729,22,183,1114188262,729
730,23,183,1429231937,730
731,2,184,1114418556,731
732,2,185,1114508435,732
733,2,185,1114508649,733
734,4,185,1140656691,734
735,13,185,1157369027,735
736,12,185,1181297587,736
737,20,185,1289078113,737
738,14,185,1387585561,738
739,16,185,1493230548,739
740,2,186,1114509391,740
741,2,186,1114509696,741
742,2,186,1114509720,742
743,4,186,1140656691,743
744,12,186,1181297653,744
745,12,186,1181311797,745
746,20,186,1235897372,746
747,14,186,1387585263,747
748,16,186,1493230566,748
749,2,187,1114509606,749
750,2,187,1150180997,750
751,2,187,1197549168,751
752,8,187,1423195322,752
753,8,187,1423523949,753
754,8,187,1423524009,754
755,8,187,1423524068,755
756,4,189,1140656691,756
757,12,189,1181257967,757
758,20,189,1237287467,758
759,20,189,1289052848,759
760,21,189,1440950381,760
761,16,189,1493230547,761
762,4,190,1140656691,762
763,12,190,1181297752,763
764,12,190,1181297904,764
765,4,191,1140656691,765
766,12,191,1181297785,766
767,14,191,1387585528,767
768,16,191,1493230550,768
769,4,192,1140656690,769
770,12,192,1181297863,770
771,12,192,1181682083,771
772,20,192,1237906842,772
773,15,192,1469939491,773
774,16,192,1493230519,774
775,4,193,1140656690,775
776,2,193,1177464789,776
777,12,193,1181308017,777
778,12,193,1181681668,778
779,4,194,1140656690,779
780,12,194,1181297977,780
781,12,194,1181297980,781
782,12,194,1181681460,782
783,2,195,1118118386,783
784,2,196,1118912243,784
785,2,196,1118912589,785
786,2,196,1119007079,786
787,4,196,1140656691,787
788,13,196,1157369532,788
789,13,196,1160067617,789
790,13,196,1169427509,790
791,2,196,1177464686,791
792,12,196,1181298248,792
793,20,196,1234839088,793
794,20,196,1272346354,794
795,20,196,1275033223,795
796,14,196,1307174858,796
