,u,i,ts,idx
0,1,1,1075389687,0
1,1,2,1075389687,1
2,1,3,1077421575,2
3,1,4,1086462810,3
4,1,5,1086462810,4
5,1,6,1086462810,5
6,1,7,1086462810,6
7,1,8,1086462810,7
8,1,9,1086462810,8
9,1,10,1086462810,9
10,1,11,1086462810,10
11,1,12,1086462810,11
12,1,13,1086462810,12
13,1,14,1086462810,13
14,1,15,1086462810,14
15,1,16,1086462810,15
16,1,17,1086462810,16
17,1,18,1086462810,17
18,1,19,1086462810,18
19,1,20,1086462810,19
20,1,21,1086462810,20
21,1,22,1086462810,21
22,1,23,1086462810,22
23,1,24,1086462810,23
24,1,25,1086462810,24
25,1,26,1086462810,25
26,1,27,1086462810,26
27,1,28,1086462810,27
28,1,29,1086462810,28
29,1,30,1086462810,29
30,1,31,1086462810,30
31,1,32,1086462810,31
32,1,33,1086462810,32
33,1,34,1086462810,33
34,1,35,1086462810,34
35,1,36,1086462810,35
36,1,37,1086462810,36
37,1,38,1086462810,37
38,1,39,1086462810,38
39,1,40,1086462810,39
40,1,41,1086462810,40
41,1,42,1086462810,41
42,1,43,1086462810,42
43,1,44,1086462810,43
44,1,45,1086462810,44
45,1,46,1086462810,45
46,1,47,1086462810,46
47,1,48,1086462810,47
48,1,49,1086462810,48
49,1,50,1086462810,49
50,1,51,1086462810,50
51,1,52,1086462810,51
52,1,53,1086462810,52
53,1,54,1086462810,53
54,1,55,1086462810,54
55,1,56,1086462810,55
56,1,57,1086462810,56
57,1,58,1086462810,57
58,1,59,1086462810,58
59,1,60,1086462810,59
60,1,61,1086462810,60
61,1,62,1086462810,61
62,1,63,1086462810,62
63,1,64,1086462810,63
64,1,65,1086462810,64
65,1,66,1086462810,65
66,1,67,1086462810,66
67,1,68,1086462810,67
68,1,69,1086462810,68
69,1,70,1086462810,69
70,1,71,1086462810,70
71,1,72,1086462810,71
72,1,73,1086462810,72
73,1,74,1086462810,73
74,1,75,1086462810,74
75,1,76,1086462810,75
76,1,77,1086462810,76
77,1,78,1086462912,77
78,2,80,1114209834,78
79,3,80,1429232885,79
80,4,81,1134693416,80
81,4,81,1138300980,81
82,4,82,1134693409,82
83,4,82,1135305427,83
84,4,82,1136423169,84
85,4,82,1136769594,85
86,4,82,1138380174,86
87,5,83,1135905821,87
88,5,84,1135905905,88
89,6,85,1136452633,89
90,7,85,1442128250,90
91,7,85,1442653712,91
92,6,86,1136452867,92
93,6,87,1136453731,93
94,8,87,1140656708,94
95,9,87,1154401154,95
96,9,87,1154401182,96
97,10,87,1171438341,97
98,11,87,1216679349,98
99,12,87,1216679505,99
100,12,87,1217347575,100
101,12,87,1217347601,101
102,13,87,1238642141,102
103,14,87,1337691895,103
104,15,87,1440795416,104
105,16,87,1463631857,105
106,17,88,1137398111,106
107,17,89,1137398125,107
108,18,90,1137765625,108
109,19,91,1151850889,109
110,20,91,1277174397,110
111,20,91,1277175901,111
112,9,92,1154401154,112
113,21,92,1266043662,113
114,9,93,1154401154,114
115,22,93,1268702553,115
116,23,95,1162212358,116
117,20,95,1225272900,117
118,24,96,1162392778,118
119,10,97,1171438469,119
120,10,98,1171438487,120
121,23,99,1173312707,121
122,25,99,1337723574,122
123,25,99,1424808453,123
124,13,100,1237452814,124
125,26,100,1387486100,125
126,25,100,1493061407,126
127,13,101,1237160737,127
128,26,101,1387485147,128
129,27,101,1469929569,129
130,25,101,1493061269,130
131,13,102,1238058500,131
132,28,102,1307973339,132
133,26,102,1387494194,133
134,27,102,1469929877,134
135,25,102,1493061505,135
136,13,103,1237163796,136
137,26,103,1387488268,137
138,25,103,1493061412,138
139,13,104,1237169605,139
140,26,104,1387493006,140
141,27,104,1489655267,141
142,25,104,1493061489,142
143,13,105,1237246448,143
144,26,105,1387491707,144
145,25,105,1493061476,145
146,13,106,1237332528,146
147,26,106,1387490619,147
148,25,106,1493061443,148
149,13,107,1237452815,149
150,26,107,1387488165,150
151,27,107,1469929738,151
152,25,107,1493061439,152
153,13,108,1237332552,153
154,26,108,1387488166,154
155,27,108,1489654712,155
156,25,108,1493061438,156
157,13,109,1238292264,157
158,26,109,1387491723,158
159,25,109,1493061472,159
160,13,110,1238058422,160
161,26,110,1387495376,161
162,27,110,1469929933,162
163,27,110,1475550522,163
164,25,110,1493061519,164
165,13,111,1238059152,165
166,28,111,1295702676,166
167,28,111,1295703048,167
168,28,111,1295703294,168
169,26,111,1387495394,169
170,25,111,1493061517,170
171,13,112,1237218558,171
172,26,112,1387488266,172
173,25,112,1431005515,173
174,25,112,1493061413,174
175,13,113,1238058466,175
176,26,113,1387493008,176
177,25,113,1431008109,177
178,25,113,1493061488,178
179,13,114,1237586796,179
180,26,114,1387491705,180
181,25,114,1493061477,181
182,13,115,1237194883,182
183,28,115,1281953288,183
184,28,115,1281953568,184
185,26,115,1387488175,185
186,25,115,1493061436,186
187,13,116,1238154882,187
188,26,116,1387488213,188
189,25,116,1493061420,189
190,13,117,1238058424,190
191,26,117,1387488215,191
192,25,117,1493061420,192
193,13,118,1238058465,193
194,26,118,1387491751,194
195,25,118,1493061467,195
196,13,119,1238113329,196
197,26,119,1387486122,197
198,25,119,1493061403,198
199,13,120,1237164210,199
200,26,120,1387488208,200
201,27,120,1469929693,201
202,25,120,1493061422,202
203,13,121,1238058406,203
204,26,121,1387488219,204
205,25,121,1493061419,205
206,13,122,1237157665,206
207,26,122,1387488235,207
208,25,122,1493061416,208
209,13,123,1237173290,209
210,26,123,1387491710,210
211,25,123,1493061476,211
212,13,124,1237210324,212
213,26,124,1387495382,213
214,25,124,1493061519,214
215,13,125,1237194841,215
216,26,125,1387490608,216
217,25,125,1493061445,217
218,13,126,1237576245,218
219,26,126,1387488204,219
220,25,126,1493061423,220
221,29,127,1217348044,221
222,26,127,1387491727,222
223,25,127,1493061472,223
224,29,128,1217348074,224
225,26,128,1387483567,225
226,30,128,1424583910,226
227,25,128,1493061259,227
228,29,129,1217348105,228
229,26,129,1387486133,229
230,25,129,1431003794,230
231,27,129,1469929610,231
232,25,129,1493061401,232
233,29,130,1217348135,233
234,26,130,1387486119,234
235,27,130,1469929608,235
236,25,130,1493061404,236
237,29,131,1217348202,237
238,26,131,1387496410,238
239,25,131,1431010694,239
240,27,131,1469929974,240
241,25,131,1493061541,241
242,29,132,1217348232,242
243,26,132,1387488211,243
244,25,132,1493061421,244
245,29,133,1217348262,245
246,26,133,1387485163,246
247,25,133,1493061266,247
248,29,134,1217348292,248
249,26,134,1387491695,249
250,25,134,1493061478,250
251,29,135,1217348322,251
252,26,135,1387485118,252
253,25,135,1431002948,253
254,27,135,1469929565,254
255,25,135,1493061275,255
256,29,136,1217348352,256
257,26,136,1387496366,257
258,25,136,1493061550,258
259,29,137,1217348387,259
260,26,137,1387491701,260
261,25,137,1431008151,261
262,27,137,1469929833,262
263,25,137,1493061477,263
264,29,138,1217348416,264
265,26,138,1387491739,265
266,27,138,1469929781,266
267,25,138,1493061469,267
268,31,140,1236212846,268
269,31,140,1236213428,269
270,31,140,1236214925,270
271,13,140,1237164907,271
272,26,140,1387483581,272
273,25,140,1493061256,273
274,13,141,1237187062,274
275,26,141,1387483578,275
276,25,141,1493061257,276
277,13,142,1238058429,277
278,26,142,1331562202,278
279,25,142,1431002046,279
280,25,142,1493061257,280
281,13,144,1237219314,281
282,26,144,1387483575,282
283,25,144,1493061258,283
284,13,145,1237278120,284
285,26,145,1387483573,285
286,25,145,1493061259,286
287,13,146,1237586674,287
288,26,146,1387483564,288
289,25,146,1493061259,289
290,13,147,1238650862,290
291,26,147,1387483561,291
292,25,147,1431002040,292
293,27,147,1469929403,293
294,25,147,1493061260,294
295,13,148,1238058408,295
296,25,148,1493061260,296
297,13,149,1237452812,297
298,25,149,1493061261,298
299,13,150,1237210336,299
300,26,150,1387483559,300
301,25,150,1493061261,301
302,13,151,1238058458,302
303,26,151,1387483556,303
304,25,151,1493061262,304
305,13,152,1237287435,305
306,26,152,1387485189,306
307,25,152,1493061262,307
308,13,154,1238650795,308
309,32,154,1293627924,309
310,33,154,1364479853,310
311,26,154,1387485186,311
312,25,154,1493061263,312
313,13,155,1237534376,313
314,26,155,1387485170,314
315,25,155,1493061263,315
316,13,156,1238058485,316
317,26,156,1387485167,317
318,25,156,1493061264,318
319,28,158,1281953054,319
320,25,158,1493061265,320
321,13,160,1238058413,321
322,26,160,1387485160,322
323,25,160,1493061267,323
324,13,161,1237173280,324
325,26,161,1387485157,325
326,25,161,1493061267,326
327,13,162,1238393356,327
328,26,162,1387485156,328
329,25,162,1493061267,329
330,13,163,1237330676,330
331,26,163,1387485153,331
332,25,163,1493061268,332
333,13,164,1238127161,333
334,26,164,1387485150,334
335,25,164,1493061269,335
336,13,165,1238240300,336
337,26,165,1387485145,337
338,25,165,1493061270,338
339,13,166,1237173278,339
340,26,166,1387485141,340
341,25,166,1431002958,341
342,25,166,1493061271,342
343,13,167,1237159247,343
344,34,167,1323052807,344
345,26,167,1387485135,345
346,27,167,1477439879,346
347,25,167,1493061271,347
348,13,168,1238058494,348
349,26,168,1311426422,349
350,26,168,1387485130,350
351,25,168,1431002952,351
352,25,168,1493061272,352
353,13,169,1237555179,353
354,26,169,1387485127,354
355,25,169,1493061273,355
356,13,170,1237300900,356
357,26,170,1387485125,357
358,25,170,1493061273,358
359,13,171,1237187059,359
360,25,171,1493061274,360
361,13,172,1238059104,361
362,26,172,1387485123,362
363,27,172,1469929567,363
364,25,172,1493061275,364
365,13,174,1238246272,365
366,26,174,1387485116,366
367,25,174,1493061276,367
368,13,175,1237195121,368
369,26,175,1387485106,369
370,25,175,1493061392,370
371,13,176,1237173276,371
372,26,176,1387485103,372
373,27,176,1469929563,373
374,25,176,1493061393,374
375,13,177,1237584931,375
376,26,177,1387485099,376
377,25,177,1493061394,377
378,13,178,1237277855,378
379,26,178,1387485096,379
380,25,178,1493061396,380
381,13,179,1238058492,381
382,26,179,1387485092,382
383,25,179,1493061396,383
384,13,180,1237232939,384
385,26,180,1387485089,385
386,25,180,1431003800,386
387,25,180,1493061398,387
388,13,181,1238058494,388
389,26,181,1387485085,389
390,25,181,1493061398,390
391,13,182,1237157320,391
392,26,182,1387485079,392
393,25,182,1493061400,393
394,13,183,1238058413,394
395,25,183,1431003796,395
396,25,183,1493061400,396
397,13,184,1237173273,397
398,26,184,1387486130,398
399,25,184,1493061402,399
400,13,185,1238058303,400
401,34,185,1323052797,401
402,25,185,1352129083,402
403,26,185,1387486125,403
404,25,185,1431003788,404
405,27,185,1469929609,405
406,25,185,1493061402,406
407,13,186,1238118186,407
408,26,186,1387486116,408
409,25,186,1493061404,409
410,13,189,1237308475,410
411,26,189,1387486114,411
412,25,189,1493061405,412
413,31,190,1236218149,413
414,13,190,1238058463,414
415,13,190,1273635178,415
416,26,190,1332354633,416
417,26,190,1332596063,417
418,34,190,1362623988,418
419,35,190,1370701544,419
420,26,190,1387486108,420
421,25,190,1493061406,421
422,13,192,1238058438,422
423,25,192,1493061407,423
424,13,193,1238058480,424
425,26,193,1387487097,425
426,25,193,1493061408,426
427,13,194,1238058432,427
428,26,194,1387487096,428
429,25,194,1493061409,429
430,13,195,1237195116,430
431,26,195,1387487092,431
432,25,195,1493061410,432
433,13,200,1237308422,433
434,26,200,1387488265,434
435,25,200,1431005512,435
436,25,200,1493061413,436
437,11,201,1218559657,437
438,31,201,1236214103,438
439,31,201,1236214262,439
440,35,201,1370701444,440
441,25,201,1448307543,441
442,25,201,1493061414,442
443,13,202,1237194905,443
444,26,202,1387488238,444
445,25,202,1493061416,445
446,13,203,1237308420,446
447,26,203,1387488232,447
448,25,203,1493061417,448
449,13,204,1237264464,449
450,29,204,1363875050,450
451,26,204,1387488228,451
452,27,204,1469929695,452
453,25,204,1493061418,453
454,13,208,1237452822,454
455,26,208,1387488222,455
456,27,208,1469929694,456
457,27,208,1480638944,457
458,25,208,1493061418,458
459,13,211,1237667719,459
460,26,211,1387488195,460
461,25,211,1493061423,461
462,13,212,1238117465,462
463,26,212,1387488192,463
464,25,212,1493061424,464
465,13,213,1238369344,465
466,25,213,1431005483,466
467,25,213,1493061425,467
468,13,216,1237160751,468
469,26,216,1387488189,469
470,25,216,1493061432,470
471,13,217,1237200259,471
472,26,217,1387488187,472
473,25,217,1493061433,473
474,13,219,1238058913,474
475,26,219,1387488184,475
476,25,219,1493061434,476
477,13,220,1237294512,477
478,26,220,1387488181,478
