,u,i,ts,idx
0,1,1,1075391019,0
1,1,2,1075391019,1
2,1,3,1077421583,2
3,1,4,1086462923,3
4,1,5,1086462923,4
5,1,6,1086462923,5
6,1,7,1086462923,6
7,1,8,1086462923,7
8,1,9,1086462923,8
9,1,10,1086462923,9
10,1,11,1086462923,10
11,1,12,1086462923,11
12,1,13,1086462923,12
13,1,14,1086462923,13
14,1,15,1086462923,14
15,1,16,1086462923,15
16,1,17,1086462923,16
17,1,18,1086462923,17
18,1,19,1086462923,18
19,1,20,1086462923,19
20,1,21,1086462923,20
21,1,22,1086462923,21
22,1,23,1086462923,22
23,1,24,1086462923,23
24,1,25,1086462923,24
25,1,26,1086462923,25
26,1,27,1086462923,26
27,1,28,1086462923,27
28,1,29,1086462923,28
29,1,30,1086462923,29
30,1,31,1086462923,30
31,1,32,1086462923,31
32,1,33,1086462923,32
33,1,34,1086462923,33
34,1,35,1086462923,34
35,1,36,1086462923,35
36,1,37,1086462923,36
37,1,38,1086462923,37
38,1,39,1086462923,38
39,1,40,1086462923,39
40,1,41,1086462923,40
41,1,42,1086462923,41
42,1,43,1086462923,42
43,1,44,1086462923,43
44,1,45,1086462923,44
45,1,46,1086462923,45
46,1,47,1086462923,46
47,1,48,1086462923,47
48,1,49,1086462923,48
49,1,50,1086462923,49
50,1,51,1086462923,50
51,1,52,1086462923,51
52,1,53,1086462923,52
53,1,54,1086462923,53
54,1,55,1086462923,54
55,1,56,1086462923,55
56,1,57,1086462923,56
57,1,58,1086462923,57
58,1,59,1086462923,58
59,1,60,1086462923,59
60,1,61,1086462923,60
61,1,62,1086462923,61
62,1,63,1086462923,62
63,1,64,1086462923,63
64,1,65,1086462923,64
65,1,66,1086462923,65
66,1,67,1086462923,66
67,1,68,1086462923,67
68,1,69,1086462923,68
69,1,70,1086462923,69
70,1,71,1086462923,70
71,1,72,1086462923,71
72,1,73,1086462923,72
73,1,74,1086462923,73
74,1,75,1086462923,74
75,1,76,1086462923,75
76,1,77,1086462923,76
77,1,78,1086462986,77
78,2,80,1114181088,78
79,2,80,1114188300,79
80,3,80,1429232911,80
81,4,81,1135211402,81
82,4,81,1443446016,82
83,4,82,1135211416,83
84,4,82,1135214741,84
85,4,82,1135690064,85
86,4,82,1140708730,86
87,5,83,1135905815,87
88,5,84,1135905910,88
89,4,85,1136453718,89
90,6,85,1140656713,90
91,7,85,1154402777,91
92,8,85,1181338037,92
93,8,85,1181339062,93
94,8,85,1181339277,94
95,8,85,1181339549,95
96,8,85,1181339809,96
97,8,85,1181343857,97
98,8,85,1181343908,98
99,8,85,1181347214,99
100,8,85,1181445944,100
101,9,85,1211838581,101
102,9,85,1214060008,102
103,10,85,1224515910,103
104,11,85,1226360016,104
105,12,85,1237376564,105
106,12,85,1237380412,106
107,12,85,1237887125,107
108,12,85,1237887307,108
109,12,85,1237888965,109
110,12,85,1238044519,110
111,12,85,1238213079,111
112,12,85,1238213321,112
113,12,85,1238213522,113
114,12,85,1239945109,114
115,12,85,1241698326,115
116,12,85,1241698491,116
117,13,85,1241976297,117
118,13,85,1241976581,118
119,12,85,1242296947,119
120,12,85,1242296994,120
121,12,85,1242300369,121
122,12,85,1242303629,122
123,12,85,1242303861,123
124,12,85,1242304219,124
125,13,85,1242310603,125
126,12,85,1242313053,126
127,13,85,1243852898,127
128,13,85,1243852960,128
129,13,85,1243852974,129
130,13,85,1243853056,130
131,13,85,1243853619,131
132,12,85,1244185389,132
133,11,85,1245750831,133
134,14,86,1137161957,134
135,14,87,1137161968,135
136,4,88,1137284077,136
137,4,89,1137284107,137
138,4,89,1140392463,138
139,15,90,1137392017,139
140,4,91,1137612981,140
141,16,92,1137765682,141
142,4,93,1140708669,142
143,4,94,1141852865,143
144,4,95,1141855106,144
145,4,96,1141855166,145
146,4,97,1145127360,146
147,17,98,1151850890,147
148,18,98,1277174399,148
149,18,98,1277175905,149
150,19,99,1160829106,150
151,19,100,1160829123,151
152,20,101,1162212412,152
153,18,101,1225272905,153
154,19,102,1167419858,154
155,21,102,1345617069,155
156,21,102,1424808201,156
157,22,103,1170020442,157
158,22,103,1170020485,158
159,3,103,1429232911,159
160,23,104,1170667653,160
161,23,105,1170667767,161
162,8,106,1181338366,162
163,8,107,1181338409,163
164,8,108,1181338894,164
165,8,108,1181338935,165
166,8,108,1181338981,166
167,8,108,1181341130,167
168,8,108,1181341283,168
169,12,108,1237887569,169
170,12,108,1237887918,170
171,8,109,1181339215,171
172,8,110,1181339744,172
173,8,110,1181340571,173
174,8,110,1181340704,174
175,13,110,1237977865,175
176,8,111,1181340123,176
177,8,112,1181340162,177
178,8,113,1181340202,178
179,8,114,1181340327,179
180,8,115,1181340369,180
181,8,116,1181341690,181
182,8,116,1181341798,182
183,8,116,1181342046,183
184,8,116,1181431231,184
185,8,116,1181431357,185
186,8,116,1181431704,186
187,24,116,1209939332,187
188,24,116,1211527168,188
189,25,116,1215514228,189
190,26,116,1237310644,190
191,26,116,1237326680,191
192,26,116,1237638589,192
193,12,116,1238582710,193
194,27,116,1242029423,194
195,26,116,1245147078,195
196,26,116,1250517463,196
197,26,116,1255404054,197
198,26,116,1279118653,198
199,26,116,1280663111,199
200,26,116,1284102641,200
201,26,116,1284679113,201
202,28,116,1296743607,202
203,28,116,1304209606,203
204,28,116,1312890740,204
205,29,116,1323048334,205
206,28,116,1324508511,206
207,29,116,1339303549,207
208,28,116,1340472015,208
209,30,116,1351104983,209
210,31,116,1367261423,210
211,30,116,1375135819,211
212,21,116,1405685611,212
213,21,116,1429348363,213
214,21,116,1430994302,214
215,32,116,1434114902,215
216,32,116,1435046458,216
217,32,116,1435419391,217
218,32,116,1435848661,218
219,21,116,1442519268,219
220,21,116,1444218130,220
221,21,116,1466526115,221
222,33,116,1472181325,222
223,33,116,1473043711,223
224,33,116,1473264057,224
225,33,116,1474376014,225
226,32,116,1486800592,226
227,34,116,1493457847,227
228,8,117,1181341700,228
229,8,117,1181341762,229
230,8,117,1181342219,230
231,8,117,1181342263,231
232,12,117,1237293115,232
233,12,117,1237293154,233
234,12,117,1238050152,234
235,12,117,1238050305,235
236,12,117,1238050366,236
237,12,117,1238584630,237
238,12,117,1238584722,238
239,12,117,1238584773,239
240,8,118,1181431854,240
241,8,118,1181432043,241
242,8,118,1181433101,242
243,12,118,1237293396,243
244,12,118,1237293605,244
245,8,119,1181432450,245
246,24,119,1211960144,246
247,26,119,1238291265,247
248,26,119,1239730193,248
249,12,119,1239960829,249
250,27,119,1242028935,250
251,26,119,1272294353,251
252,26,119,1275902680,252
253,26,119,1280855812,253
254,26,119,1282839446,254
255,21,119,1350889819,255
256,32,119,1434964695,256
257,34,119,1493458087,257
258,8,120,1181432644,258
259,8,120,1181433001,259
260,8,120,1181436939,260
261,26,120,1235345165,261
262,12,120,1238050445,262
263,12,120,1238050535,263
264,27,120,1242029374,264
265,26,120,1242396045,265
266,26,120,1247757405,266
267,26,120,1265363170,267
268,26,120,1273666063,268
