,u,i,ts,idx
0,1,1,1085763360,0
1,1,1,1086172978,1
2,1,1,1103781647,2
3,1,1,1119698882,3
4,2,1,1147120800,4
5,2,1,1147120837,5
6,2,1,1147126504,6
7,2,1,1147126534,7
8,2,1,1151149505,8
9,2,1,1151149585,9
10,1,2,1085763360,10
11,1,2,1086172978,11
12,1,2,1103781663,12
13,1,2,1119698883,13
14,1,2,1120400658,14
15,2,2,1147126462,15
16,1,3,1075380945,16
17,1,4,1075380945,17
18,1,5,1085763360,18
19,1,5,1086172978,19
20,1,5,1103781661,20
21,1,5,1119698883,21
22,3,5,1143983016,22
23,1,6,1085763360,23
24,1,6,1086172978,24
25,1,6,1103781659,25
26,1,6,1119698883,26
27,3,6,1143983003,27
28,1,7,1085763360,28
29,1,7,1086172978,29
30,1,7,1103781662,30
31,1,7,1119698883,31
32,1,7,1140919829,32
33,3,7,1143976335,33
34,3,7,1144047741,34
35,1,8,1085763360,35
36,1,8,1086172978,36
37,1,8,1103781663,37
38,1,8,1119698883,38
39,1,8,1140919829,39
40,1,8,1143528495,40
41,3,8,1143983029,41
42,4,8,1326461738,42
43,1,9,1085763360,43
44,1,9,1086172978,44
45,1,9,1103781669,45
46,1,9,1119698884,46
47,1,9,1120400659,47
48,1,9,1122635815,48
49,1,9,1124495014,49
50,1,9,1125914507,50
51,1,9,1131578525,51
52,1,9,1133300399,52
53,1,9,1133491825,53
54,1,9,1133497333,54
55,3,9,1143983042,55
56,1,10,1085763360,56
57,1,10,1086172978,57
58,1,10,1103781669,58
59,1,10,1119698884,59
60,1,10,1120400659,60
61,3,10,1143983055,61
62,1,11,1085763360,62
63,1,11,1086172978,63
64,1,11,1103781632,64
65,1,11,1119698881,65
66,3,11,1143983107,66
67,1,12,1085763360,67
68,1,12,1086172978,68
69,1,12,1103781630,69
70,1,12,1119698881,70
71,1,12,1122635809,71
72,3,12,1143983223,72
73,3,12,1143983349,73
74,1,13,1075380949,74
75,1,13,1077421596,75
76,5,13,1362130236,76
77,6,13,1362998796,77
78,7,14,1102156557,78
79,2,14,1136401868,79
80,2,14,1136428706,80
81,2,14,1136469364,81
82,2,14,1136469653,82
83,2,14,1136560930,83
84,2,14,1136651158,84
85,2,14,1137508537,85
86,2,14,1137510963,86
87,2,14,1137927524,87
88,8,14,1138588169,88
89,2,14,1142517791,89
90,9,14,1143813917,90
91,3,14,1143998368,91
92,10,14,1144074390,92
93,9,14,1144075210,93
94,9,14,1144075742,94
95,9,14,1144076971,95
96,9,14,1144077222,96
97,9,14,1144079796,97
98,9,14,1144080021,98
99,9,14,1144080087,99
100,9,14,1144080215,100
101,9,14,1144080539,101
102,9,14,1144080635,102
103,2,14,1145890067,103
104,9,14,1145914587,104
105,9,14,1145914636,105
106,2,14,1145925589,106
107,2,14,1145926347,107
108,2,14,1145958788,108
109,2,14,1146055631,109
110,2,14,1146361080,110
111,2,14,1146846287,111
112,11,14,1169670189,112
113,12,14,1190565675,113
114,13,14,1197542776,114
115,14,14,1216417819,115
116,15,14,1217056741,116
117,14,14,1218979507,117
118,14,14,1219792176,118
119,16,14,1235712428,119
120,17,14,1251910312,120
121,17,14,1251910326,121
122,17,14,1251910369,122
123,18,14,1270641379,123
124,19,14,1353770964,124
125,20,14,1354060686,125
126,21,14,1364660802,126
127,21,14,1364661088,127
128,21,14,1364661392,128
129,21,14,1364687370,129
130,21,14,1365273749,130
131,22,14,1390558512,131
132,23,14,1390996782,132
133,23,14,1390997976,133
134,23,14,1393216398,134
135,21,14,1393552965,135
136,24,14,1462297769,136
137,25,14,1485948695,137
138,25,14,1496237050,138
139,25,14,1496237533,139
140,25,14,1496240463,140
141,25,14,1496240903,141
142,25,14,1496240940,142
143,25,14,1496304186,143
144,25,14,1496305484,144
145,2,15,1136397601,145
146,2,15,1137508485,146
147,2,15,1137509405,147
148,2,15,1137708244,148
149,2,15,1137927548,149
150,3,15,1143977298,150
151,26,15,1175114962,151
152,27,15,1190938244,152
153,28,15,1198220359,153
154,29,15,1202616684,154
155,30,15,1206442021,155
156,29,15,1209270690,156
157,26,15,1212444611,157
158,29,15,1215366258,158
159,30,15,1215662449,159
160,31,15,1217002465,160
161,29,15,1220573445,161
162,29,15,1220672575,162
163,32,15,1238589298,163
164,33,15,1240956916,164
165,29,15,1241365403,165
166,32,15,1254585186,166
167,34,15,1262645431,167
168,35,15,1263621378,168
169,32,15,1274397168,169
170,35,15,1284455047,170
171,35,15,1286987484,171
172,35,15,1288622754,172
173,36,15,1290487158,173
174,37,15,1292033573,174
175,38,15,1307719265,175
176,39,15,1309338446,176
177,40,15,1311847486,177
178,32,15,1316578994,178
179,41,15,1318687644,179
180,35,15,1320125804,180
181,42,15,1320252825,181
182,30,15,1323157439,182
183,43,15,1326203473,183
184,35,15,1327579130,184
185,44,15,1327688560,185
186,36,15,1331079369,186
187,45,15,1331353689,187
188,22,15,1331910291,188
189,36,15,1332152231,189
190,46,15,1332445889,190
191,47,15,1334412045,191
192,36,15,1334454865,192
193,45,15,1336401777,193
194,36,15,1338471924,194
195,32,15,1340538971,195
196,36,15,1351851353,196
197,48,15,1355746804,197
198,32,15,1356413705,198
199,49,15,1357545575,199
200,50,15,1362673959,200
201,50,15,1362862659,201
202,51,15,1384352288,202
203,52,15,1428158990,203
204,53,15,1446560773,204
205,54,15,1454666752,205
206,54,15,1454667009,206
207,54,15,1454668352,207
208,24,15,1460999218,208
209,24,15,1462193311,209
210,24,15,1463148071,210
211,54,15,1466268279,211
212,54,15,1466268752,212
213,1,16,1085763360,213
214,1,16,1086172978,214
215,1,16,1103781655,215
216,1,16,1119698883,216
217,3,16,1143982990,217
218,1,17,1085763409,218
219,1,17,1086173074,219
220,5,17,1362129929,220
221,6,17,1362998117,221
222,55,18,1139216604,222
223,55,18,1139216620,223
224,2,18,1149266942,224
225,56,18,1171901268,225
226,57,18,1171901820,226
227,26,18,1171910605,227
