,u,i,ts,idx
0,1,1,1081042222,0
1,1,2,1081042221,1
2,1,3,1086463275,2
3,1,4,1086463275,3
4,1,5,1086463275,4
5,1,6,1086463275,5
6,1,7,1086463275,6
7,1,8,1086463275,7
8,1,9,1086463275,8
9,1,10,1086463275,9
10,1,11,1086463275,10
11,1,12,1086463275,11
12,1,13,1086463275,12
13,1,14,1086463275,13
14,1,15,1086463275,14
15,1,16,1086463275,15
16,1,17,1086463275,16
17,1,18,1086463275,17
18,1,19,1086463275,18
19,1,20,1086463275,19
20,1,21,1086463275,20
21,1,22,1086463275,21
22,1,23,1086463275,22
23,1,24,1086463275,23
24,1,25,1086463275,24
25,1,26,1086463275,25
26,1,27,1086463275,26
27,1,28,1086463275,27
28,1,29,1086463275,28
29,1,30,1086463275,29
30,1,31,1086463275,30
31,1,32,1086463275,31
32,1,33,1086463275,32
33,1,34,1086463275,33
34,1,35,1086463275,34
35,1,36,1086463275,35
36,1,37,1086463275,36
37,1,38,1086463275,37
38,1,39,1086463275,38
39,1,40,1086463275,39
40,1,41,1086463275,40
41,1,42,1086463275,41
42,1,43,1086463275,42
43,1,44,1086463275,43
44,1,45,1086463275,44
45,1,46,1086463275,45
46,1,47,1086463275,46
47,1,48,1086463275,47
48,1,49,1086463275,48
49,1,50,1086463275,49
50,1,51,1086463275,50
51,1,52,1086463275,51
52,1,53,1086463275,52
53,1,54,1086463275,53
54,1,55,1086463275,54
55,1,56,1086463275,55
56,1,57,1086463275,56
57,1,58,1086463275,57
58,1,59,1086463275,58
59,1,60,1086463275,59
60,1,61,1086463275,60
61,1,62,1086463275,61
62,1,63,1086463275,62
63,1,64,1086463275,63
64,1,65,1086463275,64
65,1,66,1086463275,65
66,1,67,1086463275,66
67,1,68,1086463275,67
68,1,69,1086463275,68
69,1,70,1086463275,69
70,1,71,1086463275,70
71,1,72,1086463275,71
72,1,73,1086463275,72
73,1,74,1086463275,73
74,1,75,1086463275,74
75,1,76,1086463275,75
76,1,77,1086463374,76
77,2,78,1100686221,77
78,2,78,1100688115,78
79,2,78,1101734121,79
80,2,78,1101736514,80
81,2,78,1101805864,81
82,2,78,1101806402,82
83,3,78,1140656734,83
84,4,78,1145591980,84
85,4,78,1148024787,85
86,5,78,1153030793,86
87,6,78,1154404521,87
88,5,78,1160152118,88
89,7,78,1185073106,89
90,7,78,1185073323,90
91,8,78,1190003837,91
92,8,78,1190004140,92
93,8,78,1191063588,93
94,9,78,1287754927,94
95,9,78,1327452403,95
96,10,78,1344247262,96
97,6,78,1384841675,97
98,6,78,1384841690,98
99,11,78,1459519773,99
100,12,78,1493063678,100
101,2,79,1100687198,101
102,2,79,1100687907,102
103,2,79,1100750845,103
104,3,79,1140656733,104
105,7,79,1184967918,105
106,9,79,1324500069,106
107,9,79,1327007609,107
108,13,79,1332025846,108
109,14,79,1339455155,109
110,13,79,1387501510,110
111,12,79,1431425461,111
112,12,79,1493063693,112
113,2,80,1101736138,113
114,2,80,1101736312,114
115,2,80,1101959707,115
116,3,80,1140656733,116
117,4,80,1145592254,117
118,5,80,1153030473,118
119,5,80,1160152087,119
120,5,80,1163534712,120
121,5,80,1164628386,121
122,5,80,1168214787,122
123,5,80,1171447583,123
124,5,80,1171720802,124
125,5,80,1171797952,125
126,5,80,1178004843,126
127,5,80,1212745013,127
128,15,80,1228045343,128
129,16,80,1234732897,129
130,16,80,1242497726,130
131,16,80,1248316258,131
132,16,80,1260647967,132
133,16,80,1280929954,133
134,16,80,1288502524,134
