,u,i,ts,idx
0,1,1,1096337385,0
1,2,2,1112629193,1
2,3,3,1112698338,2
3,3,3,1113681387,3
4,4,3,1429233414,4
5,5,4,1118214478,5
6,4,4,1429233407,6
7,6,5,1127789412,7
8,4,5,1429233411,8
9,7,6,1129672916,9
10,7,6,1130056801,10
11,7,6,1148578978,11
12,8,7,1131184194,12
13,8,7,1134723552,13
14,8,8,1131184222,14
15,8,8,1134724511,15
16,9,9,1131542156,16
17,10,10,1131907763,17
18,11,10,1310770648,18
19,11,10,1356217412,19
20,8,11,1134715299,20
21,8,11,1136524466,21
22,8,11,1137570472,22
23,12,12,1136130587,23
24,12,13,1136130599,24
25,13,14,1137530969,25
26,4,14,1429233408,26
27,14,15,1138130144,27
28,14,15,1354519312,28
29,15,16,1138290296,29
30,4,16,1429233407,30
31,16,17,1141537591,31
32,16,18,1141537697,32
33,16,18,1310643161,33
34,16,18,1315011270,34
35,16,18,1331968891,35
36,16,18,1401328533,36
37,16,18,1423092016,37
38,17,19,1143809688,38
39,17,19,1143886798,39
40,18,19,1212271451,40
41,19,19,1277173784,41
42,19,19,1277175221,42
43,20,19,1299589173,43
44,20,19,1310510156,44
45,18,19,1312365467,45
46,20,19,1316730023,46
47,20,19,1318524346,47
48,20,19,1320037869,48
49,20,19,1332951281,49
50,21,20,1145332610,50
51,22,21,1146330168,51
52,22,21,1444448790,52
53,23,22,1147034408,53
54,7,23,1148579052,54
55,24,24,1356801551,55
56,25,24,1362132443,56
57,26,24,1365106309,57
58,17,25,1150574903,58
59,27,26,1151427968,59
60,28,27,1154713815,60
61,28,27,1427848152,61
62,29,28,1159248550,62
63,30,29,1166473731,63
64,31,30,1167658578,64
65,31,30,1207845984,65
66,31,30,1210804032,66
67,31,30,1211536863,67
68,32,31,1169061056,68
69,33,31,1190670212,69
70,34,31,1216805678,70
71,35,31,1232442598,71
72,25,31,1232631199,72
73,36,31,1233309518,73
74,18,31,1234030700,74
75,36,31,1234363553,75
76,25,31,1235469117,76
77,25,31,1235480466,77
78,37,31,1236569175,78
79,36,31,1236671858,79
80,38,31,1239031150,80
81,36,31,1240479182,81
82,25,31,1242805143,82
83,39,31,1244686250,83
84,40,31,1244919353,84
85,37,31,1245253500,85
86,41,31,1245846141,86
87,36,31,1246303868,87
88,39,31,1247388716,88
89,39,31,1247448189,89
90,42,31,1250546416,90
91,42,31,1251590504,91
92,42,31,1251593205,92
93,42,31,1251829370,93
94,42,31,1251846036,94
95,43,31,1252855516,95
96,42,31,1253053057,96
97,42,31,1253130368,97
98,44,31,1253432981,98
99,42,31,1253738182,99
100,45,31,1254141849,100
101,42,31,1255036321,101
102,42,31,1255374929,102
103,42,31,1256848962,103
104,43,31,1256876445,104
105,45,31,1257939286,105
106,42,31,1258662283,106
107,42,31,1258765603,107
108,42,31,1258895478,108
109,43,31,1258911992,109
110,46,31,1258983140,110
111,45,31,1259579406,111
112,42,31,1259615915,112
113,39,31,1259682490,113
114,45,31,1259696978,114
115,45,31,1259719753,115
116,45,31,1261149771,116
117,42,31,1261156734,117
118,42,31,1261167622,118
119,42,31,1262209617,119
120,42,31,1269214220,120
121,38,31,1270824939,121
122,41,31,1270828443,122
123,36,31,1270838105,123
124,41,31,1270839865,124
125,41,31,1270851871,125
126,38,31,1271003502,126
127,25,31,1274186970,127
128,25,31,1274187380,128
129,25,31,1274258038,129
130,38,31,1276631447,130
131,38,31,1276786270,131
132,42,31,1276810132,132
133,36,31,1276851706,133
134,41,31,1277541912,134
135,47,31,1279664310,135
136,38,31,1282565599,136
137,38,31,1282570769,137
138,48,31,1285619563,138
139,45,31,1285640195,139
140,36,31,1285836468,140
141,41,31,1285842574,141
142,36,31,1288018982,142
143,49,31,1288576603,143
144,50,31,1289103580,144
145,49,31,1289450025,145
146,49,31,1290324996,146
147,36,31,1291533012,147
148,38,31,1291649767,148
149,51,31,1296900371,149
150,52,31,1313056852,150
151,52,31,1313445311,151
152,52,31,1313559439,152
153,52,31,1318812441,153
154,52,31,1329444461,154
155,52,31,1329503855,155
156,25,31,1330422881,156
157,52,31,1333387845,157
158,52,31,1334604754,158
159,52,31,1336967621,159
160,25,31,1336982166,160
161,25,31,1336985327,161
162,53,31,1339319335,162
163,52,31,1340949962,163
164,54,31,1341778626,164
165,52,31,1344874985,165
166,55,31,1344879243,166
167,52,31,1358345320,167
168,52,31,1362523476,168
169,26,31,1362673959,169
170,26,31,1376857972,170
171,56,32,1075387244,171
172,25,32,1362038136,172
173,57,32,1362998203,173
174,32,33,1169224707,174
175,32,33,1173137385,175
176,32,33,1212146745,176
177,58,34,1170405280,177
178,58,35,1170405327,178
179,59,36,1170623441,179
180,19,36,1225271294,180
181,32,37,1170627366,181
182,32,37,1170627391,182
183,32,37,1170627498,183
184,32,37,1170627517,184
185,32,37,1171964592,185
186,32,37,1172617832,186
187,32,37,1172958168,187
188,32,37,1174809517,188
189,32,37,1174826882,189
190,32,37,1174826909,190
191,32,37,1175543857,191
192,32,37,1175543869,192
193,32,37,1176583301,193
194,32,37,1177346728,194
195,32,37,1177483500,195
196,32,37,1178529337,196
197,60,38,1171593946,197
198,60,38,1182297335,198
199,60,38,1194091837,199
200,60,38,1195377760,200
201,60,38,1213636863,201
202,61,38,1288366711,202
203,45,38,1295812112,203
204,62,39,1172781777,204
205,58,39,1176177102,205
206,63,39,1176221080,206
207,32,39,1176583157,207
208,31,39,1180911556,208
209,62,39,1182377807,209
210,31,39,1188205648,210
211,64,39,1191640044,211
212,65,39,1191640065,212
213,66,39,1191813336,213
214,65,39,1191813526,214
215,40,39,1192798437,215
216,67,39,1197194042,216
217,67,39,1197194103,217
218,40,39,1198225808,218
219,68,39,1202616550,219
220,69,39,1212411617,220
221,68,39,1215575674,221
222,34,39,1216659599,222
223,34,39,1219853420,223
224,34,39,1219855722,224
225,34,39,1220274957,225
226,34,39,1220275093,226
227,34,39,1220275164,227
228,34,39,1220275196,228
229,68,39,1220573367,229
230,34,39,1223533740,230
231,34,39,1225370898,231
232,70,39,1226778000,232
233,36,39,1227180342,233
234,34,39,1228199344,234
235,71,39,1258795312,235
236,72,39,1264920260,236
237,31,39,1277087844,237
238,73,39,1286947657,238
239,74,39,1288753316,239
240,41,39,1288882427,240
241,75,39,1309337874,241
242,73,39,1310989565,242
243,47,39,1311905183,243
244,73,39,1320046302,244
245,76,39,1320250275,245
246,61,39,1326295797,246
247,47,39,1329838694,247
248,18,39,1334306996,248
249,77,39,1334796629,249
250,38,39,1336108684,250
251,47,39,1336516701,251
252,47,39,1338471706,252
253,78,39,1340611351,253
254,79,39,1351518028,254
255,47,39,1358717200,255
256,47,39,1358907352,256
257,47,39,1361816447,257
258,26,39,1362673996,258
259,26,39,1362749007,259
260,80,39,1380786603,260
261,80,39,1380787199,261
262,81,39,1400497614,262
263,81,39,1400497638,263
264,81,39,1400497809,264
265,34,39,1419952481,265
266,82,39,1454381993,266
267,83,39,1456009297,267
268,34,39,1457262308,268
269,34,39,1457893388,269
270,34,39,1463405076,270
271,84,39,1493405372,271
272,35,40,1173019881,272
273,35,41,1173019912,273
274,51,41,1249792639,274
275,51,41,1282043203,275
276,85,42,1173597798,276
277,51,42,1173599965,277
278,51,42,1173630034,278
279,51,42,1173641689,279
280,51,42,1173645099,280
281,51,42,1173733910,281
282,51,42,1174241412,282
283,51,42,1174246922,283
284,51,42,1178347921,284
285,51,42,1178397865,285
286,51,42,1179044717,286
287,51,42,1190054118,287
288,51,42,1194691887,288
289,51,42,1198506816,289
290,51,42,1198586452,290
291,51,42,1201467603,291
292,51,42,1204296686,292
293,51,42,1207689603,293
294,51,42,1212458622,294
295,51,42,1213084337,295
296,51,42,1213209028,296
297,51,42,1231834658,297
298,51,42,1267206678,298
299,51,42,1267211712,299
300,51,42,1267298126,300
301,51,42,1269550919,301
302,51,42,1284404950,302
303,51,42,1287910568,303
304,51,42,1290367617,304
305,51,42,1296239717,305
306,51,42,1300896871,306
307,51,42,1300961219,307
308,51,42,1310662955,308
309,51,42,1320242460,309
310,51,42,1331045000,310
311,51,42,1333457733,311
312,85,43,1173597808,312
313,51,44,1173628514,313
314,51,44,1173633032,314
315,51,44,1173638304,315
316,51,44,1173645089,316
317,51,44,1173687876,317
318,51,44,1173733900,318
319,51,44,1174241424,319
320,51,44,1174246935,320
321,51,44,1178357031,321
322,51,44,1178388176,322
323,51,44,1179049867,323
324,51,44,1190054095,324
325,51,44,1194699478,325
326,51,44,1198514429,326
327,51,44,1198586429,327
328,51,44,1201499741,328
329,51,44,1204298524,329
330,51,44,1207689603,330
331,51,44,1212992872,331
332,51,44,1213084321,332
333,51,44,1213251368,333
334,51,44,1231879832,334
335,51,44,1267210067,335
336,51,44,1267216376,336
337,51,44,1267298004,337
338,51,44,1269586720,338
339,51,44,1284419654,339
340,51,44,1287915005,340
341,51,44,1290367625,341
342,51,44,1296236501,342
343,51,44,1300900294,343
344,51,44,1300957522,344
345,51,44,1310663092,345
346,51,44,1320244664,346
347,51,44,1331050832,347
348,51,44,1333457922,348
349,51,45,1173628524,349
350,86,46,1174578762,350
351,86,46,1213365899,351
352,87,47,1175370081,352
353,87,48,1175370097,353
354,87,48,1176585994,354
355,87,48,1177722993,355
356,87,48,1177726162,356
357,87,48,1178515674,357
358,61,48,1290251468,358
359,87,49,1175370120,359
360,87,50,1175370131,360
361,87,51,1175370140,361
362,32,52,1175543857,362
363,87,53,1176093171,363
364,32,53,1176582911,364
365,32,53,1176582981,365
366,32,53,1176583020,366
367,32,53,1176583198,367
368,32,53,1176583237,368
369,32,53,1176583356,369
370,88,54,1176405702,370
371,4,54,1429233409,371
372,87,55,1176585989,372
373,87,55,1177722984,373
374,87,55,1178515668,374
375,87,56,1176586001,375
376,87,57,1177722999,376
377,31,58,1180911542,377
378,68,58,1187327243,378
379,67,58,1188837572,379
380,89,58,1189617008,380
381,68,58,1192261838,381
382,40,58,1194224993,382
383,69,58,1200057162,383
384,68,58,1200637075,384
385,68,58,1204138040,385
386,36,58,1206388381,386
387,68,58,1208996230,387
388,68,58,1210260301,388
389,90,58,1212448605,389
390,90,58,1212448620,390
391,90,58,1212448633,391
392,90,58,1212448652,392
393,90,58,1212448680,393
394,90,58,1212448773,394
395,90,58,1212448806,395
396,45,58,1212462401,396
397,91,58,1214796161,397
398,36,58,1215538025,398
399,36,58,1216925723,399
400,68,58,1218519691,400
401,68,58,1220101925,401
402,68,58,1220465852,402
403,36,58,1222098565,403
404,25,58,1222420314,404
405,18,58,1227140625,405
406,92,58,1228881674,406
407,70,58,1230841411,407
408,37,58,1232884915,408
409,36,58,1234713539,409
410,68,58,1239926222,410
411,70,58,1243653263,411
412,70,58,1245581391,412
413,68,58,1248098482,413
414,68,58,1250401214,414
415,71,58,1250500065,415
416,68,58,1250785861,416
417,68,58,1253422340,417
418,91,58,1256059291,418
419,31,58,1265913463,419
420,39,58,1269275895,420
421,36,58,1271429665,421
422,43,58,1271870419,422
423,45,58,1272915870,423
424,45,58,1273341046,424
425,38,58,1273957993,425
426,20,58,1275695030,426
427,20,58,1276058768,427
428,45,58,1279060877,428
429,68,58,1282352624,429
430,38,58,1287742620,430
431,38,58,1290273524,431
432,73,58,1296581026,432
433,47,58,1296914493,433
434,31,58,1299238352,434
435,93,58,1299961451,435
436,75,58,1307066783,436
437,73,58,1311414917,437
438,94,58,1311686491,438
439,73,58,1312926480,439
440,25,58,1313748662,440
441,95,58,1315562738,441
442,75,58,1320073929,442
