,u,i,ts,idx
0,1,1,1376201562,0
1,1,3,1376195412,1
2,1,3,1376199466,2
3,1,4,1376195451,3
4,1,4,1425603268,4
5,2,5,1376195918,5
6,3,6,1376196060,6
7,4,6,1381682841,7
8,5,7,1366996788,8
9,5,7,1366997128,9
10,5,7,1366997274,10
11,6,7,1367158580,11
12,6,7,1367158637,12
13,6,7,1367159350,13
14,6,7,1367456252,14
15,6,7,1368626363,15
16,6,7,1368626410,16
17,6,7,1368626548,17
18,6,7,1368626584,18
19,6,7,1368626606,19
20,6,7,1368626743,20
21,6,7,1368626767,21
22,6,7,1368626937,22
23,6,7,1368627410,23
24,1,7,1376196120,24
25,6,7,1377280027,25
26,6,7,1377280077,26
27,6,7,1377280090,27
28,7,7,1395631094,28
29,6,7,1416803373,29
30,6,7,1416803420,30
31,8,8,1363256167,31
32,6,8,1363331776,32
33,6,8,1363331824,33
34,9,8,1369890367,34
35,9,8,1369890438,35
36,6,8,1369922080,36
37,1,8,1376196121,37
38,6,8,1377340442,38
39,6,8,1406557988,39
40,10,8,1488038319,40
41,11,9,1363886078,41
42,11,9,1363886148,42
43,11,9,1363886351,43
44,6,9,1363928146,44
45,6,9,1363929243,45
46,1,9,1376196121,46
47,6,9,1381176950,47
48,6,9,1381177731,48
49,10,9,1488038329,49
50,8,10,1363255617,50
51,6,10,1363331711,51
52,6,10,1363331800,52
53,6,10,1374253709,53
54,6,10,1374253849,54
55,1,10,1376196121,55
56,12,10,1376836291,56
57,6,11,1343371757,57
58,6,11,1343372498,58
59,6,11,1343372544,59
60,13,11,1343414516,60
61,6,11,1349636413,61
62,1,11,1376196122,62
63,6,11,1383300107,63
64,7,11,1395581070,64
65,14,11,1395600124,65
66,6,11,1431306683,66
67,15,12,1343721141,67
68,6,12,1343739573,68
69,6,12,1349641975,69
70,6,12,1349641989,70
71,6,12,1349642022,71
72,6,12,1350107400,72
73,1,12,1376196122,73
74,6,12,1377280125,74
75,6,12,1379492529,75
76,10,12,1488038339,76
77,5,13,1363369449,77
78,5,13,1363369657,78
79,5,13,1363369760,79
80,6,13,1363421714,80
81,6,13,1363421741,81
82,1,13,1376196123,82
83,6,13,1377340403,83
84,6,13,1379492669,84
85,16,13,1390772046,85
86,10,13,1488038349,86
