,u,i,ts,idx
0,1,1,1075389873,0
1,1,2,1075389873,1
2,1,3,1077421694,2
3,1,4,1086464211,3
4,1,5,1086464211,4
5,1,6,1086464211,5
6,1,7,1086464211,6
7,1,8,1086464211,7
8,1,9,1086464211,8
9,1,10,1086464211,9
10,1,11,1086464211,10
11,1,12,1086464211,11
12,1,13,1086464211,12
13,1,14,1086464211,13
14,1,15,1086464211,14
15,1,16,1086464211,15
16,1,17,1086464211,16
17,1,18,1086464211,17
18,1,19,1086464211,18
19,1,20,1086464211,19
20,1,21,1086464211,20
21,1,22,1086464211,21
22,1,23,1086464211,22
23,1,24,1086464211,23
24,1,25,1086464211,24
25,1,26,1086464211,25
26,1,27,1086464211,26
27,1,28,1086464211,27
28,1,29,1086464211,28
29,1,30,1086464211,29
30,1,31,1086464211,30
31,1,32,1086464211,31
32,1,33,1086464211,32
33,1,34,1086464211,33
34,1,35,1086464211,34
35,1,36,1086464211,35
36,1,37,1086464211,36
37,1,38,1086464211,37
38,1,39,1086464211,38
39,1,40,1086464211,39
40,1,41,1086464211,40
41,1,42,1086464211,41
42,1,43,1086464211,42
43,1,44,1086464211,43
44,1,45,1086464211,44
45,1,46,1086464211,45
46,1,47,1086464211,46
47,1,48,1086464211,47
48,1,49,1086464211,48
49,1,50,1086464211,49
50,1,51,1086464211,50
51,1,52,1086464211,51
52,1,53,1086464211,52
53,1,54,1086464211,53
54,1,55,1086464211,54
55,1,56,1086464211,55
56,1,57,1086464211,56
57,1,58,1086464211,57
58,1,59,1086464211,58
59,1,60,1086464211,59
60,1,61,1086464211,60
61,1,62,1086464211,61
62,1,63,1086464211,62
63,1,64,1086464211,63
64,1,65,1086464211,64
65,1,66,1086464211,65
66,1,67,1086464211,66
67,1,68,1086464211,67
68,1,69,1086464211,68
69,1,70,1086464211,69
70,1,71,1086464211,70
71,1,72,1086464211,71
72,1,73,1086464211,72
73,1,74,1086464211,73
74,1,75,1086464211,74
75,1,76,1086464211,75
76,1,77,1086464211,76
77,1,78,1086464280,77
78,2,80,1114209861,78
79,3,80,1429242177,79
80,4,81,1135908826,80
81,4,82,1135908935,81
82,5,83,1136454313,82
83,5,83,1195927249,83
84,5,83,1442792514,84
85,5,84,1136454405,85
86,5,84,1195930490,86
87,5,84,1195930916,87
88,6,85,1137766359,88
89,7,86,1151851046,89
90,8,86,1277174430,90
91,8,86,1277175940,91
92,9,87,1154409561,92
93,10,87,1312034041,93
94,10,87,1316830098,94
95,11,88,1162202424,95
96,12,88,1337723484,96
97,12,88,1424808222,97
98,13,89,1162213513,98
99,14,89,1221397956,99
100,8,89,1225272975,100
101,11,90,1162328458,101
102,11,91,1162328478,102
103,15,92,1171440751,103
104,15,92,1173402647,104
105,15,93,1171440774,105
106,16,94,1184714594,106
107,16,94,1228852828,107
