,u,i,ts,idx
0,1,1,1067467224,0
1,1,1,1068560725,1
2,1,1,1069508231,2
3,1,1,1069593739,3
4,1,1,1070544383,4
5,2,1,1081084930,5
6,2,1,1082556140,6
7,2,1,1082722562,7
8,3,1,1085636659,8
9,3,1,1089979072,9
10,4,1,1103315916,10
11,4,1,1103315955,11
12,5,1,1120343164,12
13,5,1,1120343401,13
14,6,1,1123806961,14
15,6,1,1123807466,15
16,6,1,1123807539,16
17,6,1,1123807719,17
18,6,1,1123813984,18
19,7,1,1135023735,19
20,8,1,1179108025,20
21,8,1,1179108840,21
22,8,1,1179110504,22
23,8,1,1179117048,23
24,8,1,1179117061,24
25,4,1,1185904658,25
26,4,1,1189176270,26
27,4,1,1189907512,27
28,4,1,1189907552,28
29,9,1,1194783761,29
30,10,1,1194803695,30
31,4,1,1208647452,31
32,4,1,1213584042,32
33,11,1,1216066477,33
34,11,1,1216129859,34
35,11,1,1216129973,35
36,11,1,1218838207,36
37,11,1,1219789057,37
38,12,1,1231797712,38
39,13,1,1281139105,39
40,14,1,1337678957,40
41,14,1,1337679085,41
42,14,1,1337679182,42
43,14,1,1337679232,43
44,14,1,1337679261,44
45,14,1,1337679400,45
46,14,1,1337779931,46
47,14,1,1337780076,47
48,14,1,1337780185,48
49,14,1,1337780226,49
50,14,1,1337780306,50
51,15,1,1359789977,51
52,16,1,1362673970,52
53,17,1,1362997941,53
54,18,1,1372638284,54
55,19,1,1372638326,55
56,20,1,1433480008,56
57,20,1,1433480027,57
58,21,1,1436801170,58
59,21,1,1436801189,59
60,21,1,1441955351,60
61,22,2,1055121178,61
62,2,2,1082722552,62
63,23,2,1145491695,63
64,24,2,1172147885,64
65,24,2,1172238258,65
66,25,2,1172739251,66
67,26,2,1197025768,67
68,24,2,1202149011,68
69,27,2,1212367523,69
70,24,2,1214911280,70
71,28,2,1215827373,71
72,29,2,1215828210,72
73,30,2,1225189312,73
74,31,2,1225306353,74
75,32,2,1226804518,75
76,24,2,1228813429,76
77,24,2,1229021558,77
78,24,2,1229542078,78
79,33,2,1231806659,79
80,25,2,1232292893,80
81,33,2,1233261925,81
82,31,2,1233727118,82
83,33,2,1234164110,83
84,24,2,1236652460,84
85,34,2,1237601736,85
86,33,2,1238427311,86
87,24,2,1238756322,87
88,35,2,1238827966,88
89,36,2,1239906205,89
90,36,2,1241183144,90
91,36,2,1241729555,91
92,37,2,1242979047,92
93,37,2,1245641271,93
94,24,2,1246608592,94
95,36,2,1247148006,95
96,36,2,1247675008,96
97,37,2,1250461393,97
98,36,2,1252635287,98
99,37,2,1252792332,99
100,38,2,1253614396,100
101,36,2,1254430327,101
102,37,2,1259832217,102
103,37,2,1260491589,103
104,39,2,1269629549,104
105,24,2,1279701705,105
106,34,2,1282332773,106
107,40,2,1290705927,107
108,36,2,1291416483,108
109,36,2,1293248056,109
110,41,2,1294452871,110
111,42,2,1295188827,111
112,43,2,1296255965,112
113,44,2,1298183676,113
114,33,2,1300270032,114
115,45,2,1300356799,115
116,43,2,1300357469,116
117,43,2,1300492171,117
118,43,2,1300756025,118
119,43,2,1301514220,119
120,36,2,1301799744,120
121,41,2,1301931661,121
122,43,2,1302147348,122
123,46,2,1302707168,123
124,43,2,1304568891,124
125,43,2,1305916263,125
126,47,2,1306215992,126
127,48,2,1307746096,127
128,49,2,1309244404,128
129,44,2,1310520799,129
130,50,2,1310668870,130
131,44,2,1317805367,131
132,51,2,1318438451,132
133,41,2,1319376439,133
134,52,2,1320077925,134
135,15,2,1320624491,135
136,41,2,1320660683,136
137,53,2,1323533602,137
138,43,2,1326382875,138
139,44,2,1328002541,139
140,54,2,1330905983,140
141,54,2,1332453394,141
142,44,2,1339608042,142
143,15,2,1344577856,143
144,44,2,1350957881,144
145,55,2,1352615833,145
146,15,2,1352851023,146
147,44,2,1353004336,147
148,40,2,1356826760,148
149,44,2,1359157578,149
150,15,2,1360266589,150
151,15,2,1361620115,151
152,56,2,1361636475,152
153,15,2,1362411526,153
154,16,2,1362673981,154
155,20,2,1395001191,155
156,57,2,1496576730,156
157,58,3,1075391130,157
158,58,4,1075391130,158
159,2,5,1081088677,159
160,16,5,1362673992,160
161,59,5,1388051216,161
162,60,5,1388068844,162
163,61,6,1096338498,163
164,62,7,1097849293,164
165,62,8,1097920918,165
166,4,9,1104020168,166
167,4,9,1104020557,167
168,4,9,1104020585,168
169,38,9,1162900580,169
170,63,9,1182103597,170
171,24,9,1227099162,171
172,33,9,1232892130,172
173,36,9,1263072407,173
174,50,9,1273181935,174
175,44,9,1311142101,175
176,16,9,1362674011,176
177,20,9,1395529208,177
178,4,10,1102031931,178
179,4,10,1102032047,179
180,4,10,1102032119,180
181,4,10,1104019115,181
182,4,10,1331085961,182
183,4,10,1365181002,183
184,4,10,1436325552,184
185,4,10,1436325593,185
186,4,10,1436326438,186
187,4,11,1103314930,187
188,4,12,1104019039,188
189,64,13,1160857213,189
190,65,13,1187857010,190
191,65,13,1187857082,191
192,66,13,1297130281,192
193,67,13,1363398410,193
194,4,13,1365180972,194
195,4,13,1365181071,195
196,68,14,1112638551,196
197,69,15,1112698620,197
198,69,15,1113681495,198
199,70,15,1429242217,199
200,5,16,1120343479,200
201,71,16,1135284036,201
202,63,16,1168179465,202
203,25,16,1170928108,203
204,25,16,1171282866,204
205,63,16,1173035485,205
206,25,16,1175083274,206
207,63,16,1180104085,207
208,30,16,1181756030,208
209,72,16,1195796626,209
210,72,16,1198489489,210
211,28,16,1215825677,211
212,29,16,1215827944,212
213,11,16,1216040673,213
214,24,16,1228819514,214
215,30,16,1230526906,215
216,33,16,1233321227,216
217,24,16,1236871046,217
218,25,16,1238597878,218
219,73,16,1239085202,219
220,37,16,1243052127,220
221,36,16,1252068605,221
222,38,16,1274827489,222
223,38,16,1274828406,223
224,50,16,1276021294,224
225,36,16,1276502224,225
226,63,16,1277055276,226
227,36,16,1277268115,227
228,37,16,1281916114,228
229,44,16,1287021258,229
230,36,16,1287439553,230
231,50,16,1287833388,231
232,42,16,1294875098,232
233,50,16,1305750920,233
234,50,16,1310924691,234
235,74,16,1311881929,235
236,36,16,1318478911,236
237,50,16,1320125624,237
238,75,16,1320253583,238
239,76,16,1326219790,239
240,77,16,1327618541,240
241,33,16,1328273954,241
242,9,16,1330194332,242
243,78,16,1330346342,243
244,9,16,1330479356,244
245,44,16,1332980391,245
246,54,16,1336593513,246
247,44,16,1338471143,247
248,36,16,1338600324,248
249,79,16,1340247440,249
250,79,16,1340247468,250
251,79,16,1340247500,251
252,80,16,1340401022,252
253,55,16,1340611844,253
254,44,16,1346575617,254
255,81,16,1346620949,255
256,82,16,1362611895,256
257,36,16,1362622309,257
258,16,16,1362674021,258
259,83,16,1376011479,259
260,84,16,1394807034,260
261,20,16,1395004647,261
262,84,16,1396509608,262
263,85,16,1415135105,263
264,20,16,1433481795,264
265,21,16,1435234884,265
266,86,16,1441732190,266
267,87,16,1442757401,267
268,88,16,1445429029,268
269,88,16,1445429209,269
270,89,16,1461927097,270
271,89,16,1461930905,271
272,89,16,1461930987,272
273,89,16,1461934215,273
274,90,16,1461936212,274
275,90,16,1461936618,275
276,21,16,1462263407,276
277,21,16,1462263420,277
278,21,16,1462263445,278
279,84,16,1487768331,279
280,6,17,1124181302,280
281,6,17,1124181337,281
282,6,17,1124181386,282
283,91,17,1131423639,283
284,91,17,1134730069,284
285,7,17,1135023424,285
286,91,17,1135879068,286
287,92,17,1136633924,287
288,92,17,1137432680,288
289,92,17,1137580176,289
290,8,17,1179108840,290
291,8,17,1179115534,291
292,93,17,1198073398,292
293,93,17,1198073431,293
294,94,17,1236935690,294
295,94,17,1236935903,295
296,85,17,1396207452,296
297,85,17,1396207462,297
298,95,18,1118214078,298
299,70,18,1429242203,299
300,25,19,1168253372,300
301,63,19,1169205154,301
302,63,19,1170241777,302
303,25,19,1171488183,303
304,25,19,1171901781,304
305,25,19,1171907772,305
306,25,19,1172260759,306
307,53,19,1173444284,307
308,25,19,1174134618,308
309,63,19,1174450161,309
310,25,19,1176813832,310
311,38,19,1182062513,311
312,30,19,1186583402,312
313,37,19,1187572590,313
314,4,19,1187619727,314
315,37,19,1188809778,315
316,26,19,1188902803,316
317,72,19,1189204689,317
318,96,19,1189641576,318
319,96,19,1189881453,319
320,37,19,1190711818,320
321,24,19,1201429508,321
322,37,19,1201954838,322
323,97,19,1202679936,323
324,97,19,1202822717,324
325,97,19,1204135793,325
326,33,19,1204782341,326
327,33,19,1204980192,327
328,97,19,1205080007,328
329,98,19,1211198541,329
330,97,19,1214170164,330
331,97,19,1214594896,331
332,24,19,1214983673,332
333,33,19,1215439304,333
334,25,19,1217167111,334
335,33,19,1217930345,335
336,37,19,1217997256,336
337,37,19,1218383987,337
338,37,19,1219118696,338
339,33,19,1219934389,339
340,32,19,1220348955,340
341,33,19,1221900862,341
342,97,19,1222379223,342
343,31,19,1223420997,343
344,32,19,1226408882,344
345,31,19,1226793631,345
346,33,19,1227429144,346
347,24,19,1228734737,347
348,32,19,1229166553,348
349,35,19,1232759074,349
350,53,19,1233018862,350
351,33,19,1233093699,351
352,53,19,1233267683,352
353,99,19,1233371356,353
354,24,19,1233659023,354
355,24,19,1236162162,355
356,100,19,1238132719,356
357,36,19,1239373303,357
358,35,19,1239989513,358
359,101,19,1240182881,359
360,98,19,1241949166,360
361,24,19,1244042026,361
362,102,19,1244340064,362
363,34,19,1244350606,363
364,103,19,1246103221,364
365,37,19,1247618893,365
366,34,19,1249431912,366
367,37,19,1249743996,367
368,38,19,1250499576,368
369,101,19,1250545763,369
370,104,19,1251129405,370
371,105,19,1251597801,371
372,101,19,1251727265,372
373,36,19,1252004066,373
374,36,19,1252900402,374
375,36,19,1252984439,375
376,36,19,1253075652,376
377,36,19,1253244776,377
378,25,19,1253687303,378
379,37,19,1253777597,379
380,31,19,1254568074,380
381,106,19,1254730199,381
382,34,19,1255526938,382
383,107,19,1257837459,383
384,37,19,1259042027,384
385,25,19,1259568134,385
386,108,19,1259677343,386
387,35,19,1259715004,387
388,37,19,1261012345,388
389,37,19,1261283583,389
390,25,19,1262207741,390
391,63,19,1265102062,391
392,34,19,1267061770,392
393,109,19,1267746431,393
394,36,19,1268891317,394
395,36,19,1271305993,395
396,36,19,1271888580,396
397,33,19,1271921585,397
398,75,19,1275081321,398
399,34,19,1275421127,399
400,36,19,1276041734,400
401,33,19,1276338483,401
402,36,19,1276833771,402
403,36,19,1278201865,403
404,44,19,1279193261,404
405,36,19,1279839160,405
406,25,19,1280778212,406
407,44,19,1280874192,407
408,106,19,1281709994,408
409,36,19,1287718122,409
410,44,19,1289671052,410
411,36,19,1290304235,411
412,51,19,1291562519,412
413,36,19,1292474032,413
414,42,19,1294170225,414
415,36,19,1294209308,415
416,110,19,1295289630,416
417,43,19,1295547423,417
418,45,19,1295552066,418
419,43,19,1296253089,419
420,9,19,1297435347,420
421,111,19,1298946058,421
422,44,19,1300735477,422
423,50,19,1302976440,423
424,46,19,1303198078,424
425,43,19,1304552481,425
426,51,19,1306434750,426
427,50,19,1308397219,427
428,44,19,1310302459,428
429,44,19,1310352195,429
430,75,19,1311520290,430
431,111,19,1311935770,431
432,76,19,1313200213,432
433,51,19,1315758557,433
434,40,19,1319408470,434
435,105,19,1320228225,435
436,112,19,1320296702,436
437,36,19,1320722518,437
438,82,19,1321035495,438
439,36,19,1323313491,439
440,44,19,1327807287,440
441,51,19,1328293768,441
442,44,19,1331028583,442
443,36,19,1331487008,443
444,54,19,1331512894,444
445,44,19,1332746390,445
446,82,19,1333275007,446
447,54,19,1333649549,447
448,15,19,1333675090,448
449,113,19,1336751847,449
450,44,19,1338847269,450
451,113,19,1340188973,451
452,36,19,1341006636,452
453,44,19,1342275937,453
454,36,19,1342303757,454
455,15,19,1342351315,455
456,113,19,1342471736,456
457,114,19,1343317580,457
458,115,19,1346414020,458
459,82,19,1346909155,459
460,36,19,1348402069,460
461,44,19,1352006378,461
462,44,19,1352207367,462
463,36,19,1352375334,463
464,36,19,1352426368,464
465,44,19,1352580478,465
466,116,19,1355063740,466
467,36,19,1359414184,467
468,16,19,1362674032,468
469,117,19,1369639658,469
470,118,19,1380617905,470
471,118,19,1380617947,471
472,20,19,1395000991,472
473,20,19,1395001000,473
474,84,19,1405518994,474
475,84,19,1405592615,475
476,84,19,1405601589,476
477,84,19,1405603975,477
478,84,19,1405608753,478
479,84,19,1405609835,479
480,84,19,1405609904,480
481,21,19,1436799261,481
482,21,19,1436799333,482
483,21,19,1436799359,483
484,21,19,1436799376,484
485,21,19,1436799500,485
486,21,19,1436799849,486
487,21,19,1436799884,487
488,21,19,1436863802,488
489,21,19,1436863869,489
490,57,19,1437561961,490
491,57,19,1454842487,491
492,57,19,1455410221,492
493,98,19,1469585319,493
494,23,20,1145491555,494
495,25,20,1166130001,495
496,25,20,1166211162,496
497,25,20,1166387306,497
498,25,20,1167424441,498
499,25,20,1168257425,499
500,25,20,1169428673,500
501,63,20,1169658172,501
502,25,20,1170442888,502
503,25,20,1170712387,503
504,24,20,1171875741,504
505,24,20,1171960488,505
506,25,20,1172603568,506
507,38,20,1179000653,507
508,38,20,1180693472,508
509,38,20,1184259511,509
510,119,20,1185526814,510
511,30,20,1187032792,511
512,37,20,1187199898,512
513,26,20,1187366270,513
514,37,20,1187652354,514
515,37,20,1188011344,515
516,96,20,1189437062,516
517,96,20,1189916662,517
518,96,20,1191443295,518
519,96,20,1191613817,519
520,37,20,1192582766,520
521,96,20,1193465004,521
522,96,20,1194060811,522
523,72,20,1194614646,523
524,96,20,1195309029,524
525,72,20,1195348031,525
526,96,20,1195851133,526
527,37,20,1196473314,527
528,37,20,1196645560,528
529,37,20,1196736207,529
530,72,20,1196879962,530
531,72,20,1197029103,531
532,96,20,1198290233,532
533,97,20,1200575252,533
534,109,20,1201720363,534
535,53,20,1202032079,535
536,37,20,1202720172,536
537,97,20,1204380036,537
538,37,20,1205681677,538
539,33,20,1205690703,539
540,97,20,1205919989,540
541,33,20,1206513066,541
542,33,20,1207332664,542
543,97,20,1207676856,543
544,37,20,1208140456,544
545,24,20,1208507797,545
546,37,20,1208989989,546
547,98,20,1209066555,547
548,37,20,1209969245,548
549,63,20,1209969996,549
550,97,20,1212080421,550
551,33,20,1212489493,551
552,63,20,1212983112,552
553,97,20,1213638605,553
554,24,20,1213951357,554
555,24,20,1215193245,555
556,28,20,1215825248,556
557,11,20,1216041205,557
558,97,20,1216141285,558
559,37,20,1218160047,559
560,37,20,1219609807,560
561,37,20,1220194421,561
562,33,20,1220528936,562
563,33,20,1221073087,563
564,37,20,1221331728,564
565,37,20,1221607437,565
566,33,20,1222060022,566
567,33,20,1222628820,567
568,37,20,1223090337,568
569,33,20,1224251841,569
570,33,20,1224697513,570
571,63,20,1226572568,571
572,24,20,1227017621,572
573,33,20,1227689190,573
574,33,20,1227957687,574
575,24,20,1228399765,575
576,24,20,1228803643,576
577,24,20,1229994854,577
578,24,20,1232198298,578
579,35,20,1232848775,579
580,24,20,1234592527,580
581,35,20,1237046072,581
582,100,20,1237598896,582
583,101,20,1239653650,583
584,102,20,1240389013,584
585,36,20,1240629951,585
586,35,20,1240654658,586
587,36,20,1241057218,587
588,37,20,1241347818,588
589,36,20,1242704908,589
590,36,20,1242844343,590
591,36,20,1243111716,591
592,36,20,1243341647,592
593,37,20,1243993673,593
594,25,20,1244118137,594
595,36,20,1244417097,595
596,37,20,1245219386,596
597,103,20,1245762423,597
598,103,20,1245936850,598
599,103,20,1245944350,599
600,101,20,1247641091,600
601,24,20,1248082970,601
602,106,20,1248614734,602
603,34,20,1249192380,603
604,37,20,1249960951,604
605,37,20,1250410107,605
606,37,20,1250683344,606
607,101,20,1251839195,607
608,36,20,1252224784,608
609,37,20,1252278691,609
610,37,20,1252788244,610
611,36,20,1253156539,611
612,37,20,1254528527,612
613,38,20,1254732335,613
614,24,20,1254820623,614
615,37,20,1255405073,615
616,31,20,1257880867,616
617,51,20,1258564874,617
618,36,20,1261941063,618
619,106,20,1262102099,619
620,74,20,1263280248,620
621,37,20,1265693345,621
622,37,20,1265972974,622
623,34,20,1266748035,623
624,37,20,1267141586,624
625,36,20,1269336870,625
626,36,20,1269679815,626
627,36,20,1270975430,627
628,34,20,1271890593,628
629,109,20,1272144946,629
630,37,20,1272323345,630
631,36,20,1273537539,631
632,36,20,1277943460,632
633,40,20,1280080536,633
634,73,20,1281188380,634
635,36,20,1282292845,635
636,33,20,1285799823,636
637,36,20,1286337557,637
638,36,20,1287704358,638
639,36,20,1287729577,639
640,51,20,1290244089,640
641,36,20,1290311605,641
642,36,20,1292233166,642
643,37,20,1292381884,643
644,37,20,1293866336,644
645,45,20,1294299070,645
646,36,20,1295089932,646
647,43,20,1296048239,647
648,44,20,1296069723,648
649,33,20,1297560092,649
650,36,20,1298157200,650
651,43,20,1300741839,651
652,46,20,1301689862,652
653,46,20,1303131967,653
654,36,20,1303509539,654
655,36,20,1303530568,655
656,43,20,1305294799,656
657,43,20,1306768221,657
658,53,20,1307383356,658
659,111,20,1308938068,659
660,40,20,1309373508,660
661,49,20,1309776381,661
662,51,20,1310982727,662
663,51,20,1312368803,663
664,111,20,1312506459,664
665,44,20,1313416631,665
666,43,20,1314852719,666
667,51,20,1315668606,667
668,53,20,1316635303,668
669,36,20,1318149086,669
670,51,20,1319295277,670
671,75,20,1320258649,671
672,120,20,1322117573,672
673,82,20,1323480255,673
674,43,20,1324756944,674
675,51,20,1325492805,675
676,120,20,1327569009,676
677,46,20,1327775220,677
678,63,20,1332379637,678
679,75,20,1333018987,679
680,49,20,1336867117,680
681,54,20,1337307472,681
682,15,20,1339544333,682
683,121,20,1340715216,683
684,36,20,1341898959,684
685,44,20,1343841977,685
686,15,20,1344016508,686
687,122,20,1344109511,687
688,44,20,1345024455,688
689,55,20,1348835197,689
690,123,20,1349114841,690
691,82,20,1349484331,691
692,15,20,1355766612,692
693,75,20,1360365296,693
694,122,20,1361334075,694
695,16,20,1362674043,695
696,124,20,1373144831,696
697,59,20,1388052405,697
698,60,20,1388068833,698
699,84,20,1407149488,699
700,84,20,1407220035,700
701,84,20,1407220706,701
702,84,20,1407221421,702
703,84,20,1407226554,703
704,84,20,1407226769,704
705,84,20,1407229098,705
706,84,20,1424423251,706
707,84,20,1424423317,707
708,21,20,1436868595,708
709,125,20,1449339171,709
710,126,21,1129322965,710
711,26,21,1187422561,711
712,28,21,1215823968,712
