,u,i,ts,idx
0,1,1,1143300781,0
1,2,1,1143304420,1
2,2,1,1143304504,2
3,2,1,1143305688,3
4,2,1,1143306018,4
5,2,1,1143306068,5
6,2,1,1143306923,6
7,2,1,1143306979,7
8,2,1,1143307684,8
9,2,1,1143308210,9
10,2,1,1143309249,10
11,2,1,1143310219,11
12,2,1,1143310386,12
13,2,1,1143311177,13
14,2,1,1143312096,14
15,3,1,1143319118,15
16,2,1,1143322227,16
17,2,1,1143322509,17
18,2,1,1143322926,18
19,2,1,1143322955,19
20,1,1,1143334367,20
21,1,1,1145142619,21
22,4,1,1147123655,22
23,4,1,1147123692,23
24,4,1,1147224303,24
25,2,1,1147898226,25
26,2,1,1183275695,26
27,5,1,1187299301,27
28,1,1,1196908321,28
29,2,1,1222593378,29
30,2,1,1227486036,30
31,6,1,1228915739,31
32,6,1,1229594562,32
33,6,1,1229597613,33
34,6,1,1230567279,34
35,6,1,1230810839,35
36,6,1,1231849790,36
37,6,1,1232283306,37
38,6,1,1236102685,38
39,6,1,1236102752,39
40,6,1,1236522789,40
41,6,1,1236594280,41
42,6,1,1237125346,42
43,6,1,1237662765,43
44,6,1,1238264659,44
45,6,1,1238422127,45
46,6,1,1239556071,46
47,6,1,1241176624,47
48,6,1,1242211515,48
49,6,1,1248595110,49
50,6,1,1250532783,50
51,6,1,1250534152,51
52,6,1,1250534184,52
53,6,1,1251809090,53
54,6,1,1253482651,54
55,6,1,1257773444,55
56,6,1,1258629922,56
57,6,1,1258826381,57
58,2,1,1260293436,58
59,2,1,1260293595,59
60,2,1,1260294564,60
61,6,1,1260960180,61
62,7,1,1261492351,62
63,6,1,1262265311,63
64,6,1,1262265424,64
65,6,1,1262339428,65
66,6,1,1262340009,66
67,6,1,1262340077,67
68,6,1,1262340179,68
69,6,1,1262340250,69
70,6,1,1262345134,70
71,6,1,1262345225,71
72,6,1,1262346472,72
73,6,1,1262346498,73
74,6,1,1262451831,74
75,6,1,1262712510,75
76,8,1,1320516044,76
77,1,2,1143297932,77
78,2,2,1143302574,78
79,1,2,1143303072,79
80,1,2,1143303107,80
81,2,2,1143304022,81
82,1,2,1143304529,82
83,1,2,1143304545,83
84,1,2,1143304756,84
85,2,2,1143305065,85
86,1,2,1143307140,86
87,1,2,1143307168,87
88,3,2,1143312767,88
89,1,2,1143319162,89
90,1,2,1143319197,90
91,3,2,1143324248,91
92,1,2,1143429777,92
93,9,2,1200866164,93
94,6,2,1253259875,94
95,6,2,1258909395,95
96,6,2,1258912210,96
97,6,2,1258969373,97
98,6,2,1259061424,98
99,6,2,1259063550,99
100,6,2,1260201899,100
101,6,2,1261046912,101
102,6,2,1261046975,102
103,6,2,1261047009,103
104,6,2,1261852139,104
105,10,2,1426841128,105
106,11,2,1429242249,106
107,10,2,1429245821,107
108,1,3,1143298518,108
109,1,3,1143298537,109
110,12,3,1143299629,110
111,1,4,1143299257,111
112,1,4,1143299289,112
113,10,4,1426841127,113
114,11,4,1429242249,114
115,10,4,1429245801,115
116,1,5,1143299469,116
117,9,5,1214056001,117
118,1,6,1143301035,118
119,1,6,1200667706,119
120,1,6,1200668080,120
121,1,6,1200668276,121
122,1,6,1200668680,122
123,1,6,1200672705,123
124,1,7,1143301335,124
125,1,8,1143301369,125
126,1,9,1143301600,126
127,1,10,1143301750,127
128,1,10,1143302300,128
129,2,10,1143302501,129
130,1,10,1143304823,130
131,3,10,1143312294,131
132,1,10,1198195896,132
133,1,10,1198200905,133
134,13,10,1205690092,134
135,1,10,1205724516,135
136,14,10,1222611249,136
137,6,10,1223840854,137
138,2,10,1225419994,138
139,6,10,1225810320,139
140,6,10,1225810361,140
141,2,10,1226219881,141
142,2,10,1226220039,142
143,2,10,1226500499,143
144,6,10,1228462261,144
145,6,10,1228462313,145
146,2,10,1228648084,146
147,6,10,1228730867,147
148,6,10,1228730913,148
149,6,10,1228731279,149
150,6,10,1229009176,150
151,6,10,1229009319,151
152,6,10,1229355086,152
153,15,10,1236546724,153
154,15,10,1236546907,154
155,6,10,1259061566,155
156,6,10,1259061599,156
157,2,10,1259074407,157
158,6,10,1259144779,158
159,6,10,1259234659,159
160,2,10,1259298888,160
161,2,10,1259298975,161
162,6,10,1259313294,162
163,6,10,1259313324,163
164,6,10,1260201071,164
165,6,10,1260529894,165
166,6,10,1260529943,166
167,6,10,1260529989,167
168,2,10,1260641879,168
169,6,10,1260646903,169
170,6,10,1260788222,170
171,6,10,1260788298,171
172,6,10,1260788329,172
173,7,10,1260821398,173
174,2,10,1260847263,174
175,2,10,1260847300,175
176,7,10,1261492964,176
177,16,10,1361726872,177
178,17,10,1403580749,178
179,2,10,1490342905,179
180,1,11,1143302426,180
181,2,12,1143302950,181
182,2,12,1143304277,182
183,2,12,1143320912,183
184,2,13,1143302986,184
185,2,13,1143305366,185
186,2,13,1143309375,186
187,6,13,1228809101,187
188,6,13,1228812166,188
189,6,13,1259144745,189
190,2,13,1260847300,190
191,2,14,1143304145,191
192,6,14,1262451649,192
193,2,15,1143305161,193
194,2,15,1143305172,194
195,2,16,1143305867,195
196,1,16,1143332693,196
197,1,16,1143334269,197
198,1,16,1143577491,198
199,2,16,1260294431,199
200,2,16,1260294488,200
201,2,16,1260294543,201
202,2,17,1143307540,202
203,2,17,1143308293,203
204,2,17,1143309170,204
205,2,17,1143310793,205
206,6,17,1228812496,206
207,6,17,1228812527,207
208,6,17,1259500817,208
209,6,17,1259500900,209
210,2,18,1143309038,210
211,2,18,1143309070,211
212,2,18,1143309115,212
213,6,18,1228812660,213
214,6,18,1259500869,214
215,6,18,1259504411,215
216,2,19,1143309135,216
217,2,19,1143309890,217
218,2,19,1143319026,218
219,4,19,1172196160,219
220,4,19,1172196229,220
221,2,19,1183303268,221
222,6,19,1229974405,222
223,2,20,1143309196,223
224,6,20,1228464711,224
225,6,20,1229974016,225
226,2,21,1143309537,226
227,2,21,1143309552,227
228,2,21,1143309938,228
229,2,21,1222327099,229
230,2,21,1222327128,230
231,6,21,1228665289,231
232,6,21,1258456238,232
233,6,21,1258456711,233
234,2,22,1143309606,234
235,2,22,1143309623,235
236,2,22,1143309955,236
237,18,22,1165650201,237
238,18,22,1165650553,238
239,18,22,1165650598,239
240,5,22,1183422304,240
241,5,22,1183422337,241
242,6,22,1227464105,242
243,6,22,1227464253,243
244,6,22,1228663933,244
245,6,22,1230571830,245
246,6,22,1240127132,246
247,2,23,1143309679,247
248,4,23,1147124196,248
249,4,23,1147124325,249
250,2,23,1147898345,250
251,2,23,1183303293,251
252,2,23,1222327081,252
253,2,23,1222327107,253
254,6,23,1228758633,254
255,6,23,1230639278,255
256,2,24,1143311337,256
257,2,24,1143322823,257
258,2,25,1143311354,258
259,3,25,1143313372,259
260,2,25,1143322251,260
261,1,25,1143338593,261
262,3,25,1143408288,262
263,1,25,1143416729,263
264,1,25,1143450231,264
265,1,25,1143450256,265
266,1,25,1143677117,266
267,1,25,1144058718,267
268,1,25,1193814565,268
269,1,25,1193814633,269
270,19,25,1216269496,270
271,20,25,1216270619,271
272,6,25,1223756539,272
273,6,25,1223756599,273
274,3,25,1227469446,274
275,21,25,1248599833,275
276,22,25,1269500909,276
277,23,25,1287678595,277
278,24,25,1294652883,278
279,25,25,1309693397,279
280,25,25,1319682643,280
281,25,25,1324523473,281
282,25,25,1326645663,282
283,25,25,1326662395,283
284,26,25,1329050381,284
285,25,25,1329060225,285
286,27,25,1329412788,286
287,28,25,1332416375,287
288,25,25,1338600684,288
289,25,25,1338921960,289
290,25,25,1339835838,290
291,25,25,1342729858,291
292,25,25,1346897893,292
293,25,25,1347284630,293
294,25,25,1350357618,294
295,25,25,1350494713,295
296,25,25,1357680240,296
297,25,25,1358610514,297
298,29,25,1358899352,298
299,25,25,1359579582,299
300,25,25,1361322322,300
301,25,25,1363206689,301
302,25,25,1366781465,302
303,25,25,1367024504,303
304,30,25,1367027623,304
305,25,25,1367295566,305
306,25,25,1367348908,306
307,25,25,1369084990,307
308,25,25,1369992778,308
309,25,25,1370312043,309
310,25,25,1371964242,310
311,25,25,1372943166,311
312,31,25,1372946816,312
313,25,25,1374587835,313
314,32,25,1374599045,314
315,25,25,1377028370,315
316,25,25,1379993089,316
317,25,25,1380914770,317
318,25,25,1381266349,318
319,25,25,1383684761,319
320,25,25,1384819237,320
321,10,25,1388345703,321
322,10,25,1389733677,322
323,10,25,1389854823,323
324,10,25,1390830714,324
325,10,25,1392813042,325
326,10,25,1393020006,326
